𠻺	aː⁶
向西	hœːŋ³sɐi¹
向隅	hœːŋ³jyː⁴
吒	tsaː¹
吒	tsaː³
吓	haː²
吓	haː⁵
𥊙吓先	tsɔːŋ¹haː⁵siːn¹
䁓吓先	tsɔːŋ¹haː⁵siːn¹
吓吓	haː⁵haː⁵
䁪吓眼	tsaːm²haː⁵ŋaːn⁵
吔	jaː¹
吔	jaː²
吔	jaː⁴
吔	jaːk⁸
吔	jɛː⁵
吖	aː¹
吖啶	aː¹tɪŋ⁶
吖嗱	aː¹laː⁴
吖嗱	aː¹naː⁴
吙	hɛːu¹
吚	jiː¹
君	kwɐn¹
君主	kwɐn¹tsyː²
君主主義	kwɐn¹tsyː²tsyː²jiː⁶
君主制	kwɐn¹tsyː²tsɐi³
君主國	kwɐn¹tsyː²kwɔːk⁸
君主專制	kwɐn¹tsyː²tsyːn¹tsɐi³
君主專政	kwɐn¹tsyː²tsyːn¹tsɪŋ³
君主權	kwɐn¹tsyː²kʰyːn⁴
君主立憲制	kwɐn¹tsyː²laːp⁹hiːn³tsɐi³
君之	kwɐn¹tsiː¹
君子之交	kwɐn¹tsiː²tsiː¹kaːu¹
君子之交淡如水	kwɐn¹tsiː²tsiː¹kaːu¹taːm⁴jyː⁴sɵy²
君子動口不動手	kwɐn¹tsiː²tʊŋ⁶hɐu²pɐt⁷tʊŋ⁶sɐu²
君子協定	kwɐn¹tsiː²hiːp⁸tɪŋ⁶
君子好逑	kwɐn¹tsiː²hou²kʰɐu⁴
君權	kwɐn¹kʰyːn⁴
君王	kwɐn¹wɔːŋ⁴
君眞	kwɐn¹tsɐn¹
君真	kwɐn¹tsɐn¹
君臨天下	kwɐn¹lɐm⁴tʰiːn¹haː⁶
吝	lɵn⁶
吝啬	lɵn⁶sɪk⁷
吝嗇	lɵn⁶sɪk⁷
吞	tʰɐn¹
吞併	tʰɐn¹pɪŋ⁶
吞口水	tʰɐn¹hɐu²sɵy²
吞吐	tʰɐn¹tʰou³
吞吞吐吐	tʰɐn¹tʰɐn¹tʰou³tʰou³
吞唔落	tʰɐn¹m̩⁴lɔːk⁹
吞噬	tʰɐn¹sɐi⁶
吞嚥	tʰɐn¹jiːn³
吞樸	tʰɐn¹pʰɔːk⁷
吞沒	tʰɐn¹muːt⁹
吞聲	tʰɐn¹sɪŋ¹
吞聲忍氣	tʰɐn¹sɪŋ¹jɐn²hei³
吞雲吐霧	tʰɐn¹wɐn⁴tʰou³mou⁶
吞食	tʰɐn¹sɪk⁹
吟	ɐm⁴
吟	jɐm⁴
吟	ŋɐm⁴
吟吟沉沉	ɐm⁴ɐm⁴tsʰɐm⁴tsʰɐm⁴
吟吟沉沉	ŋɐm⁴ŋɐm⁴tsʰɐm⁴tsʰɐm⁴
吟哦	jɐm⁴ŋɔː⁴
吟哦	jɐm⁴ɔː⁴
吟唱	jɐm⁴tsʰœːŋ³
吟嚟吟去	ɐm⁴lei⁴ɐm⁴hɵy³
吟嚟吟去	ŋɐm⁴lei⁴ŋɐm⁴hɵy³
吟沉	ɐm⁴tsʰɐm⁴
吟沉	ŋɐm⁴tsʰɐm⁴
吟詠	jɐm⁴wɪŋ⁶
吟詩	jɐm⁴siː¹
吟詩作對	jɐm⁴siː¹tsɔːk⁸tɵy³
吟誦	jɐm⁴tsʊŋ⁶
吠	fɐi⁶
吠叫	fɐi⁶kiːu³
吡	pei¹
吡啶	pʰei²tɪŋ⁶
吣	tsʰɐm³
吥	pɐt⁷
吥	pɐu⁶
吥	pʰɐu³
否	fɐu²
否	pʰei²
否則	fɐu²tsɐk⁷
否定	fɐu²tɪŋ⁶
否定一切	fɐu²tɪŋ⁶jɐt⁷tsʰɐi³
否定句	fɐu²tɪŋ⁶kɵy³
否定詞	fɐu²tɪŋ⁶tsʰiː⁴
否極泰來	pʰei²kɪk⁹tʰaːi³lɔːi⁴
否決	fɐu²kʰyːt⁸
否決權	fɐu²kʰyːt⁸kʰyːn⁴
否認	fɐu²jɪŋ⁶
吧	paː¹
吧	paː⁶
吧女	paː¹lɵy⁵
吧女	paː¹nɵy⁵
吩	fɐn¹
吩咐	fɐn¹fuː⁶
吪	ŋɔː⁴
含	hɐm⁴
含冤	hɐm⁴jyːn¹
含冤而死	hɐm⁴jyːn¹jiː⁴sei²
含含糊糊	hɐm⁴hɐm⁴wuː⁴wuː⁴
含含聲	hɐm⁴hɐm²sɛːŋ¹
含垢忍辱	hɐm⁴kɐu³jɐn²jʊk⁹
含恨	hɐm⁴hɐn⁶
含情	hɐm⁴tsʰɪŋ⁴
含情脈脈	hɐm⁴tsʰɪŋ⁴mɐk⁹mɐk⁹
含意	hɐm⁴jiː³
含有	hɐm⁴jɐu⁵
含水	hɐm⁴sɵy²
含水量	hɐm⁴sɵy²lœːŋ⁶
含淚	hɐm⁴lɵy⁶
含笑	hɐm⁴siːu³
含糊	hɐm⁴wuː⁴
含糊不清	hɐm⁴wuː⁴pɐt⁷tsʰɪŋ¹
含糊其詞	hɐm⁴wuː⁴kʰei⁴tsʰiː⁴
含羞	hɐm⁴sɐu¹
含羞草	hɐm⁴sɐu¹tsʰou²
含義	hɐm⁴jiː⁶
含苞待放	hɐm⁴paːu¹tɔːi⁶fɔːŋ³
含蓄	hɐm⁴tsʰʊk⁷
含蘊	hɐm⁴wɐn³
含血噴人	hɐm⁴hyːt⁸pʰɐn³jɐn⁴
含辛茹苦	hɐm⁴sɐn¹jyː⁴fuː²
含酸	hɐm⁴syːn¹
含量	hɐm⁴lœːŋ⁶
含飴弄孫	hɐm⁴jiː⁴lʊŋ⁶syːn¹
吭	haːŋ¹
吭	hɔːŋ⁴
吭聲	hɔːŋ⁴sɪŋ¹
吮	syːn⁵
吰	wɐŋ⁴
吱	tsiː¹
吱吱叫	tsiː¹tsiː¹kiːu³
吱聲	tsiː¹sɪŋ¹
吲	tsʰɐn²
吳	ŋ⁴
吳儂軟語	ŋ⁴nʊŋ⁴jyːn⁵jyː⁵
吵	tsʰaːu²
吵耳	tsʰaːu²jiː⁵
吵醒	tsʰaːu²sɛːŋ²
吵鬧	tsʰaːu²laːu⁶
吵鬧	tsʰaːu²naːu⁶
吶	naːp⁹
吶	nɐt⁹
吶	nɵt⁹
吶喊	laːp⁹haːm³
吶喊	naːp⁹haːm³
吷	hyːt⁸
吸	kʰɐp⁷
吸	ŋɐp⁷
吸入	kʰɐp⁷jɐp⁹
吸塵機	kʰɐp⁷tsʰɐn⁴kei¹
吸引	kʰɐp⁷jɐn⁵
吸收	kʰɐp⁷sɐu¹
吸毒	kʰɐp⁷tʊk⁹
吸血鬼	kʰɐp⁷hyːt⁸kwɐi²
吸食	kʰɐp⁷sɪk⁹
吸食毒品	kʰɐp⁷sɪk⁹tʊk⁹pɐn²
吹BB	tsʰɵy¹piː¹piː¹
吹	tsʰɵy¹
吹	tsʰɵy³
吹佢唔脹	tsʰɵy¹kʰɵy⁵m̩⁴tsœːŋ³
吹口哨	tsʰɵy¹hɐu²saːu³
吹唔脹	tsʰɵy¹m̩⁴tsœːŋ³
吹噓	tsʰɵy¹hɵy¹
吹得天花亂墜	tsʰɵy¹tɐk⁷tʰiːn¹faː¹lyːn⁶tsɵy⁶
吹毛求疵	tsʰɵy¹mou⁴kʰɐu⁴tsʰiː¹
吹水	tsʰɵy¹sɵy²
吹波	tsʰɵy¹pɔː¹
吹波糖	tsʰɵy¹pɔː¹tʰɔːŋ²
吹波膠	tsʰɵy¹pɔː¹kaːu¹
吹灰之力	tsʰɵy¹fuːi¹tsiː¹lɪk⁹
吹熄  	tsʰɵy¹sɪk⁷
吹爆	tsʰɵy¹paːu³
吹牛	tsʰɵy¹ɐu⁴
吹牛	tsʰɵy¹ŋɐu⁴
吹番梘𦢊	tsʰɵy¹faːn¹kaːn²pʰɔːk⁷
吹番梘泡	tsʰɵy¹faːn¹kaːn²pʰɔːk⁷
吹皺一池春水	tsʰɵy¹tsɐu³jɐt⁷tsʰiː⁴tsʰɵn¹sɵy²
吹笛	tsʰɵy¹tɛːk⁹
吹脹	tsʰɵy¹tsœːŋ³
吹雞	tsʰɵy¹kɐi¹
吹雞完場	tsʰɵy¹kɐi¹jyːn⁴tsʰœːŋ⁴
吹鬚睩眼	tsʰɵy¹sou¹lʊk⁷aːn⁵
吹鬚睩眼	tsʰɵy¹sou¹lʊk⁷ŋaːn⁵
吻	mɐn⁵
吻別	mɐn⁵piːt⁹
吼	haːu¹
吼	hɐu¹
吼	hɐu³
吼住	hɐu¹tsyː⁶
吼斗	hɐu¹tɐu²
吼機會	hɐu¹kei¹wuːi⁶
吽	ɐu⁶
吽	hʊŋ¹
吽	ŋɐu⁶
吽仔	ɐu⁶tsɐi²
吽仔	ŋɐu⁶tsɐi²
吽哣	ɐu⁶tɐu⁶
吽哣	ŋɐu⁶tɐu⁶
吾	ŋ⁴
呀	aː¹
呀	aː³
呀	aː⁴
呀	aː⁶
呂	lɵy⁵
呃	aːk⁷
呃	ɐk⁷
呃	ŋaːk⁷
呃人	aːk⁷jɐn⁴
呃人	ŋaːk⁷jɐn⁴
呃秤	aːk⁷tsʰɪŋ³
呃秤	ŋaːk⁷tsʰɪŋ³
呃稱	aːk⁷tsʰɪŋ¹
呃稱	ŋaːk⁷tsʰɪŋ¹
呃錢	aːk⁷tsʰiːn²
呃錢	ŋaːk⁷tsʰiːn²
呃食	aːk⁷sɪk⁹
呃食	ŋaːk⁷sɪk⁹
呃飲呃食	aːk⁷jɐm²aːk⁷sɪk⁹
呃飲呃食	ŋaːk⁷jɐm²ŋaːk⁷sɪk⁹
呃鬼	aːk⁷kwɐi²
呃鬼	ŋaːk⁷kwɐi²
呃鬼食豆腐	aːk⁷kwɐi²sɪk⁹tɐu⁶fuː⁶
呃鬼食豆腐	ŋaːk⁷kwɐi²sɪk⁹tɐu⁶fuː⁶
呅	mɐn¹
呆	ŋɔːi⁴
呆	taːi¹
呆呆傻傻	ŋɔːi⁴ŋɔːi⁴sɔː⁴sɔː⁴
呆呆傻傻	ɔːi⁴ɔːi⁴sɔː⁴sɔː⁴
呆板	ŋɔːi⁴paːn²
呆板	ɔːi⁴paːn²
呆鈍	ŋɔːi⁴tɵn⁶
呆鈍	ɔːi⁴tɵn⁶
呈	tsʰɪŋ⁴
呈上	tsʰɪŋ⁴sœːŋ⁶
呈報	tsʰɪŋ⁴pou³
呈獻	tsʰɪŋ⁴hiːn³
呈現	tsʰɪŋ⁴jiːn⁶
告	kou³
告	kʊk⁷
告一段落	kou³jɐt⁷tyːn⁶lɔːk⁹
告別	kou³piːt⁹
告到你甩褲	kou³tou³lei⁵lɐt⁷fuː³
告到你甩褲	kou³tou³nei⁵lɐt⁷fuː³
告到佢甩褲	kou³tou³kʰɵy⁵lɐt⁷fuː³
告急	kou³kɐp⁷
告狀	kou³tsɔːŋ⁶
告發	kou³faːt⁸
告白	kou³paːk⁹
告知	kou³tsiː¹
告示	kou³siː⁶
告示板	kou³siː⁶paːn²
告票	kou³pʰiːu³
告終	kou³tsʊŋ¹
告罪	kou³tsɵy⁶
告訴	kou³sou³
告誡	kou³kaːi³
告辭	kou³tsʰiː⁴
告退	kou³tʰɵy³
呌	kiːu³
呍	wɐn⁴
呎	tsʰɛːk⁸
呏	sɪŋ¹
呒	m̩⁴
𨃩呔	siːn³tʰaːi¹
呔	tʰaːi¹
呖	lɪk⁹
呙	kwaː³
呠	pʰɐn³
呡	mɐn³
呢	liː¹
呢	nei¹
呢	nei⁴
呢	nɛː¹
呢	niː¹
呢一度	liː¹jɐt⁷tou⁶
呢一度	niː¹jɐt⁷tou⁶
呢世	liː¹sɐi³
呢世	niː¹sɐi³
呢世人	liː¹sɐi³jɐn⁴
呢世人	niː¹sɐi³jɐn⁴
呢位	liː¹wɐi²
呢位	niː¹wɐi²
呢便	liː¹piːn⁶
呢便	niː¹piːn⁶
呢個	liː¹kɔː³
呢個	niː¹kɔː³
呢個係	liː¹kɔː³hɐi⁶
呢個係	niː¹kɔː³hɐi⁶
呢個嘢	liː¹kɔː³jɛː⁵
呢個嘢	niː¹kɔː³jɛː⁵
呢個時候	liː¹kɔː³siː⁴hɐu⁶
呢個時候	niː¹kɔː³siː⁴hɐu⁶
呢個月	liː¹kɔː³jyːt⁹
呢個月	niː¹kɔː³jyːt⁹
呢個禮拜	liː¹kɔː³lɐi⁵paːi³
呢個禮拜	niː¹kɔː³lɐi⁵paːi³
呢停	liː¹tʰɪŋ²
呢停	niː¹tʰɪŋ²
呢停人	liː¹tʰɪŋ²jɐn⁴
呢停人	niː¹tʰɪŋ²jɐn⁴
呢停車	liː¹tʰɪŋ²tsʰɛː¹
呢停車	niː¹tʰɪŋ²tsʰɛː¹
呢勻	liː¹wɐn⁴
呢勻	niː¹wɐn⁴
呢味嘢	liː¹mei²jɛː⁵
呢味嘢	niː¹mei⁶jɛː⁵
呢啲	liː¹tiː¹
呢啲	niː¹tiː¹
呢啲嘢	liː¹tiː¹jɛː⁵
呢啲嘢	niː¹tiː¹jɛː⁵
呢單嘢	liː¹taːn¹jɛː⁵
呢單嘢	niː¹taːn¹jɛː⁵
呢嘢	liː¹jɛː⁵
呢嘢	niː¹jɛː⁵
呢幾年嚟	liː¹kei²liːn⁴lei⁴
呢幾年嚟	niː¹kei²niːn⁴lei⁴
呢度	liː¹tou⁶
呢度	niː¹tou⁶
呢排	liː¹pʰaːi²
呢排	liː¹pʰaːi⁴
呢排	niː¹pʰaːi²
呢排好唔𠶧	liː¹pʰaːi⁴hou²m̩⁴tiːm⁶
呢排好唔𠶧	niː¹pʰaːi²hou²m̩⁴tiːm⁶
呢排好唔掂	liː¹pʰaːi⁴hou²m̩⁴tiːm⁶
呢排好唔掂	niː¹pʰaːi²hou²m̩⁴tiːm⁶
呢條友	liː¹tʰiːu⁴jɐu²
呢條友	niː¹tʰiːu⁴jɐu²
呢槓嘢	liː¹lʊŋ⁵jɛː⁵
呢槓嘢	niː¹lʊŋ⁵jɛː⁵
呢樣	liː¹jœːŋ⁶
呢樣	niː¹jœːŋ⁶
呢次弊	liː¹tsʰiː³pɐi⁶
呢次弊	niː¹tsʰiː³pɐi⁶
呢款	liː¹fuːn²
呢款	niː¹fuːn²
呢種	liː¹tsʊŋ²
呢種	niː¹tsʊŋ²
呢處	liː¹syː³
呢處	liː¹tsʰyː³
呢處	niː¹syː³
呢輪	liː¹lɵn⁴
呢輪	niː¹lɵn⁴
呢鋪	liː¹pʰou¹
呢鋪	niː¹pʰou¹
呢陣	liː¹tsɐn⁶
呢陣	niː¹tsɐn⁶
呢陣時	liː¹tsɐn⁶siː⁴
呢陣時	niː¹tsɐn⁶siː⁴
呢隻嘢	liː¹tsɛːk⁸jɛː⁵
呢隻嘢	niː¹tsɛːk⁸jɛː⁵
呢頭	liː¹tʰɐu⁴
呢頭	niː¹tʰɐu⁴
呢駁	liː¹pɔːk⁸
呢駁	niː¹pɔːk⁸
呣	m̩ː²
呣	m̩ː⁶
呤	lɪŋ³
呤	lɪŋ⁴
呤立立	lɪŋ³laːp⁸laːp⁸
呥	jɐm¹
呥	jiːm⁴
呦	jɐu¹
周	tsɐu¹
周圍	tsɐu¹wɐi⁴
周年慶	tsɐu¹liːn⁴hɪŋ³
周年慶	tsɐu¹niːn⁴hɪŋ³
周時	tsɐu¹siː⁴
周時無日	tsɐu¹siː⁴mou⁴jɐt⁹
周朝	tsɐu¹tsʰiːu⁴
周期表	tsɐu¹kʰei⁴piːu²
周處	tsɐu¹syː³
周街	tsɐu¹kaːi¹
周街係人	tsɐu¹kaːi¹hɐi⁶jɐn⁴
周街走	tsɐu¹kaːi¹tsɐu²
周身	tsɐu¹sɐn¹
周身刀冇張利	tsɐu¹sɐn¹tou¹mou⁵tsœːŋ¹lei⁶
周身蟻	tsɐu¹sɐn¹ɐi⁵
周身蟻	tsɐu¹sɐn¹ŋɐi⁵
呪	tsɐu²
呫	tʰiːp⁸
呫	tsʰiːp⁸
呬	hei³
呮	tsɛː¹
呮	tsɛːk⁷
呯	pʰɛːŋ⁴
呰	tsiː²
呱	kuː¹
呱	kwaː¹
呱	kwaː²
呱	waː¹
呱呱叫	kwaː¹kwaː¹kiːu³
呲	tsiː¹
味	mei²
味	mei⁶
味同嚼蠟	mei⁶tʰʊŋ⁴tsœːk⁸laːp⁹
味精	mei⁶tsɪŋ¹
味蕾	mei⁶lɵy⁵
味覺	mei⁶kɔːk⁸
味道	mei⁶tou⁶
呴	hɵy¹
呵	hɔː¹
呵	hɔː²
呵呵	hɔː¹hɔː¹
呵氣	hɔː¹hei³
呵護	hɔː¹wuː⁶
呶	naːu⁴
呷	haːp⁸
呷醋	haːp⁸tsʰou³
呸	pʰei¹
呺	hiːu¹
呺	hou⁴
呻	sɐn¹
呻吟	sɐn¹jɐm⁴
呼	fuː¹
呼之欲出	fuː¹tsiː¹jʊk⁹tsʰɵt⁷
呼出	fuː¹tsʰɵt⁷
呼口號	fuː¹hɐu²hou⁶
呼叫	fuː¹kiːu³
呼叫器	fuː¹kiːu³hei³
呼吸	fuː¹kʰɐp⁷
呼吸器官	fuː¹kʰɐp⁷hei³kuːn¹
呼吸困難	fuː¹kʰɐp⁷kʰwɐn³laːn⁴
呼吸困難	fuː¹kʰɐp⁷kʰwɐn³naːn⁴
呼吸系統	fuː¹kʰɐp⁷hɐi⁶tʰʊŋ²
呼吸聲	fuː¹kʰɐp⁷sɛːŋ¹
呼吸道	fuː¹kʰɐp⁷tou⁶
呼呼大睡	fuː¹fuː¹taːi⁶sɵy⁶
呼喊	fuː¹haːm³
呼喚	fuː¹wuːn⁶
呼嘯	fuː¹siːu³
呼嘯而過	fuː¹siːu³jiː⁴kwɔː³
呼嚕	fuː¹lou¹
呼天搶地	fuː¹tʰiːn¹tsʰœːŋ²tei⁶
呼應	fuː¹jɪŋ³
呼應聲	fuː¹jɪŋ³sɛːŋ¹
呼救	fuː¹kɐu³
呼救信號	fuː¹kɐu³sɵn³hou⁶
呼朋引類	fuː¹pʰɐŋ⁴jɐn⁵lɵy⁶
呼氣	fuː¹hei³
呼籲	fuː¹jyː⁶
呼聲	fuː¹sɛːŋ¹
呼風喚雨	fuː¹fʊŋ¹wuːn⁶jyː⁵
命	mɛːŋ⁶
命	mɪŋ⁶
命中	mɪŋ⁶tsʊŋ³
命中率	mɪŋ⁶tsʊŋ³lɵt⁹
命中註定	mɪŋ⁶tsʊŋ¹tsyː³tɪŋ⁶
命令	mɪŋ⁶lɪŋ⁶
命令句	mɪŋ⁶lɪŋ⁶kɵy³
命名	mɪŋ⁶mɪŋ⁴
命大	mɛːŋ⁶taːi⁶
命根	mɪŋ⁶kɐn¹
命案	mɪŋ⁶ŋɔːn³
命案	mɪŋ⁶ɔːn³
命水	mɛːŋ⁶sɵy²
命水唔好	mɛːŋ⁶sɵy²m̩⁴hou²
命脈	mɪŋ⁶mɐk⁹
命苦	mɪŋ⁶fuː²
命薄	mɪŋ⁶pɔːk⁹
命運	mɛːŋ⁶wɐn⁶
命題	mɪŋ⁶tʰɐi⁴
呾	taːt⁸
呿	kʰɵy¹
咀	tsɵy²
咀一啖	tsɵy²jɐt⁷taːm⁶
咀嚼	tsɵy²tsœːk⁸
咁	kɐm²
咁	kɐm³
咁㜺	kɐm³tsaːn²
咁上下	kɐm³sœːŋ³haː²
咁串	kɐm³tsʰyːn³
咁做	kɐm³tsou⁶
咁啱	kɐm³aːm¹
咁啱	kɐm³ŋaːm¹
咁啱嘅	kɐm³aːm¹kɛː³
咁啱嘅	kɐm³ŋaːm¹kɛː³
咁嘅嘢	kɐm³kɛː³jɛː⁵
咁多位	kɐm³tɔː¹wɐi⁶
咁多年	kɐm³tɔː¹liːn⁴
咁多年	kɐm³tɔː¹niːn⁴
咁寸	kɐm³tsʰyːn³
咁嶄	kɐm³tsaːn²
咁晏	kɐm³aːn³
咁晏	kɐm³ŋaːn³
咁滯	kɐm³tsɐi⁶
咁盞	kɐm³tsaːn²
咁盟塞	kɐm³mɐŋ⁴sɐk⁷
咁盡	kɐm³tsɵn⁶
咁竄	kɐm³tsʰyːn³
咁萌塞	kɐm³mɐŋ⁴sɐk⁷
咁遲先嚟	kɐm³tsʰiː⁴siːn¹lei⁴
咁高咁大	kɐm³kou¹kɐm³taːi⁶
咂	sɐp⁷
咂	tsaːp⁸
咂嘴	tsaːp⁸tsɵy²
咄	tɵt⁷
咄	tsʰyːt⁸
咄咄逼人	tɵt⁷tɵt⁷pɪk⁷jɐn⁴
咆	pʰaːu⁴
咆哮	pʰaːu⁴haːu¹
咇	pɐt⁷
咇	piːt⁷
咇出嚟	piːt⁷tsʰɵt⁷lei⁴
咈	fɐt⁷
咈	fɐt⁹
咊	wɔː⁴
㗎咋	kaː³tsaː³
咋	tsaː¹
咋	tsaː³
咋	tsaːk⁸
和	wɔː⁴
和	wɔː⁶
和事老	wɔː⁴siː⁶lou⁵
和善	wɔː⁴siːn⁶
和好	wɔː⁴hou²
和尚	wɔː⁴sœːŋ²
和平	wɔː⁴pʰɪŋ⁴
和平共存	wɔː⁴pʰɪŋ⁴kʊŋ⁶tsʰyːn⁴
和平共處	wɔː⁴pʰɪŋ⁴kʊŋ⁶tsʰyː⁵
和平談判	wɔː⁴pʰɪŋ⁴tʰaːm⁴pʰuːn³
和平鴿	wɔː⁴pʰɪŋ⁴kɐp⁸
和服	wɔː⁴fʊk⁹
和煦	wɔː⁴hɵy²
和睦	wɔː⁴mʊk⁹
和約	hɐp⁹jœːk⁸
和藹	wɔː⁴ŋɔːi²
和藹	wɔː⁴ɔːi²
和諧	wɔː⁴haːi⁴
咍	hɔːi¹
咎	kɐu³
咎	kou¹
咐	fuː³
咐	fuː⁶
咑	tɐk⁷
咒	tsɐu³
咒語	tsɐu³jyː⁵
咓	aː⁵
咔	kʰaː¹
咔	kʰaː⁴
咕	kuː¹
咕	kuː²
咕哩	kuː¹lei¹
咕嚕	kuː¹lou¹
咕辰	kʰuː¹sɐn²
咖	kaː¹
咖	kaː³
咖	kʰaː¹
咖哩牛肉	kaː³lei¹ɐu⁴jʊk⁹
咖哩牛肉	kaː³lei¹ŋɐu⁴jʊk⁹
咖哩粉	kaː³lei¹fɐn²
咖哩醬	kaː³lei¹tsœːŋ³
咖哩雞	kaː³lei¹kɐi¹
咖哩雞肉	kaː³lei¹kɐi¹jʊk⁹
咖哩飯	kaː³lei¹faːn⁶
咖哩魚旦	kaː³lei¹jyː⁴taːn²
咖哩魚蛋	kaː³lei¹jyː⁴taːn²
咖哩魷魚	kaː³lei¹jɐu⁴jyː²
咖啡	kaː³fɛː¹
咖啡廊	kaː³fɛː¹lɔːŋ⁴
咖啡漬	kaː³fɛː¹tsɪk⁷
咖啡館	kaː³fɛː¹kuːn²
咖喱	kaː³lei¹
咖喱牛肉	kaː³lei¹ɐu⁴jʊk⁹
咖喱牛肉	kaː³lei¹ŋɐu⁴jʊk⁹
咖喱粉	kaː³lei¹fɐn²
咖喱醬	kaː³lei¹tsœːŋ³
咖喱雞	kaː³lei¹kɐi¹
咖喱雞肉	kaː³lei¹kɐi¹jʊk⁹
咖喱飯	kaː³lei¹faːn⁶
咖喱魚旦	kaː³lei¹jyː⁴taːn²
咖喱魚蛋	kaː³lei¹jyː⁴taːn²
咖喱魷魚	kaː³lei¹jɐu⁴jyː²
咗	tsɔː²
𨃩咗一腳	siːn³tsɔː²jɐt⁷kœːk⁸
𨃩咗一跤	siːn³tsɔː²jɐt⁷kaːu¹
咚	tʊŋ¹
咠	tsʰɐp⁷
咡	jiː⁶
咡	mɐi¹
咡	mɐi⁴
咢	ŋɔːk⁹
咤	tsaː¹
咥	hei³
咥	tiːt⁹
咥	tsɐt⁹
咦	jiː²
咦	jiː⁴
咧	lɛː²
咧	lɛː⁴
咧啡	lɛː⁴fɛː⁴
咧嘴	lɛː²tsɵy²
咧晒氣	lɛː⁴saːi³hɛː³
咧氣	lɛː⁴hɛː³
咨	tsiː¹
咩	mɛː¹
咩事	mɛː¹siː⁶
咩事呀？	mɛː¹siː⁶aː³
咩事啫	mɛː¹siː⁶tsɛː¹
咩嘢	mɛː¹jɛː⁵
咩嘢環境呀？	mɛː¹jɛː⁵waːn⁴kɪŋ²
咩意思	mɛː¹jiː³siː³
咩環境呀？	mɛː¹waːn⁴kɪŋ²
咩話？	mɛː¹waː²
咩都唔驚	mɛː¹tou¹m̩⁴kɛːŋ¹
咪	mɐi¹
咪	mɐi⁵
咪	mɐi⁶
咪住	mɐi⁵tsyː⁶
咪係	mɐi⁶hɐi⁶
咪去住	mɐi⁵hɵy³tsyː⁶
咪喐	mɐi⁵jʊk⁷
咪嘈	mɐi⁵tsʰou⁴
咪嘴	mɐi¹tsɵy²
咪家	mɐi¹kaː¹
咪就係	mɐi⁶tsɐu⁶hɐi⁶
咪指擬	mɐi⁵tsiː²jiː⁵
咪指爾	mɐi⁵tsiː²jiː⁵
咪搞	mɐi⁵kaːu²
咪搞我	mɐi⁵kaːu²ŋɔː⁵
咪搞我	mɐi⁵kaːu²ɔː⁵
咪攪	mɐi⁵kaːu²
咪攪我	mɐi⁵kaːu²ŋɔː⁵
咪攪我	mɐi⁵kaːu²ɔː⁵
咪旨意	mɐi⁵tsiː²jiː⁵
咪書	mɐi¹syː¹
咪自	mɐi⁵tsyː⁶
咪話	mɐi⁵waː⁶
咪走	mɐi⁵tsɐu²
咪走呀	mɐi⁵tsɐu²aː³
咪郁	mɐi⁵jʊk⁷
咪錶	miː¹piːu¹
咪高峰	mɐi¹kou¹fʊŋ¹
咫	tsiː²
咫尺	tsiː²tsʰɛːk⁸
咫尺天涯	tsiː²tsʰɛːk⁸tʰiːn¹aːi⁴
咫尺天涯	tsiː²tsʰɛːk⁸tʰiːn¹ŋaːi⁴
咬	ŋaːu⁵
咬一啖	aːu⁵jɐt⁷taːm⁶
咬一啖	ŋaːu⁵jɐt⁷taːm⁶
咬佢唔入	aːu⁵kʰɵy⁵m̩⁴tsɐp⁹
咬佢唔入	ŋaːu⁵kʰɵy⁵m̩⁴tsɐp⁹
咬口	aːu⁵hɐu²
咬口	ŋaːu⁵hɐu²
咬口脣	aːu⁵hɐu²sɵn⁴
咬口脣	ŋaːu⁵hɐu²sɵn⁴
咬唔入	aːu⁵m̩⁴tsɐp⁹
咬唔入	ŋaːu⁵m̩⁴tsɐp⁹
咬字	aːu⁵tsiː⁶
咬字	ŋaːu⁵tsiː⁶
咬字清晰	aːu⁵tsiː⁶tsʰɪŋ¹sɪk⁷
咬字清晰	ŋaːu⁵tsiː⁶tsʰɪŋ¹sɪk⁷
咬定	aːu⁵tɪŋ⁶
咬定	ŋaːu⁵tɪŋ⁶
咬實牙關	aːu⁵sɐt⁹aː⁴kwaːn¹
咬實牙關	ŋaːu⁵sɐt⁹ŋaː⁴kwaːn¹
咬文嚼字	aːu⁵mɐn⁴tsœːk⁸tsiː⁶
咬文嚼字	ŋaːu⁵mɐn⁴tsœːk⁸tsiː⁶
咬牙	aːu⁵aː⁴
咬牙	ŋaːu⁵ŋaː⁴
咬牙切齒	aːu⁵aː⁴tsʰiːt⁸tsʰiː²
咬牙切齒	ŋaːu⁵ŋaː⁴tsʰiːt⁸tsʰiː²
咬緊	aːu⁵kɐn²
咬緊	ŋaːu⁵kɐn²
咬緊牙關	aːu⁵kɐn²aː⁴kwaːn¹
咬緊牙關	ŋaːu⁵kɐn²ŋaː⁴kwaːn¹
咭	kɐt⁷
咭	kʰaːt⁷
咭	kʰɐt⁷
咭	kʰiːt⁷
咭數	kʰaːt⁷sou³
咭片	kʰaːt⁷pʰiːn²
咮	tsɐu³
咮	tsyː¹
咯	kaːk⁸
咯	lɔː¹
咯	lɔː³
咯	lɔːk⁸
咯嗲	kɔːk⁷tɛː¹
咱	tsaː¹
咱們	tsaː¹muːn⁴
咳	haːi¹
咳	hɔːi⁴
