#name Islandic
#lang lsl
abbadísin	apatiːsɪn
endurskipulagningu	ɛntʏrscɪpʏlakniŋkʏ
endurskipuleggja	ɛntʏrscɪpʏlɛca
endurskoða	ɛntʏrskɔːða
endurskoðað	ɛntʏrskɔːðað
endurskoðaðar	ɛntʏrskɔːðaðar
endurskoðaðri	ɛntʏrskɔːðaðrɪ
endurskoðanda	ɛntʏrskɔːðanta
endurskoðandi	ɛntʏrskɔːðantɪ
endurskoðenda	ɛntʏrskɔːðɛnta
endurskoðendur	ɛntʏrskɔːðɛntʏr
endurskoði	ɛntʏrskɔːðɪ
endurskoðuð	ɛntʏrskɔːðʏð
endurskoðun	ɛntʏrskɔːðʏn
endurskoðunar	ɛntʏrskɔːðʏnar
endurspegla	ɛntʏrspeikla
endurspeglaði	ɛntʏrspeiklaðɪ
endurspeglaðist	ɛntʏrspeiklaðɪst
endurspeglar	ɛntʏrspeiklar
endurspeglast	ɛntʏrspeiklast
endurspegli	ɛntʏrspeiklɪ
endursýndur	ɛntʏrsintʏr
endursýningar	ɛntʏrsiːniŋkar
endursýnt	ɛntʏrsin̥t
endursýnt	ɛntʏrsint
endursögn	ɛntʏrsœkn̥
endurtaka	ɛntʏrtaːka
endurtaki	ɛntʏrtaːcɪ
endurtekið	ɛntʏrtɛːcɪð
endurtekin	ɛntʏrtɛːcɪn
endurteknar	ɛntʏrtɛhknar
endurtekning	ɛntʏrtɛhkniŋk
endurtekningar	ɛntʏrtɛhkniŋkar
endurtekningu	ɛntʏrtɛhkniŋkʏ
endurteknum	ɛntʏrtɛhknʏm
endurtekur	ɛntʏrtɛːkʏr
endurtók	ɛntʏrtouːk
endurtóku	ɛntʏrtouːkʏ
endurtæki	ɛntʏrtaiːcɪ
endurupptöku	ɛntʏrʏhptœkʏ
endurútgefin	ɛntʏruːtcɛvɪn
endurvakið	ɛntʏrvaːcɪð
endurvekja	ɛntʏrvɛːca
endurvinna	ɛntʏrvɪna
endurvinnslu	ɛntʏrvɪnstlʏ
endurvinnslustöðin	ɛntʏrvɪnstlʏstœːðɪn
endurvinnslustöðvar	ɛntʏrvɪnstlʏstœðvar
endurvinnslustöðvarnar	ɛntʏrvɪnstlʏstœðvatnar
enga	eiŋka
engan	eiŋkan
engann	eiŋkan
enganveginn	eiŋkanveijɪn
engar	eiŋkar
engdist	eiŋtɪst
engdust	eiŋtʏst
Engey	eiŋkei
engi	eiɲcɪ
Engidal	eiɲcɪtal
engið	eiɲcɪð
Engihjalla	eiɲcɪçatla
Engihlíð	eiɲcɪl̥ið
engil	eiɲcɪl
Engilbert	eiɲcɪlpɛr̥t
Engilberts	eiɲcɪlpɛr̥ts
Engilbertsson	eiɲcɪlpɛr̥tsɔːn
engilinn	eiɲcɪlɪn
engill	eiɲcɪtl̥
engillinn	eiɲcɪtlɪn
engilsins	eiɲcɪlsɪns
engin	eiɲcɪn
enginn	eiɲcɪn
enginu	eiɲcɪnʏ
engir	eiɲcɪr
engisprettur	eiɲcɪsprɛhtʏr
engist	eiɲcɪst
Engjaseli	eiɲcasɛːlɪ
Engjaskóla	eiɲcaskouːla
engjast	eiɲcast
Engjavegi	eiɲcaveiːjɪ
engjum	eiɲcʏm
engla	eiŋkla
engla	eiŋla
England	eiŋklant
England	eiŋlant
Englandi	eiŋklantɪ
Englandi	eiŋlantɪ
Englands	eiŋklants
Englands	eiŋlants
englanna	eiŋklana
englanna	eiŋlana
englar	eiŋklar
englar	eiŋlar
englarnir	eiŋklatnɪr
englarnir	eiŋlatnɪr
Englendinga	eiŋklɛntiŋka
Englendinga	eiŋlɛntiŋka
Englendingar	eiŋklɛntiŋkar
Englendingar	eiŋlɛntiŋkar
Englendingarnir	eiŋklɛntiŋkatnɪr
Englendingarnir	eiŋlɛntiŋkatnɪr
Englendinginn	eiŋklɛntiɲcɪn
Englendinginn	eiŋlɛntiɲcɪn
Englendingsins	eiŋklɛntiŋsɪns
Englendingsins	eiŋlɛntiŋsɪns
Englendingum	eiŋklɛntiŋkʏm
Englendingum	eiŋlɛntiŋkʏm
Englendingur	eiŋklɛntiŋkʏr
Englendingur	eiŋlɛntiŋkʏr
Englendingurinn	eiŋklɛntiŋkʏrɪn
Englendingurinn	eiŋlɛntiŋkʏrɪn
engli	eiŋklɪ
engli	eiŋlɪ
englinum	eiŋklɪnʏm
englinum	eiŋlɪnʏm
englum	eiŋklʏm
englum	eiŋlʏm
englunum	eiŋklɔnʏm
englunum	eiŋlɔnʏm
engra	eiŋkra
engrar	eiŋkrar
engri	eiŋkrɪ
engu	eiŋkʏ
engum	eiŋkʏm
enn	ɛn
ennfremur	enfrɛmʏr
enni	ɛnɪ
ennið	ɛnɪð
enninu	ɛnɪnʏ
ennisband	ɛnɪspant
ennþá	ɛnθau
ensk	ɛnsk
enska	ɛnska
enskan	ɛnskan
enski	ɛnscɪ
enskir	ɛnscɪr
enskra	ɛnskra
enskri	ɛnskrɪ
enskt	ɛnst
ensku	ɛnskʏ
enskum	ɛnskʏm
enskumælandi	ɛnskʏmaiːlantɪ
enskuna	ɛnskʏna
enskunni	ɛnskʏnɪ
enskur	ɛnskʏr
enst	ɛnst
eplatré	ɛhplatrjɛː
eplatrén	ɛhplatrjɛːn
epli	ɛhplɪ
eplið	ɛhplɪð
eplin	ɛhplɪn
eplinu	ɛhplɪnʏ
eplum	ɛhplʏm
er	ɛːr
erfa	ɛrva
erfða	ɛrða
erfðabreytt	ɛrðapreiht
erfðaefni	ɛrðaɛpnɪ
erfðafræði	ɛrðafraiːðɪ
erfðagreining	ɛrðakreiːniŋk
erfðagreiningar	ɛrðakreiːniŋkar
erfðagreiningu	ɛrðakreiːniŋkʏ
erfðamengi	ɛrðameiɲcɪ
erfðaskráin	ɛrðaskrauːɪn
erfðaskrána	ɛrðaskrauna
erfði	ɛrðɪ
erfðir	ɛrðɪr
erfðum	ɛrðʏm
erfidrykkju	ɛrvɪtrɪhcʏ
erfidrykkjuna	ɛrvɪtrɪhcʏna
erfið	ɛrvɪð
erfiða	ɛrvɪða
erfiðan	ɛrvɪðan
erfiðar	ɛrvɪðar
erfiðara	ɛrvɪðara
erfiðari	ɛrvɪðarɪ
erfiðast	ɛrvɪðast
erfiðasta	ɛrvɪðasta
erfiðasti	ɛrvɪðastɪ
erfiði	ɛrvɪðɪ
erfiðið	ɛrvɪðɪð
erfiðir	ɛrvɪðɪr
erfiðis	ɛrvɪðɪs
erfiðismunum	ɛrvɪðɪsmʏːnʏm
erfiðismunum	ɛrvɪðɪsmʏnʏm
erfiðisvinnu	ɛrvɪðɪsvɪnʏ
erfiðlega	ɛrvɪðlɛɣa
erfiðleika	ɛrvɪðleiːka
erfiðleikana	ɛrvɪðleiːkana
erfiðleikar	ɛrvɪðleiːkar
erfiðleikarnir	ɛrvɪðleiːkatnɪr
erfiðleikum	ɛrvɪðleiːkʏm
erfiðleikunum	ɛrvɪðleiːkɔnʏm
erfiðra	ɛrvɪðra
erfiðri	ɛrvɪðrɪ
erfiðu	ɛrvɪðʏ
erfiðum	ɛrvɪðʏm
erfiður	ɛrvɪðʏr
erfiðustu	ɛrvɪðʏstʏ
erfingi	ɛrviɲcɪ
erfingja	ɛrviɲca
erfitt	ɛrvɪht
erft	ɛr̥t
erg	ɛrk
ergileg	ɛrcɪlɛɣ
ergilega	ɛrcɪlɛɣa
ergilegt	ɛrcɪlɛxt
ergilegur	ɛrcɪlɛɣʏr
ergja	ɛrca
eril	ɛːrɪl
erill	ɛːrɪtl̥
erinda	ɛːrɪnta
erindagjörðum	ɛːrɪntacœrðʏm
erindi	ɛːrɪntɪ
erindið	ɛːrɪntɪð
erindin	ɛːrɪntɪn
erindinu	ɛːrɪntɪnʏ
erindis	ɛːrɪntɪs
erindisleysu	ɛːrɪntɪstleiːsʏ
erindreka	ɛːrɪntrɛːka
erindrekar	ɛːrɪntrɛːka
erindum	ɛːrɪntʏm
erkibiskup	ɛr̥cɪpɪskʏp
erkibiskupi	ɛr̥cɪpɪskʏpɪ
erkibiskups	ɛr̥cɪpɪskʏps
erkiengill	ɛr̥cɪeiɲcɪtl̥
erkihertoga	ɛr̥cɪhɛr̥tɔɣa
Erla	ɛrtla
Erlend	ɛrlɛnt
erlenda	ɛrlɛnta
erlendan	ɛrlɛntan
erlendar	ɛrlɛntar
Erlendi	ɛrlɛntɪ
erlendir	ɛrlɛntɪr
erlendis	ɛrlɛntɪs
erlendra	ɛrlɛntra
erlendrar	ɛrlɛntrar
erlendri	ɛrlɛntrɪ
Erlends	ɛrlɛnts
Erlendsdóttir	ɛrlɛntstouhtɪr
Erlendsdóttur	ɛrlɛntstouhtʏr
Erlendsson	ɛrlɛntsɔːn
Erlendssonar	ɛrlɛntsɔːnar
erlendu	ɛrlɛntʏ
erlendum	ɛrlɛntʏm
Erlendur	ɛrlɛntʏr
erlent	ɛrlɛn̥t
erli	ɛrtlɪ
Erling	ɛrliŋk
Erlings	ɛrliŋks
Erlingsdóttir	ɛrliŋkstouhtɪr
Erlingsdóttur	ɛrliŋkstouhtʏr
Erlingsson	ɛrliŋksɔːn
Erlingssonar	ɛrliŋksɔːnar
Erlingssyni	ɛrliŋksɪːnɪ
Erlingur	ɛrliŋkʏr
Erlu	ɛrtlʏ
ermalausum	ɛrmalœyːsʏm
ermarnar	ɛrmatnar
ermi	ɛrmɪ
erminni	ɛrmɪnɪ
ermum	ɛrmʏm
ermunum	ɛrmɔnʏm
ern	ɛrtn̥
Erna	ɛrtna
Erni	ɛrtnɪ
Ernir	ɛrtnɪr
ernu	ɛrtnʏ
erótísk	ɛːroutisk
Erpur	ɛr̥pʏr
Erró	ɛrou
Errós	ɛrous
ert	er̥t
erta	ɛr̥ta
ertnislega	ɛr̥tnɪstlɛɣa
ertu	er̥tʏ
eru	eːrʏ
eruð	ɛːrʏð
erum	eːrʏm
ES	ɛː ɛs
ESA	ɛːsa
ESB	ɛː ɛs pjɛː
Esjan	ɛːsjan
Esju	ɛːsjʏ
Esjuna	ɛːsjʏna
Esjunni	ɛːsjʏnɪ
Eskifirði	ɛscɪfɪrðɪ
Eskifjarðar	ɛscɪfjarðar
Eskihlíð	ɛscɪl̥iːð
Eskil	ɛscɪl
eskimóa	ɛscɪmouːa
eskimóar	ɛscɪmouːar
eskimóarnir	ɛscɪmouːatnɪr
espa	ɛspa
espaðist	ɛspaðɪst
Espólín	ɛspouliːn
essinu	ɛsɪnʏ
Esso	ɛsou
Ester	ɛstɛr
Esther	ɛstɛr
et	ɛːt
eta	ɛːta
etið	ɛːtɪð
etja	ɛːtja
Eva	ɛːva
Evert	ɛːvɛr̥t
Evklíð	ɛvklið
Evklíðs	ɛvkliðs
evra	ɛvra
evran	ɛvran
Evrópa	ɛvroupa
evrópsk	ɛvrousk
evrópska	ɛvrouska
evrópskar	ɛvrouskar
evrópskir	ɛvrouscɪr
evrópskra	ɛvrouskra
evrópskrar	ɛvrouskrar
evrópskri	ɛvrouskrɪ
evrópskt	ɛvroust
evrópsku	ɛvrouskʏ
evrópskum	ɛvrouskʏm
Evrópu	ɛvroupʏ
Evrópubúa	ɛvroupʏpuːa
Evrópubúar	ɛvroupʏpuːar
Evrópukeppni	ɛvroupʏcɛhpnɪ
Evrópukeppnina	ɛvroupʏcɛhpnɪna
Evrópukeppninnar	ɛvroupʏcɛhpnɪnar
Evrópukeppninni	ɛvroupʏcɛhpnɪnɪ
Evrópulanda	ɛvroupʏlanta
Evrópuleik	ɛvroupʏleiːk
Evrópulönd	ɛvroupʏlœnt
Evrópulöndum	ɛvroupʏlœntʏm
Evrópumál	ɛvroupʏmauːl
Evrópumálin	ɛvroupʏmauːlɪn
Evrópumálum	ɛvroupʏmauːlʏm
Evrópumeistaramótinu	ɛvroupʏmeistaramouːtɪnʏ
Evrópumeistarar	ɛvroupʏmeistarar
Evrópumeistari	ɛvroupʏmeistarɪ
Evrópumenn	ɛvroupʏmɛn
Evrópumóti	ɛvroupʏmouːtɪ
Evrópumótið	ɛvroupʏmouːtɪð
Evrópumótinu	ɛvroupʏmouːtɪnʏ
Evrópumótsins	ɛvroupʏmoutsɪns
Evrópuráðið	ɛvroupʏrauːðɪð
Evrópuráðsins	ɛvroupʏrauðsɪns
Evrópuríki	ɛvroupʏriːcɪ
Evrópuríkin	ɛvroupʏriːcɪn
Evrópuríkja	ɛvroupʏriːca
Evrópuríkjanna	ɛvroupʏriːcana
Evrópuríkjum	ɛvroupʏriːcʏm
Evrópusambandið	ɛvroupʏsampantɪð
Evrópusambandinu	ɛvroupʏsampantɪnʏ
Evrópusambandsins	ɛvroupʏsampantsɪns
Evrópuþingið	ɛvroupʏθiɲcɪð
Evrópuþinginu	ɛvroupʏθiɲcɪnʏ
Evrópuþingsins	ɛvroupʏθiŋsɪns
Evrópuþjóða	ɛvroupʏθjouːða
Evrópuþjóðir	ɛvroupʏθjouːðɪr
evru	ɛvrʏ
evrum	ɛvrʏm
evruna	ɛvrʏna
evrunnar	ɛvrʏnar
evrunni	ɛvrʏnɪ
evrur	ɛvrʏr
evrusvæðinu	ɛvrʏsvaiːðɪnʏ
Evu	ɛːvʏ
exi	ɛksɪ
exi	ɛxsɪ
extra	ɛkstra
extra	ɛxstra
ey	eiː
Eydal	eiːtal
eyddi	eitɪ
eyddu	eitʏ
eyddum	eitʏm
Eydís	eiːtis
eyða	eiːða
eyðast	eiːðast
eyði	eiːðɪ
eyðibýli	eiːðɪpiːlɪ
eyðibýlinu	eiːðɪpiːlɪnʏ
eyðibæir	eiːðɪpaiːjɪr
eyðieyju	eiːðɪeijʏ
eyðilagði	eiːðɪlaɣðɪ
eyðilagðist	eiːðɪlaɣðɪst
eyðilagður	eiːðɪlaɣðʏr
eyðilagst	eiːðɪlaxst
eyðilagt	eiːðɪlaxt
eyðilegði	eiːðɪlɛɣðɪ
eyðilegging	eiːðɪlɛciŋk
eyðileggingar	eiːðɪlɛciŋkar
eyðileggingu	eiːðɪlɛciŋkʏ
eyðileggja	eiːðɪlɛca
eyðileggur	eiːðɪlɛkʏr
eyðilegt	eiːðɪlɛxt
eyðilögð	eiːðɪlœɣð
eyðilögðu	eiːðɪlœɣðʏ
eyðimerkur	eiːðɪmɛr̥kʏr
eyðimörk	eiːðɪmœr̥k
eyðimörkin	eiːðɪmœr̥cɪn
eyðimörkinni	eiːðɪmœr̥cɪnɪ
eyðingu	eiːðiŋkʏ
eyðir	eiːðɪr
eyðni	eiðnɪ
eyðslu	eiðstlʏ
eyðublað	eiːðʏplaːð
eyðublöð	eiːðʏplœːð
eyður	eiːðʏr
eyðurnar	eiːðʏtnar
Eyfirðinga	eiːfɪrðiŋka
Eyfirðingur	eiːfɪrðiŋkʏr
Eyfjörð	eiːfjœrð
eygði	eiɣðɪ
eygir	eijɪr
eygja	eija
Eygló	eiːklou
Eyglóar	eiklouar
Eyja	eija
Eyjabakka	eijapahka
Eyjabökkum	eijapœhkʏm
Eyjafirði	eiːjafɪrðɪ
Eyjafirði	eijafɪrðɪ
Eyjafirðinum	eijafɪrðɪnʏm
Eyjafjallahreppi	eiːjafjatlar̥ehpɪ
Eyjafjarðar	eiːjafjarðar
Eyjafjarðar	eijafjarðar
Eyjafjarðarsveit	eijafjarðarsveiːt
Eyjafjarðarsvæðinu	eijafjarðarsvaiːðɪnʏ
Eyjafjöllum	eijafjœtlʏm
Eyjafjörð	eiːjafjœrð
Eyjafjörð	eijafjœrð
Eyjafjörðinn	eijafjœrðɪn
Eyjahafi	eijahaːvɪ
Eyjamanna	eijamana
Eyjamenn	eijamɛn
Eyjamönnum	eijamœnʏm
eyjan	eijan
eyjanna	eijana
Eyjar	eijar
eyjarinnar	eijarɪnar
eyjarnar	eijatnar
eyjarskeggjar	eijascɛcar
Eyjastúlkur	eijastul̥kʏr
Eyjastúlkur	eijastulkʏr
Eyjólf	eijoulv
Eyjólfi	eijoulvɪ
Eyjólfs	eijouls
Eyjólfsdóttir	eiːjoulstouhtɪr
Eyjólfsdóttir	eijoulstouhtɪr
Eyjólfsdóttur	eiːjoulstouhtʏr
Eyjólfsson	eiːjoulsɔːn
Eyjólfsson	eijoulsɔːn
Eyjólfssonar	eiːjoulsɔːnar
Eyjólfssonar	eijoulsɔːnar
Eyjólfssyni	eiːjoulsɪːnɪ
Eyjólfssyni	eijoulsɪːnɪ
Eyjólfur	eijoulvʏr
eyju	eijʏ
Eyjum	eijʏm
eyjuna	eijʏna
eyjunnar	eijʏnar
eyjunni	eijʏnɪ
eyjunum	eijɔnʏm
eykst	eikst
eykst	eixst
eykur	eiːkʏr
eymd	eimt
eymdarlega	eimtarlɛɣa
eymdarlegri	eimtarlɛɣrɪ
eymdarlegt	eimtarlɛxt
Eymundsdóttir	eiːmʏntstouhtɪr
Eymundsson	eiːmʏntsɔːn
eyna	eiːna
eynni	einɪ
eyra	eiːra
eyrað	eiːrað
eyranu	eiːranʏ
Eyrarbakka	eiːrapahka
Eyrarholti	eiːrarhɔl̥tɪ
Eyri	eiːrɪ
eyrina	eiːrɪna
eyrinni	eiːrɪnɪ
eyrna	eirtna
eyrnamerkt	eirtnamɛr̥t
eyrnamerktur	eirtnamɛr̥tʏr
eyru	eiːrʏ
eyrum	eiːrʏm
eyrun	eiːrʏn
eyrunum	eiːrɔnʏm
Eyrún	eiːrun
Eyrúnar	eiːrunar
Eyrúnu	eiːrunʏ
Eystein	eiːstein
Eysteini	eiːsteinɪ
Eysteinn	eiːsteitn̥
Eysteins	eiːsteins
Eysteinsdóttir	eiːsteinstouhtɪr
Eysteinsdóttir	eisteinstouhtɪr
Eysteinsson	eiːsteinsɔːn
Eysteinsson	eisteinsɔːn
eystra	eistra
Eystrasaltslöndunum	eistrasal̥tstlœntɔnʏm
Eystrasaltsríkin	eistrasal̥tsriːcɪn
Eystrasaltsríkjanna	eistrasal̥tsriːcana
Eystrasaltsríkjunum	eistrasal̥tsriːcɔnʏm
eystri	eistrɪ
Eystribyggð	eistrɪpɪɣð
eytt	eiht
Eyvindarson	eiːvɪntarsɔːn
Eyvindsson	eiːvɪntsɔːn
Eyvindur	eiːvɪntʏr
Eyþór	eiːθour
Eyþóri	eiːθourɪ
Eyþórs	eiːθour̥s
Eyþórsdóttir	eiːθour̥stouhtɪr
Eyþórsson	eiːθour̥sɔːn
Eyþórsson	eiːθour̥sɔːn
Eþíópíu	ɛːθijoupijʏ
é	jɛː
ég	jɛːɣ
él	jɛːl
ét	jɛːt
éta	jɛːta
éti	jɛːtɪ
étið	jɛːtɪð
étin	jɛːtɪn
étinn	jɛːtɪn
étur	jɛːtʏr
étur	jɛːtʏr
F	ɛf
faðerni	faːðɛrtnɪ
faðir	faːðɪr
faðirinn	faːðɪrɪn
faðirvorið	faːðɪrvɔːrɪð
faðm	faðm
faðma	faðma
faðmaði	faðmaðɪ
faðmar	faðmar
faðmi	faðmɪ
faðminn	faðmɪn
faðmlag	faðmlaɣ
faðmlagi	faðmlaijɪ
faðmlagi	faðmlajɪ
faðmlagið	faðmlaijɪð
faðmlagið	faðmlajɪð
faðmlögin	faðmlœjɪn
faðmlögin	faðmlœyjɪn
faðmlögum	faðmlœɣʏm
faðmur	faðmʏr
fag	faːɣ
fagaðila	faːɣaðɪla
fagfjárfesta	faxfjaurfɛsta
fagfólk	faxfoul̥k
fagfólk	faxfoulk
fagfólki	faxfoul̥cɪ
fagfólki	faxfoulcɪ
fagfólks	faxfoul̥ks
fagfólks	faxfoulks
fagi	faːjɪ
fagi	faijɪ
fagið	faːjɪð
fagið	faijɪð
faginu	faːjɪnʏ
faginu	faijɪnʏ
fagleg	faɣlɛɣ
faglega	faɣlɛɣa
faglegan	faɣlɛɣan
faglegri	faɣlɛɣrɪ
faglegt	faɣlɛxt
faglegu	faɣlɛɣʏ
faglegum	faɣlɛɣʏm
fagmaður	faɣmaðʏr
fagmanna	faɣmana
fagmannlega	faɣmanlɛɣa
fagmenn	faɣmɛn
fagmennsku	faɣmɛnskʏ
fagna	fakna
fagnað	faknað
fagnaðar	faknaðar
fagnaðarbjarma	faknaðarpjarma
fagnaðarefni	faknaðarɛpnɪ
fagnaðarerindið	faknaðarɛːrɪntɪð
fagnaðarfundir	faknaðarfʏntɪr
fagnaðarfundur	faknaðarfʏntʏr
fagnaðarlátum	faknaðarlauːtʏm
fagnaðarlæti	faknaðarlaiːtɪ
fagnaðarlætin	faknaðarlaiːtɪn
fagnaðaróp	faknaðarouːp
fagnaði	faknaðɪ
fagnandi	faknantɪ
fagnar	faknar
fagni	faknɪ
fagott	faːkɔht
fagra	faɣra
Fagradal	faɣrataːl
Fagrahvammi	faɣrakvamɪ
Fagrahvammi	faɣraxvamɪ
fagran	faɣran
fagrar	faɣrar
fagrir	faɣrɪr
fagstjóra	faxstjoura
fagstjóri	faxstjourɪ
Fagtúni	faɣtunɪ
Fagtúni	faxtunɪ
fagur	faːɣʏr
fagurfræði	faːɣʏrfraiːðɪ
fagurkeri	faːɣʏrcɛːrɪ
fagurlega	faːɣʏrlɛɣa
fagurt	faːɣʏr̥t
falast	faːlast
falda	falta
faldar	faltar
faldi	faltɪ
faldinn	faltɪn
faldinum	faltɪnʏm
faldir	faltɪr
falið	faːlɪð
falin	faːlɪn
falinn	faːlɪn
falist	faːlɪst
fall	fatl̥
falla	fatla
fallandi	fatlantɪ
fallast	fatlast
fallbyssum	fatl̥pɪsʏm
fallbyssur	fatl̥pɪsʏr
falleg	fatlɛɣ
fallega	fatlɛɣa
fallegan	fatlɛɣan
fallegar	fatlɛɣar
fallegasta	fatlɛɣasta
fallegasti	fatlɛɣastɪ
fallegi	fatleijɪ
fallegir	fatleijɪr
fallegra	fatlɛɣra
fallegri	fatlɛɣrɪ
fallegt	fatlɛxt
fallegu	fatlɛɣʏ
fallegum	fatlɛɣʏm
fallegur	fatlɛkʏr
fallegustu	fatlɛɣʏstʏ
falli	fatlɪ
fallið	fatlɪð
fallin	fatlɪn
fallinn	fatlɪn
fallinu	fatlɪnʏ
fallist	fatlɪst
fallna	fatl̥na
fallnar	fatl̥nar
fallnir	fatl̥nɪr
falls	fals
falsa	falsa
falsað	falsað
falsettu	falsɛhtʏ
falska	falska
falskar	falskar
falskt	falst
falskur	falskʏr
falt	fal̥t
falur	faːlʏr
fang	faŋk
fang	fauŋk
fanga	faŋka
fanga	fauŋka
fangabúðir	faŋkapuːðɪr
fangabúðir	fauŋkapuːðɪr
fangabúðum	faŋkapuːðʏm
fangabúðum	fauŋkapuːðʏm
fangað	faŋkað
fangað	fauŋkað
fangaði	faŋkaðɪ
fangaði	fauŋkaðɪ
fangageymslu	faŋkaceimstlʏ
fangageymslu	fauŋkaceimstlʏ
fangaklefa	faŋkaklɛːva
fangaklefa	fauŋkaklɛːva
fangana	faŋkana
fangana	fauŋkana
fangann	faŋkan
fangann	fauŋkan
fanganna	faŋkana
fanganna	fauŋkana
fangar	faŋkar
fangar	fauŋkar
fangarnir	faŋkatnɪr
fangarnir	fauŋkatnɪr
fangavagninum	faŋkavaknɪnʏm
fangavagninum	fauŋkavaknɪnʏm
fangaverðirnir	faŋkavɛrðɪtnɪr
fangaverðirnir	fauŋkavɛrðɪtnɪr
fangavörðurinn	faŋkavœrðʏrɪn
fangavörðurinn	fauŋkavœrðʏrɪn
fangelsaður	faɲcɛlsaðʏr
fangelsaður	fauɲcɛlsaðʏr
fangelsi	faɲcɛlsɪ
fangelsi	fauɲcɛlsɪ
fangelsið	faɲcɛlsɪð
fangelsið	fauɲcɛlsɪð
fangelsinu	faɲcɛlsɪnʏ
fangelsinu	fauɲcɛlsɪnʏ
fangelsinu	fauŋkɛlsɪnʏ
fangelsisdóm	faɲcɛlsɪstouːm
fangelsisdóm	fauɲcɛlsɪstouːm
fangelsisvist	faɲcɛlsɪsvɪst
fangelsisvist	fauɲcɛlsɪsvɪst
fangelsisvistar	faɲcɛlsɪsvɪstar
fangelsisvistar	fauɲcɛlsɪsvɪstar
fangelsum	faɲcɛlsʏm
fangelsum	fauɲcɛlsʏm
fangi	faɲcɪ
fangi	fauɲcɪ
fangið	faɲcɪð
fangið	fauɲcɪð
fanginn	faɲcɪn
fanginn	fauɲcɪn
fanginni	faɲcɪnɪ
fanginni	fauɲcɪnɪ
fanginu	faɲcɪnʏ
fanginu	fauɲcɪnʏ
fanginu	fauŋkɪnʏ
fann	fan
Fannafold	fanafɔlt
Fannar	fanar
Fannari	fanarɪ
Fannars	fanar̥s
Fannars	fanars
Fannborg	fanpɔrk
Fanney	fanei
Fanneyju	faneijʏ
fannst	fanst
fannst	fanst
fannstu	fanstʏ
Fanný	fani
fanta	fan̥ta
fanta	fanta
fantasíu	fan̥tasijʏ
fantasíu	fantasijʏ
fantinn	fan̥tɪn
fantinn	fantɪn
fantur	fan̥tʏr
fantur	fantʏr
far	faːr
fara	faːra
faraldsfæti	faːraltsfaiːtɪ
faraldur	faːraltʏr
farandbikar	faːrantpɪːkar
farangri	faːraŋkrɪ
farangri	faːrauŋkrɪ
farangrinum	faːraŋkrɪnʏm
farangrinum	faːrauŋkrɪnʏm
farangur	faːraŋkʏr
farangur	faːrauŋkʏr
farangurinn	faːraŋkʏrɪn
farangurinn	faːrauŋkʏrɪn
farar	faːrar
fararbroddi	faːrarprɔtɪ
fararinnar	faːrarɪnar
fararsnið	faːrarstnɪːð
fararstjóra	faːrarstjouːra
fararstjóri	faːrarstjouːrɪ
fararstjórinn	faːrarstjouːrɪn
fararstjórn	faːrarstjourtn̥
farartæki	faːrartaiːcɪ
farartækið	faːrartaiːcɪð
farartækjum	faːrartaiːcʏm
farast	faːrast
farborða	farpɔrða
farðalaust	farðalœyst
farðu	farðʏ
farg	fark
farga	farka
fargað	farkað
fargi	farcɪ
fargjald	farcalt
fargjöld	farcœlt
fari	faːrɪ
farið	faːrɪð
fariði	faːrɪðɪ
farin	faːrin
farinn	faːrin
farinu	faːrɪnʏ
farir	faːrɪr
farist	faːrɪst
farlama	farlama
farm	farm
farma	farma
farmanna	farmana
farmiða	farmɪða
farminn	farmɪn
farminum	farmɪnʏm
farmurinn	farmʏrɪn
farnar	fartnar
farnast	fartnast
farnir	fartnɪr
farrými	farimɪ
farrýmis	farimɪs
farsa	far̥sa
farsíma	far̥sima
farsímakerfi	far̥simacɛrvɪ
farsímann	far̥siman
farsímanotkun	far̥simanɔtkʏn
farsímanum	far̥simanʏm
farsímar	far̥simar
farsímaþjónustu	far̥simaθjouːnʏstʏ
farsími	far̥simɪ
farsímum	far̥simʏm
farsótt	far̥souht
farsóttarheimilinu	far̥souhtarheiːmɪlɪnʏ
farsæl	far̥sail
farsæla	far̥saila
farsælan	far̥sailan
farsæld	far̥sailt
farsældar	far̥sailtar
farsæll	far̥saitl̥
farsælla	far̥saitla
farsællega	far̥sailɛɣa
farsælli	far̥saitlɪ
farsælt	far̥sail̥t
farsælu	far̥sailʏ
farsælum	far̥sailʏm
farteskinu	far̥tɛscɪnʏ
fartölvu	far̥tœlvʏ
fartölvuna	far̥tœlvʏna
fartölvur	far̥tœlvʏr
farvatninu	farvahtnɪnʏ
farveg	farvɛɣ
farvegi	farveijɪ
farvegur	farvɛɣʏr
farþega	far̥θɛɣa
farþegamegin	far̥θɛɣameijɪn
farþegana	far̥θɛɣana
farþeganna	far̥θɛɣana
farþegar	far̥θɛɣar
farþegarnir	far̥θɛɣatnɪr
farþegaskip	far̥θɛɣascɪp
farþegasætið	far̥θɛɣasaiːtɪð
farþegasætinu	far̥θɛɣasaiːtɪnʏ
farþegi	far̥θeijɪ
farþegum	far̥θɛɣʏm
farþegunum	far̥θɛɣɔnʏm
fas	faːs
fasi	faːsɪ
fasið	faːsɪð
fasismans	faːsɪsmans
fasismanum	faːsɪsmanʏm
fasista	faːsɪsta
fasistana	faːsɪstana
fasistanna	faːsɪstana
fasistar	faːsɪstar
fasisti	faːsɪstɪ
