abá	aˈba
aviás	abiˈas
aviciá	abisiˈa
aviciás	abisiˈas
aviciés	abiˈsjes
aviejá	abjeˈxa
aviejás	abjeˈxas
aviejés	abjeˈxes
aviés	aˈbjes
avigorá	abigoˈɾa
avigorás	abigoˈɾas
avigorés	abigoˈɾes
avilantá	abilanˈt̪a
avilantás	abilanˈt̪as
avilantés	abilanˈt̪es
avillaná	abiʝaˈna
avillanás	abiʝaˈnas
avillanés	abiʝaˈnes
avinagrá	abinaˈgɾa
avinagrás	abinaˈgɾas
avinagrés	abinaˈgɾes
avisá	abiˈsa
avisás	abiˈsas
avisés	abiˈses
avispá	abisˈpa
avispás	abisˈpas
avispés	abisˈpes
avistá	abisˈt̪a
avistás	abisˈt̪as
avistés	abisˈt̪es
avituallá	abit̪waˈʝa
avituallás	abit̪waˈʝas
avituallés	abit̪waˈʝes
avivá	abiˈba
avivás	abiˈbas
avivés	abiˈbes
avizorá	abisoˈɾa
avizorás	abisoˈɾas
avizorés	abisoˈɾes
avocá	aboˈka
avocás	aboˈkas
avoqués	aboˈkes
ayeá	aʝeˈa
ayeás	aʝeˈas
ayeés	aʝeˈes
ayudá	aʝuˈd̪a
ayudás	aʝuˈd̪as
ayudés	aʝuˈd̪es
ayuná	aʝuˈna
ayunás	aʝuˈnas
ayunés	aʝuˈnes
ayustá	aʝusˈt̪a
ayustás	aʝusˈt̪as
ayustés	aʝusˈt̪es
azacaná	asakaˈna
azacanás	asakaˈnas
azacanés	asakaˈnes
azafraná	asafɾaˈna
azafranás	asafɾaˈnas
azafranés	asafɾaˈnes
azará	asaˈɾa
azarandá	asaɾanˈd̪a
azarandás	asaɾanˈd̪as
azarandés	asaɾanˈd̪es
azarás	asaˈɾas
azareá	asaɾeˈa
azareás	asaɾeˈas
azareés	asaɾeˈes
azarés	asaˈɾes
azoá	asoˈa
azoás	asoˈas
azoés	asoˈes
azogá	asoˈga
azogás	asoˈgas
azogués	asoˈges
azolá	asoˈla
azolás	asoˈlas
azolés	asoˈles
azolvá	asolˈba
azolvás	asolˈbas
azolvés	asolˈbes
azorá	asoˈɾa
azorás	asoˈɾas
azorés	asoˈɾes
azorrá	asoˈra
azorrás	asoˈras
azorrés	asoˈres
azotá	asoˈt̪a
azotás	asoˈt̪as
azotés	asoˈt̪es
azucará	asukaˈɾa
azucarás	asukaˈɾas
azucarés	asukaˈɾes
azucés	asuˈses
azufrá	asuˈfɾa
azufrás	asuˈfɾas
azufrés	asuˈfɾes
azulá	asuˈla
azulás	asuˈlas
azuleá	asuleˈa
azuleás	asuleˈas
azuleés	asuleˈes
azulejeá	asulexeˈa
azulejeás	asulexeˈas
azulejeés	asulexeˈes
azulés	asuˈles
azumá	asuˈma
azumás	asuˈmas
azumés	asuˈmes
azurroná	asuroˈna
azurronás	asuroˈnas
azurronés	asuroˈnes
azuzá	asuˈsa
azuzás	asuˈsas
babeá	babeˈa
babeás	babeˈas
babeés	babeˈes
baboseá	baboseˈa
baboseás	baboseˈas
baboseés	baboseˈes
bacheá	baʧeˈa
bacheás	baʧeˈas
bacheés	baʧeˈes
bachillereá	baʧiʝeɾeˈa
bachillereás	baʧiʝeɾeˈas
bachillereés	baʧiʝeɾeˈes
badajeá	bad̪axeˈa
badajeás	bad̪axeˈas
badajeés	bad̪axeˈes
bagá	baˈga
bagás	baˈgas
bagués	baˈges
bailá	bajˈla
bailás	bajˈlas
bailés	bajˈles
bailoteá	bajlot̪eˈa
bailoteás	bajlot̪eˈas
bailoteés	bajlot̪eˈes
bajá	baˈxa
bajás	baˈxas
bajés	baˈxes
balá	baˈla
baladroneá	balad̪ɾoneˈa
baladroneás	balad̪ɾoneˈas
baladroneés	balad̪ɾoneˈes
balanceá	balanseˈa
balanceás	balanseˈas
balanceés	balanseˈes
balás	baˈlas
balbucás	balbuˈkas
balbuceá	balbuseˈa
balbuceás	balbuseˈas
balbuceés	balbuseˈes
balbucí	balbuˈsi
balbucís	balbuˈsis
balcanicés	balkaniˈses
balcanizá	balkaniˈsa
balcanizás	balkaniˈsas
balconeá	balkoneˈa
balconeás	balkoneˈas
balconeés	balkoneˈes
baldá	balˈd̪a
baldás	balˈd̪as
baldeá	bald̪eˈa
baldeás	bald̪eˈas
baldeés	bald̪eˈes
baldés	balˈd̪es
baldoná	bald̪oˈna
baldonás	bald̪oˈnas
baldoneá	bald̪oneˈa
baldoneás	bald̪oneˈas
baldoneés	bald̪oneˈes
baldonés	bald̪oˈnes
baldosá	bald̪oˈsa
baldosás	bald̪oˈsas
baldosés	bald̪oˈses
baleá	baleˈa
baleás	baleˈas
baleés	baleˈes
balés	baˈles
balicés	baliˈses
balitá	baliˈt̪a
balitás	baliˈt̪as
baliteá	balit̪eˈa
baliteás	balit̪eˈas
baliteés	balit̪eˈes
balités	baliˈt̪es
balizá	baliˈsa
balizás	baliˈsas
ballesteá	baʝest̪eˈa
ballesteás	baʝest̪eˈas
ballesteés	baʝest̪eˈes
balotá	baloˈt̪a
balotás	baloˈt̪as
balotés	baloˈt̪es
bambaleá	bambaleˈa
bambaleás	bambaleˈas
bambaleés	bambaleˈes
bamboleá	bamboleˈa
bamboleás	bamboleˈas
bamboleés	bamboleˈes
bamboneá	bamboneˈa
bamboneás	bamboneˈas
bamboneés	bamboneˈes
bañá	baˈɲa
bañás	baˈɲas
bandeá	band̪eˈa
bandeás	band̪eˈas
bandeés	band̪eˈes
bandericés	band̪eɾiˈses
banderilleá	band̪eɾiʝeˈa
banderilleás	band̪eɾiʝeˈas
banderilleés	band̪eɾiʝeˈes
banderizá	band̪eɾiˈsa
banderizás	band̪eɾiˈsas
bañés	baˈɲes
banqueá	bankeˈa
banqueás	bankeˈas
banqueés	bankeˈes
banqueteá	banket̪eˈa
banqueteás	banket̪eˈas
banqueteés	banket̪eˈes
baqueá	bakeˈa
baqueás	bakeˈas
baqueés	bakeˈes
baqueteá	baket̪eˈa
baqueteás	baket̪eˈas
baqueteés	baket̪eˈes
baquiá	bakiˈa
baquiás	bakiˈas
baquiés	baˈkjes
barajá	baɾaˈxa
barajás	baɾaˈxas
barajés	baɾaˈxes
barateá	baɾat̪eˈa
barateás	baɾat̪eˈas
barateés	baɾat̪eˈes
barbá	baɾˈba
barbareá	baɾbaɾeˈa
barbareás	baɾbaɾeˈas
barbareés	baɾbaɾeˈes
barbaricés	baɾbaɾiˈses
barbarizá	baɾbaɾiˈsa
barbarizás	baɾbaɾiˈsas
barbás	baɾˈbas
barbeá	baɾbeˈa
barbeás	baɾbeˈas
barbechá	baɾbeˈʧa
barbechás	baɾbeˈʧas
barbechés	baɾbeˈʧes
barbeés	baɾbeˈes
barbés	baɾˈbes
barbotá	baɾboˈt̪a
barbotás	baɾboˈt̪as
barboteá	baɾbot̪eˈa
barboteás	baɾbot̪eˈas
barboteés	baɾbot̪eˈes
barbotés	baɾboˈt̪es
barbullá	baɾbuˈʝa
barbullás	baɾbuˈʝas
barbullés	baɾbuˈʝes
barloá	baɾloˈa
barloás	baɾloˈas
barloés	baɾloˈes
barloventeá	baɾlobent̪eˈa
barloventeás	baɾlobent̪eˈas
barloventeés	baɾlobent̪eˈes
barnicés	baɾniˈses
barnizá	baɾniˈsa
barnizás	baɾniˈsas
barqueá	baɾkeˈa
barqueás	baɾkeˈas
barqueés	baɾkeˈes
barrá	baˈra
barrás	baˈras
barrás	baˈras
barreá	bareˈa
barreás	bareˈas
barré	baˈre
barreés	bareˈes
barrená	bareˈna
barrenás	bareˈnas
barrenés	bareˈnes
barrés	baˈres
barrés	baˈres
barreteá	baret̪eˈa
barreteás	baret̪eˈas
barreteés	baret̪eˈes
barruntá	barunˈt̪a
barruntás	barunˈt̪as
barruntés	barunˈt̪es
bartoleá	baɾt̪oleˈa
bartoleás	baɾt̪oleˈas
bartoleés	baɾt̪oleˈes
bartuleá	baɾt̪uleˈa
bartuleás	baɾt̪uleˈas
bartuleés	baɾt̪uleˈes
barzoneá	baɾsoneˈa
barzoneás	baɾsoneˈas
barzoneés	baɾsoneˈes
basá	baˈsa
basás	baˈsas
basculá	baskuˈla
basculás	baskuˈlas
basculés	baskuˈles
basés	baˈses
basqueá	baskeˈa
basqueás	baskeˈas
basqueés	baskeˈes
bastá	basˈt̪a
bastanteá	bast̪ant̪eˈa
bastanteás	bast̪ant̪eˈas
bastanteés	bast̪ant̪eˈes
bastardeá	bast̪aɾd̪eˈa
bastardeás	bast̪aɾd̪eˈas
bastardeés	bast̪aɾd̪eˈes
bastás	basˈt̪as
basteá	bast̪eˈa
basteás	bast̪eˈas
basteés	bast̪eˈes
bastés	basˈt̪es
bastimentá	bast̪imenˈt̪a
bastimentás	bast̪imenˈt̪as
bastimentés	bast̪imenˈt̪es
bastoneá	bast̪oneˈa
bastoneás	bast̪oneˈas
bastoneés	bast̪oneˈes
basureá	basuɾeˈa
basureás	basuɾeˈas
basureés	basuɾeˈes
batallá	bat̪aˈʝa
batallás	bat̪aˈʝas
batallés	bat̪aˈʝes
bataná	bat̪aˈna
batanás	bat̪aˈnas
bataneá	bat̪aneˈa
bataneás	bat̪aneˈas
bataneés	bat̪aneˈes
batanés	bat̪aˈnes
batás	baˈt̪as
bateá	bat̪eˈa
bateás	bat̪eˈas
bateés	bat̪eˈes
batí	baˈt̪i
batiportá	bat̪ipoɾˈt̪a
batiportás	bat̪ipoɾˈt̪as
batiportés	bat̪ipoɾˈt̪es
batís	baˈt̪is
batojá	bat̪oˈxa
batojás	bat̪oˈxas
batojés	bat̪oˈxes
batuqueá	bat̪ukeˈa
batuqueás	bat̪ukeˈas
batuqueés	bat̪ukeˈes
bauticés	bawt̪iˈses
bautizá	bawt̪iˈsa
bautizás	bawt̪iˈsas
bazucá	basuˈka
bazucás	basuˈkas
bazuqueá	basukeˈa
bazuqueás	basukeˈas
bazuqueés	basukeˈes
bazuqués	basuˈkes
beatificá	beat̪ifiˈka
beatificás	beat̪ifiˈkas
beatifiqués	beat̪ifiˈkes
bebás	beˈbas
bebé	beˈbe
bebés	beˈbes
beborroteá	beborot̪eˈa
beborroteás	beborot̪eˈas
beborroteés	beborot̪eˈes
becá	beˈka
becás	beˈkas
befá	beˈfa
befás	beˈfas
befés	beˈfes
bejuqueá	bexukeˈa
bejuqueás	bexukeˈas
bejuqueés	bexukeˈes
beldá	belˈd̪a
beldás	belˈd̪as
beldés	belˈd̪es
bellaqueá	beʝakeˈa
bellaqueás	beʝakeˈas
bellaqueés	beʝakeˈes
bendecí	bend̪eˈsi
bendecís	bend̪eˈsis
bendigás	bend̪iˈgas
beneficiá	benefisiˈa
beneficiás	benefisiˈas
beneficiés	benefiˈsjes
bequés	beˈkes
berreá	bereˈa
berreás	bereˈas
berreés	bereˈes
besá	beˈsa
besás	beˈsas
besés	beˈses
besucá	besuˈka
besucás	besuˈkas
besuqueá	besukeˈa
besuqueás	besukeˈas
besuqueés	besukeˈes
besuqués	besuˈkes
bichá	biˈʧa
bichás	biˈʧas
bicheá	biʧeˈa
bicheás	biʧeˈas
bicheés	biʧeˈes
bichés	biˈʧes
bieldá	bjelˈd̪a
bieldás	bjelˈd̪as
bieldés	bjelˈd̪es
bienquerás	bjenkeˈɾas
bienqueré	bjenkeˈɾe
bienquerés	bjenkeˈɾes
bienquistá	bjenkisˈt̪a
bienquistás	bjenkisˈt̪as
bienquistés	bjenkisˈt̪es
bifurcá	bifuɾˈka
bifurcás	bifuɾˈkas
bifurqués	bifuɾˈkes
bigardeá	bigaɾd̪eˈa
bigardeás	bigaɾd̪eˈas
bigardeés	bigaɾd̪eˈes
biná	biˈna
binás	biˈnas
binés	biˈnes
biografiá	bjogɾafiˈa
biografiás	bjogɾafiˈas
biografiés	bjogɾaˈfjes
birlá	biɾˈla
birlás	biɾˈlas
birlés	biɾˈles
bisá	biˈsa
bisás	biˈsas
bisbisá	bisbiˈsa
bisbisás	bisbiˈsas
bisbiseá	bisbiseˈa
bisbiseás	bisbiseˈas
bisbiseés	bisbiseˈes
bisbisés	bisbiˈses
bisecá	biseˈka
bisecás	biseˈkas
biselá	biseˈla
biselás	biseˈlas
biselés	biseˈles
bisequés	biseˈkes
bisés	biˈses
bizcá	bisˈka
bizcás	bisˈkas
bizcochá	biskoˈʧa
bizcochás	biskoˈʧas
bizcochés	biskoˈʧes
bizcorneá	biskoɾneˈa
bizcorneás	biskoɾneˈas
bizcorneés	biskoɾneˈes
bizqueá	biskeˈa
bizqueás	biskeˈas
bizqueés	biskeˈes
bizqués	bisˈkes
blandás	blanˈd̪as
blandeá	bland̪eˈa
blandeás	bland̪eˈas
blandeés	bland̪eˈes
blandí	blanˈd̪i
blandís	blanˈd̪is
blanqueá	blankeˈa
blanqueás	blankeˈas
blanquecé	blankeˈse
blanquecés	blankeˈses
blanqueés	blankeˈes
blanquezcás	blankesˈkas
blasfemá	blasfeˈma
blasfemás	blasfeˈmas
blasfemés	blasfeˈmes
blasoná	blasoˈna
blasonás	blasoˈnas
blasonés	blasoˈnes
blindá	blinˈd̪a
blindás	blinˈd̪as
blindés	blinˈd̪es
blocá	bloˈka
blocás	bloˈkas
bloqueá	blokeˈa
bloqueás	blokeˈas
bloqueés	blokeˈes
bloqués	bloˈkes
bobeá	bobeˈa
bobeás	bobeˈas
bobeés	bobeˈes
bobiná	bobiˈna
bobinás	bobiˈnas
bobinés	bobiˈnes
bocadeá	bokad̪eˈa
bocadeás	bokad̪eˈas
bocadeés	bokad̪eˈes
boceá	boseˈa
boceás	boseˈas
bocecés	boseˈses
boceés	boseˈes
bocelá	boseˈla
bocelás	boseˈlas
bocelés	boseˈles
bocezá	boseˈsa
bocezás	boseˈsas
bochá	boˈʧa
bochás	boˈʧas
bochés	boˈʧes
bociná	bosiˈna
bocinás	bosiˈnas
bocinés	bosiˈnes
bogá	boˈga
bogás	boˈgas
bogués	boˈges
boicoteá	bojkot̪eˈa
boicoteás	bojkot̪eˈas
boicoteés	bojkot̪eˈes
bojá	boˈxa
bojás	boˈxas
bojeá	boxeˈa
bojeás	boxeˈas
bojeés	boxeˈes
bojés	boˈxes
boleá	boleˈa
boleás	boleˈas
boleés	boleˈes
bollá	boˈʝa
bollás	boˈʝas
bollés	boˈʝes
bolseá	bolseˈa
bolseás	bolseˈas
bolseés	bolseˈes
bolsiqueá	bolsikeˈa
bolsiqueás	bolsikeˈas
bolsiqueés	bolsikeˈes
bombardeá	bombaɾd̪eˈa
bombardeás	bombaɾd̪eˈas
bombardeés	bombaɾd̪eˈes
bombeá	bombeˈa
bombeás	bombeˈas
bombeés	bombeˈes
bonificá	bonifiˈka
bonificás	bonifiˈkas
bonifiqués	bonifiˈkes
boqueá	bokeˈa
boqueás	bokeˈas
boqueés	bokeˈes
borboleá	boɾboleˈa
borboleás	boɾboleˈas
borboleés	boɾboleˈes
borbollá	boɾboˈʝa
borbollás	boɾboˈʝas
borbollés	boɾboˈʝes
borbolloneá	boɾboʝoneˈa
borbolloneás	boɾboʝoneˈas
borbolloneés	boɾboʝoneˈes
borboritá	boɾboɾiˈt̪a
borboritás	boɾboɾiˈt̪as
borborités	boɾboɾiˈt̪es
borbotá	boɾboˈt̪a
borbotás	boɾboˈt̪as
borboteá	boɾbot̪eˈa
borboteás	boɾbot̪eˈas
borboteés	boɾbot̪eˈes
borbotés	boɾboˈt̪es
bordá	boɾˈd̪a
bordás	boɾˈd̪as
bordeá	boɾd̪eˈa
bordeás	boɾd̪eˈas
bordeés	boɾd̪eˈes
bordés	boɾˈd̪es
bordoneá	boɾd̪oneˈa
bordoneás	boɾd̪oneˈas
bordoneés	boɾd̪oneˈes
borneá	boɾneˈa
borneás	boɾneˈas
borneés	boɾneˈes
borrá	boˈra
borracheá	boraʧeˈa
borracheás	boraʧeˈas
borracheés	boraʧeˈes
borrajeá	boraxeˈa
borrajeás	boraxeˈas
borrajeés	boraxeˈes
borrás	boˈras
borrés	boˈres
borroneá	boroneˈa
borroneás	boroneˈas
borroneés	boroneˈes
bosquejá	boskeˈxa
bosquejás	boskeˈxas
bosquejés	boskeˈxes
bostecés	bost̪eˈses
bostezá	bost̪eˈsa
bostezás	bost̪eˈsas
botá	boˈt̪a
botás	boˈt̪as
botés	boˈt̪es
botoná	bot̪oˈna
botonás	bot̪oˈnas
botonés	bot̪oˈnes
boxeá	bokseˈa
boxeás	bokseˈas
boxeés	bokseˈes
boyá	boˈʝa
boyás	boˈʝas
boyés	boˈʝes
braceá	bɾaseˈa
braceás	bɾaseˈas
braceés	bɾaseˈes
bramá	bɾaˈma
bramás	bɾaˈmas
bramés	bɾaˈmes
brandá	bɾanˈd̪a
brandás	bɾanˈd̪as
brandés	bɾanˈd̪es
braveá	bɾabeˈa
braveás	bɾabeˈas
braveés	bɾabeˈes
bravuconeá	bɾabukoneˈa
bravuconeás	bɾabukoneˈas
bravuconeés	bɾabukoneˈes
breá	bɾeˈa
breás	bɾeˈas
breés	bɾeˈes
bregá	bɾeˈga
bregás	bɾeˈgas
bregués	bɾeˈges
brescá	bɾesˈka
brescás	bɾesˈkas
bresqués	bɾesˈkes
bribá	bɾiˈba
bribás	bɾiˈbas
bribés	bɾiˈbes
bribiá	bɾibiˈa
bribiás	bɾibiˈas
bribiés	bɾiˈbjes
briboneá	bɾiboneˈa
briboneás	bɾiboneˈas
briboneés	bɾiboneˈes
bridá	bɾiˈd̪a
bridás	bɾiˈd̪as
bridés	bɾiˈd̪es
brillá	bɾiˈʝa
brillás	bɾiˈʝas
brillés	bɾiˈʝes
brincá	bɾinˈka
brincás	bɾinˈkas
brindá	bɾinˈd̪a
brindás	bɾinˈd̪as
brindés	bɾinˈd̪es
brinqués	bɾinˈkes
broceá	bɾoseˈa
broceás	bɾoseˈas
broceés	bɾoseˈes
bromá	bɾoˈma
bromás	bɾoˈmas
bromeá	bɾomeˈa
bromeás	bɾomeˈas
bromeés	bɾomeˈes
bromés	bɾoˈmes
bronceá	bɾonseˈa
bronceás	bɾonseˈas
bronceés	bɾonseˈes
broquelá	bɾokeˈla
broquelás	bɾokeˈlas
broquelés	bɾokeˈles
brotá	bɾoˈt̪a
brotás	bɾoˈt̪as
brotés	bɾoˈt̪es
brucés	bɾuˈses
brujás	bɾuˈxas
brujeá	bɾuxeˈa
brujeás	bɾuxeˈas
brujeés	bɾuxeˈes
brují	bɾuˈxi
brujís	bɾuˈxis
brujuleá	bɾuxuleˈa
brujuleás	bɾuxuleˈas
brujuleés	bɾuxuleˈes
brumá	bɾuˈma
brumás	bɾuˈmas
brumés	bɾuˈmes
bruñás	bɾuˈɲas
bruñí	bɾuˈɲi
bruñís	bɾuˈɲis
brutalicés	bɾut̪aliˈses
brutalizá	bɾut̪aliˈsa
brutalizás	bɾut̪aliˈsas
bruzá	bɾuˈsa
bruzás	bɾuˈsas
buceá	buseˈa
buceás	buseˈas
buceés	buseˈes
bucés	buˈses
bufá	buˈfa
bufás	buˈfas
bufés	buˈfes
bufoneá	bufoneˈa
bufoneás	bufoneˈas
bufoneés	bufoneˈes
bugí	buˈxi
bugís	buˈxis
buitreá	bwit̪ɾeˈa
buitreás	bwit̪ɾeˈas
buitreés	bwit̪ɾeˈes
bujás	buˈxas
bullás	buˈʝas
bullí	buˈʝi
bullís	buˈʝis
burbujeá	buɾbuxeˈa
burbujeás	buɾbuxeˈas
burbujeés	buɾbuxeˈes
burilá	buɾiˈla
burilás	buɾiˈlas
burilés	buɾiˈles
burlá	buɾˈla
burlás	buɾˈlas
burlés	buɾˈles
buscá	busˈka
buscás	busˈkas
busqués	busˈkes
buzá	buˈsa
buzás	buˈsas
cabalgá	kabalˈga
cabalgás	kabalˈgas
cabalgués	kabalˈges
caballeá	kabaʝeˈa
caballeás	kabaʝeˈas
caballeés	kabaʝeˈes
caballereá	kabaʝeɾeˈa
caballereás	kabaʝeɾeˈas
caballereés	kabaʝeɾeˈes
cabé	kaˈbe
cabeceá	kabeseˈa
cabeceás	kabeseˈas
cabeceés	kabeseˈes
cabellá	kabeˈʝa
cabellás	kabeˈʝas
cabellés	kabeˈʝes
cabés	kaˈbes
cabestrá	kabesˈt̪ɾa
cabestrás	kabesˈt̪ɾas
cabestreá	kabest̪ɾeˈa
cabestreás	kabest̪ɾeˈas
cabestreés	kabest̪ɾeˈes
cabestrés	kabesˈt̪ɾes
cabildeá	kabild̪eˈa
cabildeás	kabild̪eˈas
cabildeés	kabild̪eˈes
cableá	kableˈa
cableás	kableˈas
cableés	kableˈes
cablegrafiá	kablegɾafiˈa
cablegrafiás	kablegɾafiˈas
cablegrafiés	kablegɾaˈfjes
cabrahigá	kabɾajˈga
cabrahigás	kabɾajˈgas
cabrahigués	kabɾajˈges
cabreá	kabɾeˈa
cabreás	kabɾeˈas
cabreés	kabɾeˈes
cabrilleá	kabɾiʝeˈa
cabrilleás	kabɾiʝeˈas
cabrilleés	kabɾiʝeˈes
cabriolá	kabɾjoˈla
cabriolás	kabɾjoˈlas
cabrioleá	kabɾjoleˈa
cabrioleás	kabɾjoleˈas
cabrioleés	kabɾjoleˈes
cabriolés	kabɾjoˈles
cacarañá	kakaɾaˈɲa
cacarañás	kakaɾaˈɲas
cacarañés	kakaɾaˈɲes
cacareá	kakaɾeˈa
cacareás	kakaɾeˈas
cacareés	kakaɾeˈes
caceá	kaseˈa
caceás	kaseˈas
caceés	kaseˈes
cacés	kaˈses
cachá	kaˈʧa
cachás	kaˈʧas
cacheá	kaʧeˈa
cacheás	kaʧeˈas
cacheés	kaʧeˈes
cachés	kaˈʧes
cacheteá	kaʧet̪eˈa
cacheteás	kaʧet̪eˈas
cacheteés	kaʧet̪eˈes
cachifollá	kaʧifoˈʝa
cachifollás	kaʧifoˈʝas
cachifollés	kaʧifoˈʝes
cachipodá	kaʧipoˈd̪a
cachipodás	kaʧipoˈd̪as
cachipodés	kaʧipoˈd̪es
cachondeá	kaʧond̪eˈa
cachondeás	kaʧond̪eˈas
cachondeés	kaʧond̪eˈes
cadmiá	kad̪miˈa
cadmiás	kad̪miˈas
cadmiés	kad̪ˈmjes
caducá	kad̪uˈka
caducás	kad̪uˈkas
caduqués	kad̪uˈkes
caé	kaˈe
caés	kaˈes
cagá	kaˈga
cagás	kaˈgas
cagués	kaˈges
caigás	kajˈgas
cajeá	kaxeˈa
cajeás	kaxeˈas
cajeés	kaxeˈes
calabaceá	kalabaseˈa
calabaceás	kalabaseˈas
calabaceés	kalabaseˈes
calá	kaˈla
calafateá	kalafat̪eˈa
calafateás	kalafat̪eˈas
calafateés	kalafat̪eˈes
calandrá	kalanˈd̪ɾa
calandrás	kalanˈd̪ɾas
calandrés	kalanˈd̪ɾes
calás	kaˈlas
calcá	kalˈka
calcás	kalˈkas
calcés	kalˈses
calcetá	kalseˈt̪a
calcetás	kalseˈt̪as
calcetés	kalseˈt̪es
calcificá	kalsifiˈka
calcificás	kalsifiˈkas
calcifiqués	kalsifiˈkes
calciná	kalsiˈna
calcinás	kalsiˈnas
calcinés	kalsiˈnes
calculá	kalkuˈla
calculás	kalkuˈlas
calculés	kalkuˈles
caldeá	kald̪eˈa
caldeás	kald̪eˈas
caldeés	kald̪eˈes
calecé	kaleˈse
calecés	kaleˈses
calefaccioná	kalefaksjoˈna
calefaccionás	kalefaksjoˈnas
calefaccionés	kalefaksjoˈnes
calendá	kalenˈd̪a
calendás	kalenˈd̪as
calendés	kalenˈd̪es
calentá	kalenˈt̪a
calentás	kalenˈt̪as
calentés	kalenˈt̪es
calés	kaˈles
calezcás	kalesˈkas
calibrá	kaliˈbɾa
calibrás	kaliˈbɾas
calibrés	kaliˈbɾes
calificá	kalifiˈka
calificás	kalifiˈkas
califiqués	kalifiˈkes
caligrafiá	kaligɾafiˈa
caligrafiás	kaligɾafiˈas
caligrafiés	kaligɾaˈfjes
calimbá	kalimˈba
calimbás	kalimˈbas
calimbés	kalimˈbes
callá	kaˈʝa
callantá	kaʝanˈt̪a
callantás	kaʝanˈt̪as
callantés	kaʝanˈt̪es
callás	kaˈʝas
calleá	kaʝeˈa
calleás	kaʝeˈas
calleés	kaʝeˈes
callejeá	kaʝexeˈa
callejeás	kaʝexeˈas
callejeés	kaʝexeˈes
callés	kaˈʝes
calmá	kalˈma
calmás	kalˈmas
calmés	kalˈmes
calofriá	kalofɾiˈa
calofriás	kalofɾiˈas
calofriés	kaloˈfɾjes
caloricés	kaloɾiˈses
calorizá	kaloɾiˈsa
calorizás	kaloɾiˈsas
calqués	kalˈkes
calumniá	kalumniˈa
calumniás	kalumniˈas
calumniés	kalumˈnjes
calzá	kalˈsa
calzás	kalˈsas
camanduleá	kamand̪uleˈa
camanduleás	kamand̪uleˈas
camanduleés	kamand̪uleˈes
cambalacheá	kambalaʧeˈa
cambalacheás	kambalaʧeˈas
cambalacheés	kambalaʧeˈes
cambiá	kambiˈa
cambiás	kambiˈas
cambiés	kamˈbjes
camelá	kameˈla
camelás	kameˈlas
camelés	kameˈles
caminá	kamiˈna
caminás	kamiˈnas
caminés	kamiˈnes
camochá	kamoˈʧa
camochás	kamoˈʧas
camochés	kamoˈʧes
campá	kamˈpa
campanilleá	kampaniʝeˈa
campanilleás	kampaniʝeˈas
campanilleés	kampaniʝeˈes
campás	kamˈpas
campeá	kampeˈa
campeás	kampeˈas
campeés	kampeˈes
campés	kamˈpes
camuflá	kamuˈfla
camuflás	kamuˈflas
camuflés	kamuˈfles
canalicés	kanaliˈses
canalizá	kanaliˈsa
canalizás	kanaliˈsas
cancaneá	kankaneˈa
cancaneás	kankaneˈas
cancaneés	kankaneˈes
cancelá	kanseˈla
cancelás	kanseˈlas
cancelés	kanseˈles
cancerá	kanseˈɾa
cancerás	kanseˈɾas
cancerés	kanseˈɾes
cancheá	kanʧeˈa
cancheás	kanʧeˈas
cancheés	kanʧeˈes
candá	kanˈd̪a
candás	kanˈd̪as
candés	kanˈd̪es
candongueá	kand̪ongeˈa
candongueás	kand̪ongeˈas
candongueés	kand̪ongeˈes
cangrená	kangɾeˈna
cangrenás	kangɾeˈnas
cangrenés	kangɾeˈnes
canjeá	kanxeˈa
canjeás	kanxeˈas
canjeés	kanxeˈes
cañoneá	kaɲoneˈa
cañoneás	kaɲoneˈas
cañoneés	kaɲoneˈes
canonicés	kanoniˈses
canonizá	kanoniˈsa
canonizás	kanoniˈsas
cansá	kanˈsa
cansás	kanˈsas
cansés	kanˈses
cantá	kanˈt̪a
cantaleteá	kant̪alet̪eˈa
cantaleteás	kant̪alet̪eˈas
cantaleteés	kant̪alet̪eˈes
cantás	kanˈt̪as
canteá	kant̪eˈa
canteás	kant̪eˈas
canteés	kant̪eˈes
cantés	kanˈt̪es
cantoná	kant̪oˈna
cantonás	kant̪oˈnas
cantoneá	kant̪oneˈa
cantoneás	kant̪oneˈas
cantoneés	kant̪oneˈes
cantonés	kant̪oˈnes
canturreá	kant̪ureˈa
canturreás	kant̪ureˈas
canturreés	kant̪ureˈes
canturriá	kant̪uriˈa
canturriás	kant̪uriˈas
canturriés	kant̪uˈrjes
capá	kaˈpa
capacitá	kapasiˈt̪a
capacitás	kapasiˈt̪as
capacités	kapasiˈt̪es
capás	kaˈpas
capcioná	kapsjoˈna
capcionás	kapsjoˈnas
capcionés	kapsjoˈnes
capeá	kapeˈa
capeás	kapeˈas
capeés	kapeˈes
capés	kaˈpes
capialcés	kapjalˈses
capialzá	kapjalˈsa
capialzás	kapjalˈsas
capitalicés	kapit̪aliˈses
capitalizá	kapit̪aliˈsa
capitalizás	kapit̪aliˈsas
capitaneá	kapit̪aneˈa
capitaneás	kapit̪aneˈas
capitaneés	kapit̪aneˈes
capitulá	kapit̪uˈla
capitulás	kapit̪uˈlas
capitulés	kapit̪uˈles
capolá	kapoˈla
capolás	kapoˈlas
capolés	kapoˈles
caponá	kapoˈna
caponás	kapoˈnas
caponés	kapoˈnes
capotá	kapoˈt̪a
capotás	kapoˈt̪as
