#name German-Hoch
#lang deu-hoch
A	ʔaː
Amphimixis	ʔamfiˈmɪksɪs
Amphiole	ʔamˈfjoːlə
Amphiolen	ʔamˈfjoːlən
Amphiprostylen	ʔamfipʁɔsˈtyːlən
Amphiprostylos	ʔamfiˈpʁɔstylɔs
Amphitheater	ʔamˈfiːteˌʔaːtɐ
Amphitheatern	ʔamˈfiːteˌʔaːtɐn
Amphitheaters	ʔamˈfiːteˌʔaːtɐs
amphitheatralisch	ʔamˌfiːteʔaˈtʁaːlɪʃ
amphitheatralische	ʔamˌfiːteʔaˈtʁaːlɪʃə
amphitheatralischem	ʔamˌfiːteʔaˈtʁaːlɪʃəm
amphitheatralischen	ʔamˌfiːteʔaˈtʁaːlɪʃən
amphitheatralischer	ʔamˌfiːteʔaˈtʁaːlɪʃɐ
amphitheatralisches	ʔamˌfiːteʔaˈtʁaːlɪʃəs
Amphitrite	ʔamfiˈtʁiːtə
Amphitryon	ʔamˈfiːtʁyɔn
Ampholyt	ʔamfoˈlʏt
Amphora	ʔamfoʁaː
Amphore	ʔamˈfoːʁə
Amphoren	ʔamˈfoːʁən
amphoter	ʔamfoˈteːɐ
Amphoterie	ʔamfoteˈʁiː
Amplifikation	ʔamplifikaˈʦjoːn
Amplifikationen	ʔamplifikaˈʦjoːnən
amplifiziere	ʔamplifiˈʦiːʁə
amplifizieren	ʔamplifiˈʦiːʁən
amplifizierend	ʔamplifiˈʦiːʁənt
amplifizierest	ʔamplifiˈʦiːʁəst
amplifizieret	ʔamplifiˈʦiːʁət
amplifizierst	ʔamplifiˈʦiːɐst
amplifiziert	ʔamplifiˈʦiːɐt
amplifizierte	ʔamplifiˈʦiːɐtə
amplifizierten	ʔamplifiˈʦiːɐtən
amplifiziertest	ʔamplifiˈʦiːɐtəst
amplifiziertet	ʔamplifiˈʦiːɐtət
Amplitude	ʔampliˈtuːdə
Amplituden	ʔampliˈtuːdən
Ampulle	ʔamˈpʊlə
Ampullen	ʔamˈpʊlən
Amputation	ʔamputaˈʦjoːn
Amputationen	ʔamputaˈʦjoːnən
amputiere	ʔampuˈtiːʁə
amputieren	ʔampuˈtiːʁən
amputierend	ʔampuˈtiːʁənt
amputierest	ʔampuˈtiːʁəst
amputieret	ʔampuˈtiːʁət
amputierst	ʔampuˈtiːɐst
amputiert	ʔampuˈtiːɐt
amputierte	ʔampuˈtiːɐtə
amputierten	ʔampuˈtiːɐtən
amputiertest	ʔampuˈtiːɐtəst
amputiertet	ʔampuˈtiːɐtət
Amritsar	ʔamˈʁɪʦaɐ
Amrum	ʔamʁʊm
Amsel	ʔamzəl
Amseln	ʔamzəln
Amsterdam	ʔamstɐˈdam
Amt	ʔamt
Ämtchen	ʔɛmtçən
Amte	ʔamtə
Amtei	ʔamˈtaɪ
Amtes	ʔamtəs
amtiere	ʔamˈtiːʁə
amtieren	ʔamˈtiːʁən
amtierend	ʔamˈtiːʁənt
amtierest	ʔamˈtiːʁəst
amtieret	ʔamˈtiːʁət
amtierst	ʔamˈtiːɐst
amtiert	ʔamˈtiːɐt
amtierte	ʔamˈtiːɐtə
amtierten	ʔamˈtiːɐtən
amtiertest	ʔamˈtiːɐtəst
amtiertet	ʔamˈtiːɐtət
Amts	ʔamʦ
Amtsblättlein	ʔamʦˌblɛtlaɪn
Amtseid	ʔamʦˌʔaɪt
Amtseinführung	ʔamʦˌʔaɪnˌfyːʁʊŋ
amtshalber	ʔamʦˌhalbɐ
Amtsperson	ʔamʦpɛɐˌsoːn
Amtspersonen	ʔamʦpɛɐˌsoːnən
Amtsweg	ʔamʦˌveːk
Amtswege	ʔamʦˌveːɡə
Amtswegen	ʔamʦˌveːɡən
Amtsweges	ʔamʦˌveːɡəs
Amtswegs	ʔamʦˌveːks
Amulett	ʔamuˈlɛt
Amulette	ʔamuˈlɛtə
Amuletten	ʔamuˈlɛtən
Amulettes	ʔamuˈlɛtəs
Amuletts	ʔamuˈlɛʦ
Amulius	ʔaˈmuːljʊs
Amur	ʔaˈmuːɐ
amüsant	ʔamyˈzant
Amüsement	ʔamysəˈmaŋ
Amusie	ʔamuˈziː
amüsiere	ʔamyˈziːʁə
amüsieren	ʔamyˈziːʁən
amüsiert	ʔamyˈziːɐt
amüsierte	ʔamyˈziːɐtə
amusisch	ʔaːmuːzɪʃ
amusische	ʔaːmuːzɪʃə
amusischem	ʔaːmuːzɪʃəm
amusischen	ʔaːmuːzɪʃən
amusischer	ʔaːmuːzɪʃɐ
amusisches	ʔaːmuːzɪʃəs
Amy	ʔɛɪmiː
Amycin	ʔamyˈʦiːn
Amygdalin	ʔamʏkdaˈliːn
Amygdaline	ʔamʏkdaˈliːnə
Amygdalines	ʔamʏkdaˈliːnəs
Amygdalins	ʔamʏkdaˈliːns
amygdaloid	ʔaːmʏkdaloˈʔiːt
amygdaloide	ʔaːmʏkdaloˈʔiːdə
Amyl	ʔaˈmyːl
Amylase	ʔamyˈlaːzə
Amylasen	ʔamyˈlaːzən
Amylen	ʔamyˈleːn
Amylo	ʔaˈmyːloː
amyloid	ʔamyloˈʔiːt
Amylose	ʔamyˈloːzə
Amylum	ʔaˈmyːlʊm
an	ʔan
Anabaptismus	ʔanabapˈtɪsmʊs
Anabaptist	ʔanabapˈtɪst
Anabaptisten	ʔanabapˈtɪstən
Anabasis	ʔaˈnaːbazɪs
Anabiose	ʔanabiˈoːzə
anabol	ʔanaˈboːl
anabole	ʔanaˈboːlə
anabolem	ʔanaˈboːləm
anabolen	ʔanaˈboːlən
anaboler	ʔanaˈboːlɐ
anabolere	ʔanaˈboːləʁə
anabolerem	ʔanaˈboːləʁəm
anaboleren	ʔanaˈboːləʁən
anabolerer	ʔanaˈboːləʁɐ
anaboleres	ʔanaˈboːləʁəs
anaboles	ʔanaˈboːləs
Anabolika	ʔanaˈboːlikaː
Anabolikum	ʔanaˈboːlikʊm
anabolst	ʔanaˈboːlst
anabolste	ʔanaˈboːlstə
anabolstem	ʔanaˈboːlstəm
anabolsten	ʔanaˈboːlstən
anabolster	ʔanaˈboːlstɐ
anabolstes	ʔanaˈboːlstəs
Anachronismen	ʔanakʁoˈnɪsmən
Anachronismus	ʔanakʁoˈnɪsmʊs
anachronistisch	ʔanakʁoˈnɪstɪʃ
anachronistische	ʔanakʁoˈnɪstɪʃə
anachronistischem	ʔanakʁoˈnɪstɪʃəm
anachronistischen	ʔanakʁoˈnɪstɪʃən
anachronistischer	ʔanakʁoˈnɪstɪʃɐ
anachronistisches	ʔanakʁoˈnɪstɪʃəs
Anadyr	ʔanaˈdʏɐ
anaerobe	ʔanʔaeˌʁoːbə
anaeroben	ʔanʔaeˌʁoːbən
anaerobes	ʔanʔaeˌʁoːbəs
Anagramm	ʔanaˈɡʁam
Anagramme	ʔanaˈɡʁamə
Anagrammen	ʔanaˈɡʁamən
Anagrammes	ʔanaˈɡʁaməs
Anagramms	ʔanaˈɡʁams
Anakoluth	ʔanakoˈluːt
anakoluthisch	ʔanakoˈluːtɪʃ
anakoluthische	ʔanakoˈluːtɪʃə
anakoluthischem	ʔanakoˈluːtɪʃəm
anakoluthischen	ʔanakoˈluːtɪʃən
anakoluthischer	ʔanakoˈluːtɪʃɐ
anakoluthisches	ʔanakoˈluːtɪʃəs
Anakonda	ʔanaˈkɔndaː
Anakreontiker	ʔanakʁeˈɔntikɐ
Anakreontikern	ʔanakʁeˈɔntɪkɐn
Anakreontikers	ʔanakʁeˈɔntɪkɐs
anakreontisch	ʔanakʁeˈɔntɪʃ
anakreontische	ʔanakʁeˈɔntɪʃə
anakreontischem	ʔanakʁeˈɔntɪʃəm
anakreontischen	ʔanakʁeˈɔntɪʃən
anakreontischer	ʔanakʁeˈɔntɪʃɐ
anakreontisches	ʔanakʁeˈɔntɪʃəs
anal	ʔaˈnaːl
anale	ʔaˈnaːlə
analem	ʔaˈnaːləm
analen	ʔaˈnaːlən
Analeptikum	ʔanaˈlɛptikʊm
Analeptikums	ʔanaˈlɛptikʊms
analeptisch	ʔanaˈlɛptɪʃ
analeptische	ʔanaˈlɛptɪʃə
analeptischem	ʔanaˈlɛptɪʃəm
analeptischen	ʔanaˈlɛptɪʃən
analeptischer	ʔanaˈlɛptɪʃɐ
analeptisches	ʔanaˈlɛptɪʃəs
analer	ʔaˈnaːlɐ
anales	ʔaˈnaːləs
Analgen	ʔanalˈɡeːn
Analgesie	ʔanʔalɡeˈziː
Analgesien	ʔanʔalɡeˈziːən
Analgetikum	ʔanʔalˈɡeːtikʊm
Analgetikums	ʔanʔalˈɡeːtikʊms
analog	ʔanaˈloːk
Analoga	ʔaˈnaːloɡaː
analoge	ʔanaˈloːɡə
analogem	ʔanaˈloːɡəm
analogen	ʔanaˈloːɡən
analoger	ʔanaˈloːɡɐ
analoges	ʔanaˈloːɡəs
Analogie	ʔanaloˈɡiː
Analogien	ʔanaloˈɡiːən
Analogismus	ʔanaloˈɡɪsmʊs
Analogon	ʔaˈnaːloɡɔn
Analogons	ʔaˈnaːloɡɔns
Analphabet	ʔanʔalfabeːt
Analphabeten	ʔanʔalfabeːtən
Analphabetentum	ʔanʔalfabeːtəntuːm
Analphabetentums	ʔanʔalfabeːtəntuːms
Analysator	ʔanalyˈzaːtoːɐ
Analyse	ʔanaˈlyːzə
Analysen	ʔanaˈlyːzən
Analyser	ʔɛnəˈlaɪzɐ
analysiere	ʔanalyˈziːʁə
analysieren	ʔanalyˈziːʁən
analysierend	ʔanalyˈziːʁənt
analysierest	ʔanalyˈziːʁəst
analysieret	ʔanalyˈziːʁət
analysierst	ʔanalyˈziːɐst
analysiert	ʔanalyˈziːɐt
analysierte	ʔanalyˈziːɐtə
analysierten	ʔanalyˈziːɐtən
analysiertest	ʔanalyˈziːɐtəst
analysiertet	ʔanalyˈziːɐtət
Analysierungen	ʔanalyˈziːʁʊŋən
Analysis	ʔaˈnaːlyzɪs
Analyst	ʔanaˈlʏst
Analytik	ʔanaˈlyːtɪk
Analytiker	ʔanaˈlyːtikɐ
Analytikern	ʔanaˈlyːtɪkɐn
Analytikers	ʔanaˈlyːtɪkɐs
analytisch	ʔanaˈlyːtɪʃ
analytische	ʔanaˈlyːtɪʃə
analytischem	ʔanaˈlyːtɪʃəm
analytischen	ʔanaˈlyːtɪʃən
analytischer	ʔanaˈlyːtɪʃɐ
analytisches	ʔanaˈlyːtɪʃəs
Analzim	ʔanalˈʦiːm
Anämie	ʔanɛˈmiː
anämisch	ʔaˈnɛːmɪʃ
Anamnese	ʔanamˈneːzə
Anamnesen	ʔanamˈneːzən
anamnestisch	ʔanamˈnɛstɪʃ
anamnestische	ʔanamˈnɛstɪʃə
anamnestischem	ʔanamˈnɛstɪʃəm
anamnestischen	ʔanamˈnɛstɪʃən
anamnestischer	ʔanamˈnɛstɪʃɐ
anamnestisches	ʔanamˈnɛstɪʃəs
anamnetisch	ʔanamˈneːtɪʃ
anamnetische	ʔanamˈneːtɪʃə
anamnetischem	ʔanamˈneːtɪʃəm
anamnetischen	ʔanamˈneːtɪʃən
anamnetischer	ʔanamˈneːtɪʃɐ
anamnetisches	ʔanamˈneːtɪʃəs
Anamorphot	ʔanamɔɐˈfoːt
anamorphotisch	ʔanamɔɐˈfoːtɪʃ
Ananas	ʔananas
Ananasse	ʔananasə
Ananassen	ʔananasən
Anand	ʔaˈnant
Ananke	ʔaˈnaŋkə
Anapäst	ʔanaˈpɛːst
anapästisch	ʔanaˈpɛstɪʃ
Anapher	ʔaˈnafɐ
Anaphern	ʔaˈnafɐn
Anaphora	ʔaˈnaːfoʁa
Anaphorae	ʔaˈnaːfoʁaə
anaphorisch	ʔanaˈfoːʁɪʃ
anaphorische	ʔanaˈfoːʁɪʃə
anaphorischem	ʔanaˈfoːʁɪʃəm
anaphorischen	ʔanaˈfoːʁɪʃən
anaphorischer	ʔanaˈfoːʁɪʃɐ
anaphorisches	ʔanaˈfoːʁɪʃəs
anaphylaktisch	ʔanafyˈlaktɪʃ
anaphylaktische	ʔanafyˈlaktɪʃə
anaphylaktischem	ʔanafyˈlaktɪʃəm
anaphylaktischen	ʔanafyˈlaktɪʃən
anaphylaktischer	ʔanafyˈlaktɪʃɐ
anaphylaktischere	ʔanafyˈlaktɪʃəʁə
anaphylaktischerem	ʔanafyˈlaktɪʃəʁəm
anaphylaktischeren	ʔanafyˈlaktɪʃəʁən
anaphylaktischerer	ʔanafyˈlaktɪʃəʁɐ
anaphylaktischeres	ʔanafyˈlaktɪʃəʁəs
anaphylaktisches	ʔanafyˈlaktɪʃəs
anaphylaktischst	ʔanafyˈlaktɪʃst
anaphylaktischste	ʔanafyˈlaktɪʃstə
anaphylaktischstem	ʔanafyˈlaktɪʃstəm
anaphylaktischsten	ʔanafyˈlaktɪʃstən
anaphylaktischster	ʔanafyˈlaktɪʃstɐ
anaphylaktischstes	ʔanafyˈlaktɪʃstəs
Anaphylaxie	ʔanafylaˈksiː
Anaphylaxien	ʔanafylaˈksiːən
Anarchie	ʔanaɐˈçiː
Anarchien	ʔanaɐˈçiːən
anarchisch	ʔaˈnaɐçɪʃ
anarchische	ʔaˈnaɐçɪʃə
anarchischem	ʔaˈnaɐçɪʃəm
anarchischen	ʔaˈnaɐçɪʃən
anarchischer	ʔaˈnaɐçɪʃɐ
anarchischere	ʔaˈnaɐçɪʃəʁə
anarchischerem	ʔaˈnaɐçɪʃəʁəm
anarchischeren	ʔaˈnaɐçɪʃəʁən
anarchischerer	ʔaˈnaɐçɪʃəʁɐ
anarchischeres	ʔaˈnaɐçɪʃəʁəs
anarchisches	ʔaˈnaɐçɪʃəs
anarchischst	ʔaˈnaɐçɪʃst
anarchischste	ʔaˈnaɐçɪʃstə
anarchischstem	ʔaˈnaɐçɪʃstəm
anarchischsten	ʔaˈnaɐçɪʃstən
anarchischster	ʔaˈnaɐçɪʃstɐ
anarchischstes	ʔaˈnaɐçɪʃstəs
Anarchismus	ʔanaɐˈçɪsmʊs
Anarchist	ʔanaɐˈçɪst
Anarchisten	ʔanaɐˈçɪstən
Anarthrie	ʔanʔaɐˈtʁiː
Anastasia	ʔanasˈtaːziaː
Anastasius	ʔanasˈtaːzjʊs
anastatisch	ʔanasˈtaːtɪʃ
anastatische	ʔanasˈtaːtɪʃə
anastatischem	ʔanasˈtaːtɪʃəm
anastatischen	ʔanasˈtaːtɪʃən
anastatischer	ʔanasˈtaːtɪʃɐ
anastatisches	ʔanasˈtaːtɪʃəs
Anästhesie	ʔanɛsteˈziː
anästhesieren	ʔanɛsteˈziːʁən
Anästhesist	ʔanɛsteˈzɪst
Anästhetikum	ʔanɛsˈteːtikʊm
anästhetisch	ʔanɛsˈteːtɪʃ
anästhetisieren	ʔanɛstetiˈziːʁən
Anastigmat	ʔanastɪˈɡmaːt
Anastigmate	ʔanastɪˈɡmaːtə
Anastigmaten	ʔanastɪˈɡmaːtən
anastigmatisch	ʔanastɪɡˈmaːtɪʃ
anastigmatische	ʔanastɪˈɡmaːtɪʃə
anastigmatischem	ʔanastɪˈɡmaːtɪʃəm
anastigmatischen	ʔanastɪˈɡmaːtɪʃən
anastigmatischer	ʔanastɪˈɡmaːtɪʃɐ
anastigmatisches	ʔanastɪˈɡmaːtɪʃəs
Anastigmats	ʔanastɪˈɡmaːʦ
Anastomose	ʔanastoˈmoːzə
Anastomosen	ʔanastoˈmoːzən
Anathem	ʔanaˈteːm
Anathema	ʔanaˈteːma
Anathemas	ʔanaˈteːmas
Anathemata	ʔanaːteːˌmaːtaː
anathematisiere	ʔanatematiˈziːʁə
anathematisieren	ʔanatematiˈziːʁən
anathematisierend	ʔanatematiˈziːʁənt
anathematisierest	ʔanatematiˈziːʁəst
anathematisieret	ʔanatematiˈziːʁət
anathematisierst	ʔanatematiˈziːɐst
anathematisiert	ʔanatematiˈziːɐt
anathematisierte	ʔanatematiˈziːɐtə
anathematisierten	ʔanatematiˈziːɐtən
anathematisiertest	ʔanatematiˈziːɐtəst
anathematisiertet	ʔanatematiˈziːɐtət
Anatheme	ʔanaˈteːmə
Anathemen	ʔanaˈteːmən
Anathems	ʔanaˈteːms
anational	ʔaːnatsjoˌnaːl
anationale	ʔaːnatsjoˌnaːlə
anationalem	ʔaːnatsjoˌnaːləm
anationalen	ʔaːnatsjoˌnaːlən
anationaler	ʔaːnatsjoˌnaːlɐ
anationalere	ʔaːnatsjoˌnaːləʁə
anationalerem	ʔaːnatsjoˌnaːləʁəm
anationaleren	ʔaːnatsjoˌnaːləʁən
anationalerer	ʔaːnatsjoˌnaːləʁɐ
anationaleres	ʔaːnatsjoˌnaːləʁəs
anationales	ʔaːnatsjoˌnaːləs
anationalst	ʔaːnatsjoˌnaːlst
anationalste	ʔaːnatsjoˌnaːlstə
anationalstem	ʔaːnatsjoˌnaːlstəm
anationalsten	ʔaːnatsjoˌnaːlstən
anationalster	ʔaːnatsjoˌnaːlstɐ
anationalstes	ʔaːnatsjoˌnaːlstəs
anatolisch	ʔanaˈtoːlɪʃ
anatolische	ʔanaˈtoːlɪʃə
anatolischem	ʔanaˈtoːlɪʃəm
anatolischen	ʔanaˈtoːlɪʃən
anatolischer	ʔanaˈtoːlɪʃɐ
anatolisches	ʔanaˈtoːlɪʃəs
Anatom	ʔanaˈtoːm
Anatomen	ʔanaˈtoːmən
Anatomie	ʔanatoˈmiː
Anatomien	ʔanatoˈmiːən
anatomiere	ʔanatoˈmiːʁə
anatomieren	ʔanatoˈmiːʁən
anatomierend	ʔanatoˈmiːʁənt
anatomierest	ʔanatoˈmiːʁəst
anatomieret	ʔanatoˈmiːʁət
anatomierst	ʔanatoˈmiːɐst
anatomiert	ʔanatoˈmiːɐt
anatomierte	ʔanatoˈmiːɐtə
anatomierten	ʔanatoˈmiːɐtən
anatomiertest	ʔanatoˈmiːɐtəst
anatomiertet	ʔanatoˈmiːɐtət
anbandeln	ʔanbandəln
anbändeln	ʔanbɛndəln
anbandelnd	ʔanbandəlnt
anbandelst	ʔanbandəlst
anbandelt	ʔanbandəlt
anbandelte	ʔanbandəltə
anbandelten	ʔanbandəltən
anbandeltest	ʔanbandəltəst
anbandeltet	ʔanbandəltət
Anbändelung	ʔanbɛndəlʊŋ
anbandle	ʔanbandlə
anbei	ʔanˈbaɪ
anbequeme	ʔanbəˌkveːmə
anbequemen	ʔanbəˌkveːmən
anbequemend	ʔanbəˌkveːmənt
anbequemest	ʔanbəˌkveːməst
anbequemet	ʔanbəˌkveːmət
anbequemst	ʔanbəˌkveːmst
anbequemt	ʔanbəˌkveːmt
anbequemte	ʔanbəˌkveːmtə
anbequemten	ʔanbəˌkveːmtən
anbequemtest	ʔanbəˌkveːmtəst
anbequemtet	ʔanbəˌkveːmtət
anberaume	ʔanbɐaʊmə
anberaumen	ʔanbɐaʊmən
anberaumend	ʔanbɐaʊmənt
anberaumest	ʔanbɐaʊməst
anberaumet	ʔanbɐaʊmət
anberaumst	ʔanbɐaʊmst
anberaumt	ʔanbɐaʊmt
anberaumte	ʔanbɐaʊmtə
anberaumten	ʔanbɐaʊmtən
anberaumtest	ʔanbɐaʊmtəst
anberaumtet	ʔanbɐaʊmtət
Anbeterin	ʔanbeːtəʁɪn
Anbetracht	ʔanbəˌtʁaxt
anbiedere	ʔanbiːdəʁə
anbiedern	ʔanbiːdɐn
anbiedernd	ʔanbiːdɐnt
anbiederst	ʔanbiːdɐst
anbiedert	ʔanbiːdɐt
anbiederte	ʔanbiːdɐtə
anbiederten	ʔanbiːdɐtən
anbiedertest	ʔanbiːdɐtəst
anbiedertet	ʔanbiːdɐtət
Anbiederung	ʔanbiːdɐʊŋ
Anbiederungen	ʔanbiːdɐʊŋən
Anbieter	ʔanbiːtɐ
Anchovis	ʔanˈçoːvɪs
Anciennität	ʔɑ̃sjɛniˈtɛːt
Andacht	ʔandaxt
Andachten	ʔandaxtən
andächtig	ʔandɛçtɪç
Andalusien	ʔandaˈluːzjən
Andalusier	ʔandaˈluːzjɐ
Andalusierin	ʔandaˈluːzjɐˌʁɪn
Andalusiern	ʔandaˈluːzjɐn
Andalusiers	ʔandaˈluːzjɐs
andalusisch	ʔandaˈluzɪʃ
andalusische	ʔandaˈluzɪʃə
andalusischem	ʔandaˈluzɪʃəm
andalusischen	ʔandaˈluzɪʃən
andalusischer	ʔandaˈluzɪʃɐ
andalusisches	ʔandaˈluzɪʃəs
Andalusit	ʔandaluˈzɪt
Andamanen	ʔandaˈmaːnən
Andante	ʔanˈdantə
andante	ʔanˈdantə
Andantes	ʔanˈdantəs
Andantini	ʔandanˈtiːniː
Andantino	ʔandanˈtiːnoː
andantino	ʔandanˈtiːnoː
Andantinos	ʔandanˈtiːnoːs
andaue	ʔandaʊə
andauen	ʔandaʊən
andauend	ʔandaʊənt
andauest	ʔandaʊəst
andauet	ʔandaʊət
andaust	ʔandaʊst
andaut	ʔandaʊt
andaute	ʔandaʊtə
andauten	ʔandaʊtən
andautest	ʔandaʊtəst
andautet	ʔandaʊtət
Andauung	ʔandaʊʊŋ
Anden	ʔandən
Ander	ʔandɐ
ander	ʔandɐ
änderbar	ʔɛndɐbaːɐ
änderbare	ʔɛndɐbaːʁə
andere	ʔandəʁə
anderem	ʔandəʁəm
anderen	ʔandəʁən
anderenfalls	ʔandəʁənˌfals
anderenorts	ʔandɐenˌʔɔɐʦ
anderentags	ʔandəʁənˌtaːks
anderenteils	ʔandəʁənˌtaɪls
anderer	ʔandəʁɐ
andererseits	ʔandəʁɐˌzaɪʦ
anderes	ʔandəʁəs
anderlei	ʔandɐˌlaɪ
andermal	ʔandɐmaːl
andern	ʔandɐn
ändern	ʔɛndɐn
Andernach	ʔandɐnax
andernfalls	ʔandɐnfals
andernorts	ʔandɐnˌʔɔɐʦ
anderntags	ʔandɐnˌtaːks
anderorts	ʔandɐˌʔɔɐʦ
anders	ʔandɐs
anderseits	ʔandɐzaɪʦ
andersgeartet	ʔandɐsɡəˌʔaːɐtət
andersgeartete	ʔandɐsɡəˌʔaːɐtətə
andersgeartetem	ʔandɐsɡəˌʔaːɐtətəm
andersgearteten	ʔandɐsɡəˌʔaːɐtətən
andersgearteter	ʔandɐsɡəˌʔaːɐtətɐ
andersgeartetes	ʔandɐsɡəˌʔaːɐtətəs
andersherum	ʔandɐshɛʁʊm
andersrum	ʔandɐsˌʁʊm
ändert	ʔɛndɐt
anderthalb	ʔandɐtˌhalp
anderthalbfach	ʔandɐthalpˌfax
anderthalbfache	ʔandɐthalpˌfaxə
anderthalbfachem	ʔandɐthalpˌfaxəm
anderthalbfachen	ʔandɐthalpˌfaxən
anderthalbfacher	ʔandɐthalpˌfaxɐ
anderthalbfaches	ʔandɐthalpˌfaxəs
anderthalbmal	ʔandɐthalpˌmaːl
Änderung	ʔɛndɐʊŋ
Änderungen	ʔɛndɐʊŋən
Änderungsvertrag	ʔɛndɐʊŋsfɛɐˌtʁaːk
Änderungsvorschlag	ʔɛndɐʊŋsfoːɐʃlaːk
anderwärts	ʔandɐˌvɛɐʦ
Andesin	ʔandeˈziːn
Andesit	ʔandeˈzɪt
andichte	ʔandɪçtə
andichten	ʔandɪçtən
andichtend	ʔandɪçtənt
andichtest	ʔandɪçtəst
andichtet	ʔandɪçtət
andichtete	ʔandɪçtətə
andichteten	ʔandɪçtətən
andichtetest	ʔandɪçtətəst
andichtetet	ʔandɪçtətət
andicken	ʔandɪkən
Andorra	ʔanˈdɔʁaː
andorranisch	ʔandɔˈʁaːnɪʃ
andorranische	ʔandɔˈʁaːnɪʃə
andorranischem	ʔandɔˈʁaːnɪʃəm
andorranischen	ʔandɔˈʁaːnɪʃən
andorranischer	ʔandɔˈʁaːnɪʃɐ
andorranisches	ʔandɔˈʁaːnɪʃəs
Andrade	ʔanˈdʁaːdə
Andrang	ʔandʁaŋ
andre	ʔandʁə
Andrea	ʔanˈdʁeːaː
Andreae	ʔanˈdʁeːɛː
Andreas	ʔanˈdʁeːas
Andreaskreuz	ʔandʁeːasˌkʁɔɪʦ
Andreaskreuze	ʔandʁeːasˌkʁɔɪʦə
Andreaskreuzen	ʔandʁeːasˌkʁɔɪʦən
Andreaskreuzes	ʔandʁeːasˌkʁɔɪʦəs
Andreasorden	ʔandʁeːasʔɔɐdən
Andreasordens	ʔandʁeːasʔɔɐdəns
Andrej	ʔandʁej
andrerseits	ʔandʁɐzaɪʦ
Andres	ʔandʁəs
Andrew	ʔɛndʁuː
Androgen	ʔandʁoˈɡeːn
androgyn	ʔandʁoˈɡyːn
androgyne	ʔandʁoˈɡyːnə
androgynem	ʔandʁoˈɡyːnəm
androgynen	ʔandʁoˈɡyːnən
androgyner	ʔandʁoˈɡyːnɐ
androgynes	ʔandʁoˈɡyːnəs
Androgynie	ʔandʁoɡyˈniː
Androide	ʔandʁoˈiːdə
Androiden	ʔandʁoˈiːdən
Androklos	ʔandʁɔklɔs
Andromache	ʔanˈdʁoːmaxeː
Andromeda	ʔanˈdʁoːmedaː
Andrözeum	ʔandʁœˈʦeːʊm
Äneide	ʔɛneˈiːdə
aneinander	ʔanʔaɪˈnandɐ
Äneis	ʔɛˈneis
Anekdote	ʔanɛkˈdoːtə
Anekdoten	ʔanɛkˈdoːtən
anekdotisch	ʔanɛkˈdoːtɪʃ
anekdotische	ʔanɛkˈdoːtɪʃə
anekdotischem	ʔanɛkˈdoːtɪʃəm
anekdotischen	ʔanɛkˈdoːtɪʃən
anekdotischer	ʔanɛkˈdoːtɪʃɐ
anekdotisches	ʔanɛkˈdoːtɪʃəs
Anemochoren	ʔanemoˈkoːʁən
Anemochorie	ʔaːnemokoˈʁiː
Anemograph	ʔanemoˈɡʁaːf
Anemographen	ʔanemoˈɡʁaːfən
Anemometer	ʔanemoˈmeːtɐ
Anemone	ʔaneˈmoːnə
Anemonen	ʔaneˈmoːnən
Äneolithikum	ʔɛneoˈliːtikʊm
Anergie	ʔanɛɐˈɡiː
anerkannt	ʔanʔɛɐˌkant
anerkanntermaßen	ʔanʔɛɐˌkantɐˌmaːsən
Aneroid	ʔaneʁoˈʔiːt
Aneroide	ʔaneʁoˈʔiːdə
Aneroiden	ʔaneʁoˈʔiːdən
Aneroides	ʔaneʁoˈʔiːdəs
Aneroids	ʔaneʁoˈʔiːʦ
anesse	ʔanʔɛsə
anessen	ʔanʔɛsən
anessend	ʔanʔɛsənt
anessest	ʔanʔɛsəst
anesset	ʔanʔɛsət
anesst	ʔanʔɛst
Anett	ʔaˈnɛt
Anette	ʔaˈnɛtə
Anfahrtsweg	ʔanfaːɐʦveːk
Anfang	ʔanfaŋ
Anfange	ʔanfaŋə
Anfanges	ʔanfaŋəs
Anfangs	ʔanfaŋs
anfangs	ʔanfaŋs
Anfangssaison	ʔanfaŋszɛˌzɔŋ
anfeinde	ʔanfaɪndə
anfeinden	ʔanfaɪndən
anfeindend	ʔanfaɪndənt
anfeindest	ʔanfaɪndəst
anfeindet	ʔanfaɪndət
anfeindete	ʔanfaɪndətə
anfeindeten	ʔanfaɪndətən
anfeindetest	ʔanfaɪndətəst
anfeindetet	ʔanfaɪndətət
Anfeindung	ʔanfaɪndʊŋ
Anfeindungen	ʔanfaɪndʊŋən
anfertige	ʔanfɛɐtɪɡə
anfertigen	ʔanfɛɐtɪɡən
anfertigend	ʔanfɛɐtɪɡənt
anfertigest	ʔanfɛɐtɪɡəst
anfertiget	ʔanfɛɐtɪɡət
anfertigst	ʔanfɛɐtɪkst
anfertigt	ʔanfɛɐtɪçt
anfertigte	ʔanfɛɐtɪçtə
anfertigten	ʔanfɛɐtɪçtən
anfertigtest	ʔanfɛɐtɪktəst
anfertigtet	ʔanfɛɐtɪktət
Anfertigung	ʔanfɛɐtɪɡʊŋ
Anfertigungen	ʔanfɛɐtɪɡʊŋən
anfeuchte	ʔanfɔɪçtə
anfeuchten	ʔanfɔɪçtən
anfeuchtend	ʔanfɔɪçtənt
Anfeuchter	ʔanfɔɪçtɐ
