'em	əm
defilippis	dəfəˈlɪpəs
defilippo	dəfiːˈliːpoʊ
defina	dəˈfiːnə
definable	dəˈfaɪnəbəl
define	dəˈfaɪn
defined	dəˈfaɪnd
defines	dəˈfaɪnz
defining	dəˈfaɪnɪŋ
definite	ˈdɛfənət
definitely	ˈdɛfənətliː
definition	ˌdɛfəˈnɪʃən
definitions	ˌdɛfəˈnɪʃənz
definitive	dəˈfɪnətɪv
definitively	dəˈfɪnətɪvliː
defino	dəˈfiːnoʊ
defiore	dəfiːˈɔɹiː
deflate	dəˈfleɪt
deflated	dəˈfleɪtəd
deflating	dəˈfleɪtɪŋ
deflation	dəˈfleɪʃən
deflationary	dəˈfleɪʃəˌnɛɹiː
deflator	dəˈfleɪtɚ
deflect	dəˈflɛkt
deflected	dəˈflɛktəd
deflecting	dəˈflɛktɪŋ
deflects	dəˈflɛkts
defleur	dəˈfɝ
defoe	dəˈfoʊ
defoliant	dəˈfoʊliːənt
defoliants	dəˈfoʊliːənts
defoor	ˈdɛfʊɹ
deford	ˈdɛfɚd
defore	ˈdiːfɔɹ
deforest	dəˈfɔɹəst
deforestation	dəˌfɔɹəsˈteɪʃən
deforge	ˈdɛfɚɡ
deform	ˌdiːˈfɔɹm
deformation	ˌdiːfɔɹˈmeɪʃən
deformed	dəˈfɔɹmd
deformities	dəˈfɔɹmətiːz
deformity	dəˈfɔɹmətiː
deforrest	deɪˈfɔɹəst
defrain	dəˈfɹeɪn
defrance	ˈdiːfɹəns
defrancesco	dəfɹɑnˈʧɛskoʊ
defrancisco	dəfɹɑnˈʧiːskoʊ
defranco	dəˈfɹɑnkoʊ
defrank	ˈdɛfɹəŋk
defrates	ˈdɛfɚeɪts
defraud	dəˈfɹɑd
defrauded	dəˈfɹɑdəd
defrauding	dəˈfɹɑdɪŋ
defray	dəˈfɹeɪ
defrays	dəˈfɹeɪz
defrees	dəˈfɹiːz
defreese	ˈdɛfɹiːs
defreitas	ˈdɛfɹaɪtəz
defries	dəˈfɹiːz
defrost	dəˈfɹɑst
defrosting	dəˈfɹɑstɪŋ
deft	ˈdɛft
defterios	ˌdɛfˈtɛɹiːoʊz
deftly	ˈdɛftliː
defunct	dəˈfʌŋkt
defund	diːˈfʌnd
defunding	diːˈfʌndɪŋ
defusco	dəˈfuːskoʊ
defuse	dəˈfjuːz
defused	dəˈfjuːzd
defused	diːˈfjuːzd
defusing	dəˈfjuːzɪŋ
defy	dəˈfaɪ
defying	dəˈfaɪɪŋ
degaetano	dəɡɑɛˈtɑnoʊ
degan	ˈdiːɡən
degarmo	dəˈɡɑɹmoʊ
degas	ˈdeɪɡəs
degaulle	dəˈɡɑl
degen	ˈdɛɡən
degener	ˈdɛɡiːnɚ
degeneracy	dɪˈʤɛnɚəsiː
degenerate	dɪˈʤɛnɚət
degenerate	dɪˈʤɛnɚˌeɪt
degenerated	dɪˈʤɛnɚˌeɪtəd
degenerates	dɪˈʤɛnɚəts
degenerating	dɪˈʤɛnɚˌeɪtɪŋ
degeneration	dɪˌʤɛnɚˈeɪʃən
degenerative	dɪˈʤɛnɚətɪv
degeneres	dɪʤəˈnɛɹɛs
degeneres	diːʤəˈnɛɹɛs
degenhardt	ˈdɛɡənhɑɹt
degenhart	ˈdɛɡənˌhɑɹt
degennaro	dɪʤɛˈnɑɹoʊ
degeorge	ˈdɛɡiːɚɡ
deger	ˈdiːɡɚ
degiacomo	ˈdiːʤəkoʊmoʊ
degidio	dɪˈʤiːdiːoʊ
degirolamo	dɪʤɪɹoʊˈlɑmoʊ
degler	ˈdɛɡlɚ
degnan	ˈdɛɡnən
degner	ˈdɛɡnɚ
degood	ˈdɛɡʊd
degraaf	ˈdɛɡɹɑf
degrace	dɪˈɡɹɑʧiː
degrace	dɪˈɡɹeɪs
degradable	dɪˈɡɹeɪdəbəl
degradation	ˌdɛɡɹəˈdeɪʃən
degradations	ˌdɛɡɹəˈdeɪʃənz
degrade	dɪˈɡɹeɪd
degraded	dɪˈɡɹeɪdəd
degrades	dɪˈɡɹeɪdz
degrading	dɪˈɡɹeɪdɪŋ
degraff	ˈdɛɡɹəf
degraffenreid	ˈdɛɡɹəfənɹaɪd
degrand	ˈdɛɡɹænd
degrange	ˈdɛɡɹeɪnʤ
degrasse	dɪˈɡɹɑsiː
degrave	dɪˈɡɹɑviː
degraw	ˈdɛɡɹɑ
degray	ˈdɛɡɹeɪ
degrazia	dɪˈɡɹɑziːə
degree	dɪˈɡɹiː
degreed	dɪˈɡɹiːd
degrees	dɪˈɡɹiːz
degregorio	dɪɡɹɛˈɡɔɹiːoʊ
degregory	ˈdɛɡɹɪɡɚiː
degroat	ˈdɛɡɹoʊt
degroff	ˈdɛɡɹɑf
degroot	ˈdɛɡɹuːt
degroote	dəˈɡɹuːt
deguerin	dɪˈɡɝən
deguire	deɪˈɡwɪɹeɪ
degussa	dɪˈɡjuːsə
degutare	ˌdɛɡuːˈtɑɹiː
deguzman	deɪɡuːzˈmæn
dehaan	ˈdɛhɑn
dehaas	ˈdɛhɑz
deharbe	dəˈhɑɹbiː
dehart	ˈdɛhɑɹt
dehaven	ˈdɛhəvən
dehecq	dɛˈhɛk
dehere	dəˈhɪɹiː
deherrera	deɪhɛˈɹɛɹə
dehler	ˈdɛlɚ
dehm	ˈdɛm
dehmer	ˈdɛmɚ
dehn	ˈdɛn
dehne	ˈdɛn
dehner	ˈdɛnɚ
dehnert	ˈdɛnɚt
dehoff	ˈdɛhɑf
dehoyos	ˈdɛhɔɪoʊz
dehumanization	ˌdiːhˌjuːmənəˈzeɪʃən
dehumanize	dəˈhjuːmənaɪz
dehumanized	dəˈhjuːmənaɪzd
dehumanizing	diːˈhjuːməˌnaɪzɪŋ
dehydrate	dəˈhaɪdɹeɪt
dehydrated	dəˈhaɪdɹeɪtəd
dehydration	ˌdiːhaɪˈdɹeɪʃən
deibel	ˈdaɪbəl
deibert	ˈdaɪbɚt
deibler	ˈdaɪbəlɚ
deichert	ˈdaɪkɚt
deidre	ˈdiːdɹə
deification	ˌdiːəfəˈkeɪʃən
deify	ˈdiːəˌfaɪ
deighan	ˈdeɪɡhən
deighton	ˈdeɪtən
deignan	dəɡˈnæn
deihl	ˈdaɪl
deike	ˈdiːk
deikel	ˈdaɪkəl
deily	ˈdiːliː
deines	ˈdiːnz
deininger	ˈdaɪnɪŋɚ
deinstitutionalization	ˌdiːɪnstəˌtuːʃənələˈzeɪʃən
deinstitutionalize	ˌdiːɪnstəˌtuːʃənəˌlaɪz
deion	ˈdiːjɑn
deion	ˈdiːɑn
deirdre	ˈdiːɹdɹə
deis	ˈdiːz
deis	ˈdeɪɪz
deisher	ˈdiːɪʃɚ
deism	ˈdiːˌɪzəm
deiss	ˈdaɪs
deist	ˈdiːəst
deitch	ˈdaɪʧ
deiter	ˈdaɪtɚ
deiters	ˈdaɪtɚz
deities	ˈdiːətiːz
deitrich	ˈdaɪtɹɪk
deitrick	ˈdaɪtɹɪk
deitsch	ˈdaɪʧ
deity	ˈdiːətiː
deitz	ˈdiːts
deja	ˈdiːʤə
deja	ˈdeɪˌʒɑ
dejager	ˈdɛʤeɪɡɚ
dejarnett	dɪˈʤɑɹnɛt
dejarnette	ˈdɛʒɑɹnɛt
dejean	dɪˈʒiːn
deject	dɪˈʤɛkt
dejected	dɪˈʤɛktəd
dejesus	dɪˈʤiːzəs
dejohn	dəˈʤɑn
dejong	dəˈʤɑŋ
dejonge	dəˈʤɑŋ
dejongh	dəˈʤɑŋ
dejoseph	dəˈʤoʊsəf
dejoy	dəˈʤɔɪ
dejulio	dəˈʤuːliːoʊ
dekalb	dɪˈkælb
dekay	dəˈkeɪ
dekeyser	dəˈkaɪzɚ
dekker	ˈdɛkɚ
dekle	ˈdɛkəl
deklerk	dəˈklɝk
dekom	ˈdɛkəm
dekoning	ˈdɛkənɪŋ
dekroon	ˌdɛkˈɹuːn
dekuyper	dɪˈkaɪpɚ
del	ˈdɛl
dela	ˈdɛlə
delacerda	dɛlɑˈʧɛɹdə
delacruz	deɪˈlɑkɹuːz
delacy	dəˈlɑsiː
delafield	ˈdɛləˌfiːld
delafuente	deɪlɑˈfwɛnteɪ
delagarza	dɛlɑˈɡɑɹzə
delage	ˈdɛlɪʤ
delagrange	dɛˈlɑɡɹɑnʤ
delahanty	ˈdɛləhəntiː
delahoussaye	dɛləˈhaʊseɪ
delahunt	ˈdɛləhənt
delahunty	ˈdɛləhəntiː
delaine	dəˈleɪn
delair	dəˈlɛɹ
delamar	deɪlɑˈmɑɹ
delamater	ˈdɛləmeɪtɚ
delancey	ˈdɛlənsiː
delancy	ˈdɛlənsiː
deland	dəˈlænd
delane	ˈdɛlən
delaney	dəˈleɪniː
delange	ˈdɛleɪnʤ
delano	dəˈlɑnoʊ
delano	ˈdɛlənoʊ
delanoy	ˈdɛlənɔɪ
delany	ˈdɛləniː
delao	ˈdɛlaʊ
delap	ˈdɛləp
delapaz	deɪˈlɑpɑz
delapena	dɛlɑˈpɛnə
delapp	ˈdɛləp
delara	dɛˈlɑɹə
delariva	dɛlɑˈɹiːvə
delarosa	dɛlɑˈɹoʊsə
delashmit	ˈdɛləʃˌmɪt
delashmutt	ˈdɛləʃmət
delaski	dəˈlæskiː
delatorre	dɛlɑˈtɔɹiː
delatte	dəˈlæt
delauder	ˈdɛlaʊdɚ
delaughter	ˈdɛlɑtɚ
delaune	ˈdɛlɑn
delaura	dɛˈlɔɹə
delaurel	dəˈlɑɹəl
delaurentiis	diːlɑˈɹɛnˌtiːz
delaurentis	deɪlaʊˈɹeɪnˌtɪs
delauter	ˈdɛlaʊtɚ
delaval	ˈdɛləvæl
delavan	ˈdɛləvən
delavega	deɪlɑˈveɪɡə
delaware	ˈdɛləˌwɛɹ
delawarian	ˈdɛləˌwɛɹiːən
delawarians	ˈdɛləˌwɛɹiːənz
delawder	ˈdɛlɑdɚ
delay	dəˈleɪ
delayed	dəˈleɪd
delaying	dəˈleɪɪŋ
delays	dəˈleɪz
delbarco	dɛlˈbɑɹkoʊ
delbene	dɛlˈbɛniː
delbert	ˈdɛlbɚt
delbianco	dɛlbiːˈɑnkoʊ
delbosque	dɛlˈboʊsk
delbridge	ˈdɛlbɹɪʤ
delbuono	ˌdɛlˈbwoʊnoʊ
delcambre	dɛlˈkɑmbɹiː
delcamp	ˈdɛlkæmp
delcampo	dɛlˈkɑmpoʊ
delcarlo	ˌdɛlˈkɑɹloʊ
delcastillo	dɛlkɑsˈtɪloʊ
delchamps	ˌdɛlˈʧæmps
delcine	dɛlˈʧiːniː
delco	ˈdɛlkoʊ
delconte	dɛlˈkoʊntiː
delcor	ˈdɛlˌkɔɹ
delduca	ˌdɛlˈduːkə
delebarre	ˌdɛləˈbɑɹ
delectable	dəˈlɛktəbəl
delee	ˈdɛliː
deleeuw	ˈdɛliːuː
delegate	ˈdɛləˌɡeɪt
delegate	ˈdɛləɡət
delegated	ˈdɛləˌɡeɪtəd
delegates	ˈdɛləˌɡeɪts
delegates	ˈdɛləɡəts
delegating	ˈdɛləˌɡeɪtɪŋ
delegation	ˌdɛləˈɡeɪʃən
delegations	ˌdɛləˈɡeɪʃənz
delehanty	ˈdɛləhəntiː
delellis	ˈdɛlɛləs
delellis	dəˈlɛləs
deleo	ˈdɛliːoʊ
deleon	ˈdɛliːən
deleonardis	ˈdɛliːənɑɹdəs
delete	dəˈliːt
deleted	dəˈliːtəd
deleterious	ˌdɛləˈtɪɹiːəs
deleting	dəˈliːtɪŋ
deletion	dəˈliːʃən
deletions	dəˈliːʃənz
delfavero	dɛlfɑˈvɛɹoʊ
delfin	ˈdɛlˌfɪn
delfina	ˌdɛlˈfiːnə
delfine	dɛlˈfiːniː
delfino	ˌdɛlˈfiːnoʊ
delfosse	ˈdɛlfəs
delfs	ˈdɛlfs
delft	ˈdɛlft
delftware	ˈdɛlfˌtwɛɹ
delgadillo	dɛlɡɑˈdɪloʊ
delgado	dɛlˈɡɑdoʊ
delgaudio	dɛlˈɡɑdiːoʊ
delgiorno	dɛlˈʤɔɹnoʊ
delgiudice	dɛlˈʤuːdəs
delgrande	ˈdɛlɡɹændiː
delgreco	ˌdɛlˈɡɹɛkoʊ
delgrosso	ˌdɛlˈɡɹoʊsoʊ
delguercio	dɛlˈɡɛɹʧiːoʊ
delguidice	dɛlˈɡaɪˌdɪs
delhaize	ˌdɛlˈheɪz
delhi	ˈdɛliː
deli	ˈdɛliː
delia	ˈdiːljə
delial	dəˈlaɪɛl
delial	diːˈlaɪɛl
deliberate	dəˈlɪbɚət
deliberate	dəˈlɪbɚˌeɪt
deliberate	dəˈlɪbɹət
deliberated	dəˈlɪbɚˌeɪtəd
deliberately	dəˈlɪbɚətliː
deliberately	dəˈlɪbɹətliː
deliberates	dəˈlɪbɚˌeɪts
deliberates	dəˈlɪbɹeɪts
deliberating	dəˈlɪbɚˌeɪtɪŋ
deliberation	dəˌlɪbɚˈeɪʃən
deliberations	dəˌlɪbɚˈeɪʃənz
deliberative	dəˈlɪbɚˌeɪtɪv
delicacies	ˈdɛlɪkəsiːz
delicacy	ˈdɛləkəsiː
delicate	ˈdɛləkət
delicately	ˈdɛləkətliː
delicatessen	ˌdɛlɪkəˈtɛsən
delicatessens	ˌdɛlɪkəˈtɛsənz
delich	ˈdɛlɪk
delicia	dɛˈliːʧə
delicious	dəˈlɪʃəs
deliciously	dəˈlɪʃəsliː
delight	dəˈlaɪt
delighted	dəˈlaɪtəd
delightful	dəˈlaɪtfəl
delightfully	dəˈlaɪtfəliː
delighting	dəˈlaɪtɪŋ
delights	dəˈlaɪts
delila	dɛˈliːlə
delilah	dəˈlaɪlə
delillo	dəˈlɪloʊ
delima	dɛˈliːmə
deline	dɛˈliːniː
delineate	dəˈlɪniːˌeɪt
delineated	dəˈlɪniːˌeɪtəd
delineates	dəˈlɪniːˌeɪts
delineating	dəˈlɪniːˌeɪtɪŋ
delineation	dəˌlɪniːˈeɪʃən
delinquencies	dəˈlɪŋkwənsiːz
delinquency	dəˈlɪŋkwənsiː
delinquent	dəˈlɪŋkwənt
delinquents	dəˈlɪŋkwənts
delio	ˈdeɪliːoʊ
delirious	dəˈlɪɹiːəs
delirium	dəˈlɪɹiːəm
delisa	dɛˈliːsə
delise	ˈdɛlaɪz
delisi	dɛˈliːsiː
delisio	dɛˈliːsiːoʊ
delisle	dəˈlaɪl
delist	ˌdiːˈlɪst
delisted	ˌdiːˈlɪstəd
delisting	diːˈlɪstɪŋ
deliver	dəˈlɪvɚ
deliverable	dəˈlɪvɚəbəl
deliverable	dəˈlɪvɹəbəl
deliverance	dəˈlɪvɚəns
deliverance	dəˈlɪvɹəns
delivered	dəˈlɪvɚd
deliverer	dəˈlɪvɚɚ
deliverers	dəˈlɪvɚɚz
deliveries	dəˈlɪvɚiːz
deliveries	dəˈlɪvɹiːz
delivering	dəˈlɪvɚɪŋ
delivers	dəˈlɪvɚz
delivery	dəˈlɪvɚiː
delk	ˈdɛlk
delker	ˈdɛlkɚ
dell	ˈdɛl
della	ˈdɛlə
dellaert	ˈdɛlɑɹt
dellaert	ˈdɛlɚt
dellapenna	ˈdɛləˌpɛnə
dellaquila	deɪlɑˈkwiːlə
dellarocco	ˈdɛlɚoʊkoʊ
dellavalle	ˈdɛləvɑliː
dellavecchia	ˈdɛləˌvɛkiːə
delle	ˈdɛl
deller	ˈdɛlɚ
delligatti	dɛliːˈɡɑtiː
delling	ˈdɛlɪŋ
dellinger	ˈdɛlɪŋɚ
dellis	ˈdɛˌlɪs
dellolio	dɛˈloʊliːoʊ
dellums	ˈdɛləmz
delma	ˈdɛlmə
delman	ˈdɛlmən
delmar	ˈdɛlmɚ
delmarva	ˌdɛlˈmɑɹvə
delmas	ˈdɛlməz
delmastro	ˌdɛlˈmæstɹoʊ
delmed	ˈdɛlˌmɛd
delmer	ˈdɛlmɚ
delmonaco	dɛlmoʊˈnɑkoʊ
delmonico	dɛlmɑˈniːkoʊ
delmont	ˈdeɪlmoʊnt
delmonte	dɛlˈmɑntiː
delmore	ˈdɛlmɔɹ
delnegro	ˌdɛlˈnɛɡɹoʊ
delnero	dɛlˈnɛɹoʊ
delo	ˈdɛloʊ
deloach	ˈdɛloʊʧ
deloatch	ˈdɛloʊʧ
deloitte	dəˈlɔɪt
deloney	ˈdɛləniː
delong	dəˈlɑŋ
delora	dɛˈlɔɹə
delore	dəˈlɔɹ
delore	dəˈlɔɹiː
delorean	dəˈlɔɹiːən
delorenzo	dɛlɑˈɹɛnzoʊ
delorenzo	ˌdeɪlɑˈɹɛnzoʊ
delores	dəˈlɔɹəs
delorey	ˈdɛlɚiː
deloria	dɛˈlɔɹiːə
deloris	ˈdɛˌlɚɪs
delorme	dɛˈlɔɹmiː
delors	dəˈlɔɹz
delosh	ˈdɛˌlʌʃ
delosreyes	dɛˈlɑsɚaɪz
delosreyes	dɛloʊˈsɹeɪz
delosreyes	dɛloʊˈsɹeɪəz
delossantos	deɪloʊˈsɑntoʊz
delouis	ˌdɛluːˈiːz
delozier	ˈdɛləziːɚ
delp	ˈdɛlp
delph	ˈdɛlf
delphax	ˈdɛlfæks
delphi	ˈdɛlfaɪ
delphia	ˈdɛlfiːə
delphic	ˈdɛlfɪk
delphina	dɛlˈfiːnə
delphine	dɛlˈfiːniː
delpino	ˌdɛlˈpiːnoʊ
delpizzo	dɛlˈpiːzoʊ
delponte	dɛlˈpoʊntiː
delpozo	ˌdɛlˈpoʊzoʊ
delprete	ˈdɛlpɹiːt
delpriore	dɛlpɹiːˈɔɹiː
delray	ˌdɛlˈɹeɪ
delre	ˈdɛlɹ
delreal	ˈdɛlɹəl
delrina	ˌdɛlˈɹiːnə
delrio	ˈdɛlɹiːoʊ
delrosario	dɛlɹoʊˈsɑɹiːoʊ
delrossi	dɛlˈɹɑsiː
delrosso	dɛlˈɹoʊsoʊ
delsanto	dɛlˈsɑntoʊ
delsignore	dɛlsiːɡˈnɔɹiː
delta	ˈdɛltə
deltacorp	ˈdɛltəˌkɔɹp
deltadromeus	ˌdɛltəˈdɹoʊməs
deltaic	dɛlˈteɪɪk
deltak	ˈdɛlˌtæk
deltec	ˈdɛlˌtɛk
deltona	ˌdɛlˈtoʊnə
deltoro	dɛlˈtɔɹoʊ
deluca	dəˈluːkə
delucas	dəˈluːkəz
delucca	dɛˈluːkə
delucchi	dɛˈluːkiː
deluccia	dɛˈluːʧə
delucia	dɛˈluːʧə
delude	dəˈluːd
deluded	dəˈluːdəd
deluding	dəˈluːdɪŋ
deluge	ˈdɛljuːʤ
deluged	ˈdɛljuːʤd
deluise	dɛˈluːsiː
deluna	dɛˈluːnə
delusion	dəˈluːʒən
delusional	dəˈluːʒənəl
delusions	dəˈluːʒənz
deluxe	dəˈlʌks
delvalle	ˌdɛlˈvæliː
delve	ˈdɛlv
delvecchio	ˌdɛlˈvɛkiːoʊ
delved	ˈdɛlvd
delves	ˈdɛlvz
delving	ˈdɛlvɪŋ
delwin	ˈdɛlˌwɪn
delwip	ˈdɛlwəp
delwyn	ˈdɛlˌwɪn
delzell	ˈdɛlzəl
delzer	ˈdɛlzɚ
demaggio	dəˈmɑʤiːoʊ
demagogic	ˌdɛməˈɡɑʤɪk
demagogue	ˈdɛməˌɡɑɡ
demagoguery	ˈdɛməˌɡɑɡɚiː
demagogues	ˈdɛməˌɡɑɡz
demagoguing	ˈdɛməˌɡɑɡɪŋ
demagogy	ˈdɛməˌɡɑʤiː
demain	dəˈmeɪn
demaio	dəˈmɑiːoʊ
deman	ˈdiːmən
demand	ˌdɪˈmænd
demanded	ˌdɪˈmændəd
demanding	ˌdɪˈmændɪŋ
demandingly	ˌdɪˈmændɪŋliː
demands	ˌdɪˈmændz
demar	ˌdɪˈmɑɹ
demarais	ˈdɛmɚeɪ
demaray	ˈdɛmɚeɪ
demarcation	ˌdiːmɑɹˈkeɪʃən
demarcations	ˌdiːmɑɹˈkeɪʃənz
demarche	ˌdɪˈmɑɹʧ
demarche	diːˈmɑɹʧ
demarchi	ˌdɪˈmɑɹkiː
demarco	ˌdɪˈmɑɹkoʊ
demarcus	ˈdɛmɑɹkəs
demaree	dɛmɚˈiː
demarest	deɪmɑˈɹeɪɛst
demarest	ˈdɛmɚəst
demaria	ˌdɪˈmɑɹiːə
demarinis	ˈdɛˌmɚɪnəs
demarino	ˌdɪmɑˈɹiːnoʊ
demario	ˌdɪˈmɑɹiːoʊ
demaris	ˈdɛˌmɚɪs
demark	dəˈmɑɹk
demars	ˈdɛmɚz
demarsh	ˈdɛmɑɹʃ
demartin	ˌdɪˈmɑɹˌtɪn
demartini	ˌdɪmɑɹˈtiːniː
demartino	ˌdɪmɑɹˈtiːnoʊ
demary	ˈdɛmɛɹiː
demarzo	ˌdɪˈmɑɹzoʊ
demas	ˈdiːməs
demasi	ˌdɪˈmɑsiː
demasters	ˈdiːmæstɚz
dematteis	ˈdɛmətaɪz
dematteo	ˌdɪˈmɑtiːoʊ
demattia	ˌdɪˈmɑʃə
demauro	ˌdɪˈmɔɹoʊ
demay	ˈdɛmeɪ
demayo	deɪˈmeɪoʊ
dembeck	ˈdɛmˌbɛk
dembinski	dɛmˈbɪnskiː
dembowski	dɛmˈbɑfskiː
dembski	ˈdɛmskiː
demby	ˈdɛmbiː
demchak	ˈdɛmʧək
demean	ˌdɪˈmiːn
demeaned	ˌdɪˈmiːnd
demeaning	ˌdɪˈmiːnɪŋ
demeanor	ˌdɪˈmiːnɚ
demeans	ˌdɪˈmiːnz
demel	ˈdɛməl
demello	ˌdɪˈmɛloʊ
demelo	ˌdɪˈmɛloʊ
dement	dəˈmɛnt
demented	ˌdɪˈmɛntəd
dementia	ˌdɪˈmɛnʃiːə
demeo	ˈdiːmiːoʊ
demeree	ˈdɛmɚiː
demerger	diːˈmɝʤɚ
demerist	dɛˈmɝˌɪst
demerist	ˈdɛmɚəst
demerit	diːˈmɛɹət
demerits	diːˈmɛɹəts
demeritt	ˈdɛmɚət
demers	ˈdiːmɚz
demery	dɛˈmɝiː
demeter	ˌdɪˈmiːtɚ
demetre	dɛˈmiːtɚ
demetria	ˌdɪˈmɛtɹiːə
demetrio	ˌdɪˈmɛtɹiːoʊ
demetriou	ˌdɪmɛˈtɹiːuː
demetrius	ˌdɪˈmiːtɹiːəs
demeyer	ˈdɛmaɪɚ
demi	ˈdɛmiː
demicco	ˌdɪˈmiːkoʊ
demichael	ˈdɛmɪkɛl
demichele	ˈdɛmɪkəl
demick	ˈdɛmɪk
demilio	ˌdɪˈmiːliːoʊ
demilitarization	diːˌmɪlətɚəˈzeɪʃən
demilitarize	diːˈmɪlətɚˌaɪz
demilitarized	diːˈmɪlətɚˌaɪzd
demilitarizes	diːˈmɪlətɚˌaɪzəz
demilitarizing	diːˈmɪlətɚˌaɪzɪŋ
demille	ˌdɪˈmiːliː
demille	dəˈmɪl
demilo	dəˈmɪloʊ
demilo	dəˈmaɪloʊ
deming	ˈdɛmɪŋ
demint	ˈdeɪmiːnt
demirag	ˌdeɪmɪˈɹɑʤ
demirel	dəˈmɪɹəl
demirjian	ˌdɪˈmɝʤiːən
demisch	dəˈmɪʃ
demise	ˌdɪˈmaɪz
demish	ˈdɛˌmɪʃ
demjanjuk	dɛˈmjɑnjuːk
demjanjuk	dɛˈmjænjuːk
demko	ˈdɛmkoʊ
demler	ˈdɛmlɚ
demma	ˈdiːmə
demme	ˈdɛm
demmer	ˈdɛmɚ
demming	ˈdɛmɪŋ
demmon	ˈdɛmən
demmons	ˈdɛmənz
demo	ˈdɛmoʊ
demobilization	diːˌmoʊbəlaɪˈzeɪʃən
demobilization	diːˌmoʊbələˈzeɪʃən
demobilize	ˌdɪˈmoʊbəˌlaɪz
demobilized	ˌdɪˈmoʊbəˌlaɪzd
democracies	ˌdɪˈmɑkɹəsiːz
democracy	ˌdɪˈmɑkɹəsiː
democrat	ˈdɛməˌkɹæt
democratic	ˌdɛməˈkɹætɪk
democratica	ˌdɛməˈkɹætɪkə
democratically	ˌdɛməˈkɹætɪkliː
democratics	ˌdɛməˈkɹætɪks
democratization	ˌdɪmɑkɹətəˈzeɪʃən
democratize	ˌdɪˈmɑkɹəˌtaɪz
democratized	ˌdɪˈmɑkɹəˌtaɪzd
democratizing	ˌdɪˈmɑkɹəˌtaɪzɪŋ
democrats	ˈdɛməˌkɹæts
demodulate	ˌdiːˌmɑʤəˈleɪt
demodulation	ˌdiːˌmɑʤəˈleɪʃən
demographer	dɛˈmɑɡɹəfɚ
demographers	dɛˈmɑɡɹəfɚz
demographic	ˌdɛməˈɡɹæfɪk
demographically	ˌdɛməˈɡɹæfɪkliː
demographics	ˌdɛməˈɡɹæfɪks
demography	dɛˈmɑɡɹəfiː
demolish	dəˈmɑlɪʃ
demolished	ˌdɪˈmɑlɪʃt
demolishing	ˌdɪˈmɑlɪʃɪŋ
demolition	ˌdɛməˈlɪʃən
demon	ˈdiːmən
demond	dəˈmɑnd
demonic	ˌdɪˈmɑnɪk
demonization	ˌdiːmənəˈzeɪʃən
demonize	ˈdiːməˌnaɪz
demonized	ˈdiːməˌnaɪzd
demonizer	ˈdiːməˌnaɪzɚ
demonizez	ˈdiːməˌnaɪzəz
demonizing	ˈdiːməˌnaɪzɪŋ
demons	ˈdiːmənz
demonstrable	ˈdɛmənstɹəbəl
demonstrably	ˌdɪˈmɑnstɹəbliː
demonstrate	ˈdɛmənˌstɹeɪt
demonstrated	ˈdɛmənˌstɹeɪtəd
demonstrates	ˈdɛmənˌstɹeɪts
demonstrating	ˈdɛmənˌstɹeɪtɪŋ
demonstration	ˌdɛmənˈstɹeɪʃən
demonstrations	ˌdɛmənˈstɹeɪʃənz
demonstrative	ˌdɪˈmɑnstɹətɪv
demonstrator	ˈdɛmənˌstɹeɪtɚ
demonstrators	ˈdɛmənˌstɹeɪtɚz
demont	ˈdɛmənt
demonte	dəˈmɑntiː
demopoulos	dəˈmɑpələs
demoralization	ˌdɪˌmɔɹələˈzeɪʃən
demoralize	ˌdɪˈmɔɹəˌlaɪz
demoralized	ˌdɪˈmɔɹəˌlaɪzd
demoralizing	ˌdɪˈmɔɹəˌlaɪzɪŋ
demore	ˈdɛmɔɹ
demorest	deɪˈmɔɹɛst
demory	ˌdɪˈmɝiː
demos	ˈdɛˌmoʊz
demoss	dəˈmɑs
demote	ˌdɪˈmoʊt
demoted	ˌdɪˈmoʊtəd
demotion	ˌdɪˈmoʊʃən
demotions	ˌdɪˈmoʊʃənz
demott	dəˈmɑt
demoulin	ˈdɛmuːlæn
demov	ˈdɛmɑv
dempewolf	ˈdɛmpjuːʊlf
demps	ˈdɛmps
dempsey	ˈdɛmpsiː
dempster	ˈdɛmpstɚ
demski	ˈdɛmskiː
demsky	ˈdɛmskiː
demur	ˌdɪˈmɝ
demure	ˌdɪmˈjʊɹ
demurely	ˌdɪmˈjʊɹliː
demuro	ˌdɪˈmʊɹoʊ
demurred	ˌdɪˈmɝd
demurring	ˌdɪˈmɝɪŋ
demurs	ˌdɪˈmɝz
demus	ˈdiːməs
demuth	ˈdiːməθ
demyan	ˈdɛmjən
demystify	diːˈmɪstəˌfaɪ
den	ˈdɛn
dena	ˈdiːnə
denapoli	dəˈnɑpəliː
denard	dəˈnɑɹd
denardo	dəˈnɑɹdoʊ
denarii	dəˈnæɹiː
denarius	dəˈnæɹiːəs
denaro	dəˈnɑɹoʊ
denatale	ˌdɪnɑˈtɑliː
denationalization	ˌdiːˌnæʃənələˈzeɪʃən
denationalizations	diːˌnæʃənələˈzeɪʃənz
denationalize	dəˈnæʃənəˌlaɪz
denationalized	dəˈnæʃənəˌlaɪzd
denationalizing	dəˈnæʃənəˌlaɪzɪŋ
denature	dəˈneɪʧɚ
denatured	dəˈneɪʧɚd
denault	ˌdɪˈnoʊ
denbo	ˈdiːnboʊ
denboer	ˈdɛnboʊɚ
