àbac	ˈaβək
automàtics	əwtuˈmatiks
automàtiques	əwtuˈmatikəs
automatisme	əwtuməˈtizmə
automatismes	əwtuməˈtizməs
automatització	əwtumətidzəsiˈo
automatitzada	əwtumətidˈzaðə
automatitzades	əwtumətidˈzaðəs
automatitzar	əwtumətidˈza
automatitzat	əwtumətidˈzat
automatitzats	əwtumətidˈzaʦ
autòmats	əwˈtɔməʦ
automedica	awtuməˈðikə
automedicació	awtuməðikəsiˈo
automòbil	əwtuˈmɔβil
automobilisme	awtumuβiˈlizmə
automobilistes	awtumuβiˈlistəs
automobilística	awtumuβiˈlistikə
automobilístic	awtumuβiˈlistik
automobilístics	awtumuβiˈlistiks
automobilístiques	awtumuβiˈlistikəs
automòbils	əwtuˈmɔβils
automoció	awtumusiˈo
autònoma	əwˈtɔnumə
autònomament	əwtɔnuməˈmen
autònom	əwˈtɔnum
autònomes	əwˈtɔnuməs
autonomia	əwtunuˈmiə
autonòmica	əwtuˈnɔmikə
autonòmic	əwtuˈnɔmik
autonòmics	əwtuˈnɔmiks
autonomies	əwtunuˈmiəs
autonòmiques	əwtuˈnɔmikəs
autonomisme	əwtunuˈmizmə
autonomista	əwtunuˈmistə
autonomistes	əwtunuˈmistəs
autònoms	əwˈtɔnums
autoocupació	awtukupəsiˈo
autoparòdia	awtupəˈɾɔðiə
autoparòdica	awtupəˈɾɔðikə
autoparòdic	awtupəˈɾɔðik
autopista	əwtuˈpistə
autopistes	əwtuˈpistəs
autoproclama	awtupɾuˈklamə
autoproclamada	awtupɾukləˈmaðə
autoproclamar	awtupɾukləˈma
autoproclamen	awtupɾuˈklamən
autopromoció	awtupɾumusiˈo
autopromocions	awtupɾumusiˈons
autoprotecció	awtupɾutəksiˈo
autòpsia	əwˈtɔpsiə
autòpsies	əwˈtɔpsiəs
autora	əwˈtoɾə
autorals	awtuˈrals
autor	əwˈto
autoreconeixement	awturəkunəʃəˈmen
autoreforma	awturəˈformə
autoregulació	awturəɣuləsiˈo
autoreparar	awturəpəˈɾa
autores	əwˈtoɾəs
autoretrat	awturəˈtɾat
autoretrats	awturəˈtɾaʦ
autoria	əwtuˈɾiə
autoritària	əwtuɾiˈtaɾiə
autoritari	əwtuɾiˈtaɾi
autoritàries	əwtuɾiˈtaɾiəs
autoritaris	əwtuɾiˈtaɾis
autoritarisme	əwtuɾitəˈɾizmə
autoritat	əwtuɾiˈtat
autoritats	əwtuɾiˈtaʦ
autoritza	əwtuˈɾidzə
autorització	əwtuɾidzəsiˈo
autoritzacions	əwtuɾidzəsiˈons
autoritzada	əwtuɾidˈzaðə
autoritzades	əwtuɾidˈzaðəs
autoritzant	əwtuɾidˈzan
autoritzarà	əwtuɾidzəˈɾa
autoritzaran	əwtuɾidzəˈɾan
autoritzaràs	əwtuɾidzəˈɾas
autoritzar	əwtuɾidˈza
autoritzaria	əwtuɾidzəˈɾiə
autoritzat	əwtuɾidˈzat
autoritzats	əwtuɾidˈzaʦ
autoritzava	əwtuɾidˈzaβə
autoritzen	əwtuˈɾidzən
autoritzés	əwtuɾidˈzes
autoritzi	əwtuˈɾidzi
autoritzin	əwtuˈɾidzin
autoritzo	əwtuˈɾidzu
autors	əwˈtos
autosatisfacció	awtusətisfəksiˈo
autos	ˈawtus
autoservei	awtusərˈβɛj
autoservit	awtusərˈβit
autosuficiència	awtusufisiˈɛnsiə
autosuficient	awtusufisiˈen
autosuficients	awtusufisiˈens
autotests	awtuˈtesʦ
autovia	awtuˈβiə
autovies	awtuˈβiəs
auxiliar	əwksiliˈa
auxiliars	əwksiliˈas
auxili	əwkˈsili
avala	əˈβalə
avalada	əβəˈlaðə
avalades	əβəˈlaðəs
avalador	əβələˈðo
avaladors	əβələˈðos
avalant	əβəˈlan
avalarà	əβələˈɾa
avalar	əβəˈla
avalat	əβəˈlat
avalats	əβəˈlaʦ
avalava	əβəˈlaβə
aval	əˈβal
avalen	əˈβalən
avali	əˈβali
avalin	əˈβalin
avall	əˈβaʎ
avalots	əβəˈlɔʦ
avals	əˈβals
avalua	əβəˈluə
avaluable	əβəluˈabblə
avaluables	əβəluˈabbləs
avaluació	əβəluəsiˈo
avaluacions	əβəluəsiˈons
avaluada	əβəluˈaðə
avaluades	əβəluˈaðəs
avaluant	əβəluˈan
avaluarà	əβəluəˈɾa
avaluaran	əβəluəˈɾan
avaluar	əβəluˈa
avaluar-ne	əβəluˈarnə
avaluat	əβəluˈat
avaluats	əβəluˈaʦ
avaluava	əβəluˈaβə
avaluen	əβəˈluən
avaluï	əβəˈlui
avança	əˈβansə
avançada	əβənˈsaðə
avançades	əβənˈsaðəs
avançament	əβənsəˈmen
avançaments	əβənsəˈmens
avançant	əβənˈsan
avançant-se	əβənˈsansə
avançarà	əβənsəˈɾa
avançaran	əβənsəˈɾan
avançar	əβənˈsa
avançarem	əβənsəˈɾɛm
avançareu	əβənsəˈɾɛw
avançaries	əβənsəˈɾiəs
avançar-ne	əβənˈsarnə
avançar-nos	əβənˈsarnus
avançar-se	əβənˈsarsə
avançat	əβənˈsat
avançats	əβənˈsaʦ
avançava	əβənˈsaβə
avanç	əˈβans
avançaven	əβənˈsaβən
avancem	əβənˈsɛm
avancen	əˈβansən
avances	əˈβansəs
avancés	əβənˈses
avancessin	əβənˈsesin
avanceu	əβənˈsɛw
avanci	əˈβansi
avancin	əˈβansin
avanço	əˈβansu
avanços	əˈβansus
avantatge	əβənˈtadʒə
avantatges	əβənˈtadʒəs
avantatja	əβənˈtadʒə
avantatjar	əβəntədˈʒa
avantatjat	əβəntədˈʒat
avantatjava	əβəntədˈʒaβə
avantatjosa	əβəntədˈʒozə
avantatjós	əβəntədˈʒos
avantatjoses	əβəntədˈʒozəs
avantatjosos	əβəntədˈʒozus
avant	əˈβan
avantguarda	əβəŋˈgwarðə
avantguardes	əβəŋˈgwarðəs
avantguardisme	əβəŋgwərˈðizmə
avantguardista	əβəŋgwərˈðistə
avantguardistes	əβəŋgwərˈðistəs
avantpassat	əβampəˈsat
avantpassats	əβampəˈsaʦ
avantprojecte	əβampɾuˈʒektə
avantprojectes	əβampɾuˈʒektəs
avantsala	əβanˈsalə
avara	əˈβaɾə
avar	əˈβar
avaria	əβəˈɾiə
avariat	əβəɾiˈat
avarícia	əβəˈɾisiə
avaries	əβəˈɾiəs
avatars	əβəˈtas
avec	aˈβɛk
avellana	əβəˈʎanə
avellaners	əβəʎəˈnes
avellanes	əβəˈʎanəs
avenç	əˈβɛns
avenços	əˈβɛnsus
avenen	əˈβɛnən
avenida	əβəˈniðə
avenir	əβəˈni
avenir-se	əβəˈnirsə
aventura	əβənˈtuɾə
aventurar	əβəntuˈɾa
aventurar-se	əβəntuˈɾarsə
aventurat	əβəntuˈɾat
aventuren	əβənˈtuɾən
aventurera	əβəntuˈɾeɾə
aventurer	əβəntuˈɾe
aventureres	əβəntuˈɾeɾəs
aventurers	əβəntuˈɾes
aventures	əβənˈtuɾəs
avergonyeix	əβərɣuˈɲɛʃ
avergonyida	əβərɣuˈɲiðə
avergonyim	əβərɣuˈɲim
avergonyir	əβərɣuˈɲi
avergonyit	əβərɣuˈɲit
avergonyits	əβərɣuˈɲiʦ
averiguar	əβəɾiˈɣwa
aversió	əβərsiˈo
avesada	əβəˈzaðə
avesat	əβəˈzat
avesats	əβəˈzaʦ
àvia	ˈaβiə
aviació	əβiəsiˈo
aviadora	əβiəˈðoɾə
aviador	əβiəˈðo
aviadors	əβiəˈðos
aviat	əβiˈat
avícola	əˈβikulə
àvida	ˈaβiðə
àvid	ˈaβit
avidesa	əβiˈðɛzə
àvids	ˈaβiʦ
àvies	ˈaβiəs
avies	əˈβiəs
avindrien	əβinˈdɾiən
avinent	əβiˈnen
avinentesa	əβinənˈtɛzə
avinenteses	əβinənˈtɛzəs
avinguda	əβiŋˈguðə
avingudes	əβiŋˈguðəs
avingui	əˈβiŋgi
avinguin	əˈβiŋgin
avingut	əβiŋˈgut
avinguts	əβiŋˈguʦ
avio	əˈβiu
avió	əβiˈo
avioneta	əβiuˈnɛtə
avionetes	əβiuˈnɛtəs
avions	əβiˈons
aviram	əβiˈɾam
avisa	əˈβizə
avisada	əβiˈzaðə
avisa'm	əˈβizəm
avisant	əβiˈzan
avisarà	əβizəˈɾa
avisaran	əβizəˈɾan
avisar	əβiˈza
avisaré	əβizəˈɾe
avisar-los	əβiˈzarlus
avisat	əβiˈzat
avisats	əβiˈzaʦ
avisava	əβiˈzaβə
avisaven	əβiˈzaβən
avis	ˈaβis
avís	əˈβis
avisem	əβiˈzɛm
avisen	əˈβizən
avisés	əβiˈzes
avisi	əˈβizi
avisin	əˈβizin
aviso	əˈβizu
avisos	əˈβizus
avistament	əβistəˈmen
avituallament	əβituəʎəˈmen
avocats	əβuˈkaʦ
avorreix	əβuˈrɛʃ
avorreixen	əβuˈrɛʃən
avorria	əβuˈriə
avorrida	əβuˈriðə
avorrides	əβuˈriðəs
avorridet	əβuriˈðɛt
avorridota	əβuriˈðɔtə
avorriment	əβuriˈmen
avorrir	əβuˈri
avorrir-se	əβuˈrirsə
avorrit	əβuˈrit
avorrits	əβuˈriʦ
avorta	əˈβortə
avortada	əβurˈtaðə
avortament	əβurtəˈmen
avortaments	əβurtəˈmens
avortar	əβurˈta
avortat	əβurˈtat
avui	əˈβuj
aw	əˈɾuβə
axial	əksiˈal
axials	əksiˈals
axioma	əksiˈomə
axiomes	əksiˈoməs
az	aθerβaˈjan
aze	aθerβaˈjan
àzeri	ˈazəɾi
aznarista	əznəˈɾistə
b2b	ˈbuznəstuˈβuznəs
baba	ˈbaβə
babau	bəˈβaw
babaus	bəˈβaws
babel	bəˈβɛl
babelià	bəβəliˈa
babelians	bəβəliˈans
bable	ˈbaβlə
ba	ˈbɔzniəjərsəɣuˈβinə
baca	ˈbakə
bacallà	bəkəˈʎa
bacil	bəˈsil
bacó	bəˈko
bacteriana	bəktəɾiˈanə
bacterianes	bəktəɾiˈanəs
bacteri	bəkˈtɛɾi
bactèries	bəkˈtɛɾiəs
bacteriològica	bəktəɾiuˈlɔʒikə
bacteriològic	bəktəɾiuˈlɔʒik
bacteriològics	bəktəɾiuˈlɔʒiks
bacteriològiques	bəktəɾiuˈlɔʒikəs
bacteris	bəkˈtɛɾis
bàculs	ˈbakuls
bada	ˈbaðə
badada	bəˈðaðə
badades	bəˈðaðəs
badall	bəˈðaʎ
badalls	bəˈðaʎs
badaloní	bəðəluˈni
badalonina	bəðəluˈninə
badalonins	bəðəluˈnins
badar	bəˈða
badat	bəˈðat
badem	bəˈðɛm
baden	ˈbaðən
badia	bəˈðiə
bàdminton	ˈbadmintun
badocs	bəˈðɔks
bagatge	bəˈɣadʒə
bagatges	bəˈɣadʒəs
bagenca	bəˈʒɛŋkə
bagenc	bəˈʒɛŋ
bagul	bəˈɣul
baguls	bəˈɣuls
bah	ˈba
baixa	ˈbaʃə
baixada	bəˈʃaðə
baixades	bəˈʃaðəs
baixador	bəʃəˈðo
baixadors	bəʃəˈðos
baixant	bəˈʃan
baixarà	bəʃəˈɾa
baixaran	bəʃəˈɾan
baixar	bəˈʃa
baixaria	bəʃəˈɾiə
baixaries	bəʃəˈɾiəs
baixar-nos	bəˈʃarnus
baixar-se	bəˈʃarsə
baixar-te	bəˈʃartə
baixar-vos	bəˈʃarβus
baixar-vos-el	bəʃarβuˈzɛl
baixat	bəˈʃat
baixats	bəˈʃaʦ
baixava	bəˈʃaβə
baixaven	bəˈʃaβən
baix	ˈbaʃ
baixem	bəˈʃɛm
baixen	ˈbaʃən
baixesa	bəˈʃɛzə
baixes	ˈbaʃəs
baixés	bəˈʃes
baixessin	bəˈʃesin
baixet	bəˈʃɛt
baixeu	bəˈʃɛw
baixi	ˈbaʃi
baixin	ˈbaʃin
baixis	ˈbaʃis
baixíssima	bəˈʃisimə
baixíssim	bəˈʃisim
baixista	bəˈʃistə
baixistes	bəˈʃistəs
baixo	ˈbaʃu
baixos	ˈbaʃus
bajanada	bəʒəˈnaðə
bajanades	bəʒəˈnaðəs
bala	ˈbalə
balada	bəˈlaðə
balades	bəˈlaðəs
balança	bəˈlansə
balanç	bəˈlans
balanceig	bələnˈsɛʧ
balancejar	bələnsəˈʒa
balances	bəˈlansəs
balancí	bələnˈsi
balanços	bəˈlansus
balcànica	bəlˈkanikə
balcànic	bəlˈkanik
balcànics	bəlˈkaniks
balcàniques	bəlˈkanikəs
balcó	bəlˈko
balconada	bəlkuˈnaðə
balcons	bəlˈkons
baldament	bəldəˈmen
baldat	bəlˈdat
balder	bəlˈde
balear	bəleˈar
balears	bəleˈars
balena	bəˈlɛnə
balenes	bəˈlɛnəs
bales	ˈbaləs
balins	bəˈlins
balística	bəˈlistikə
balístic	bəˈlistik
balístics	bəˈlistiks
balla	ˈbaʎə
ballable	bəˈʎabblə
ballables	bəˈʎabbləs
ballada	bəˈʎaðə
ballades	bəˈʎaðəs
ballador	bəʎəˈðo
balladors	bəʎəˈðos
ballant	bəˈʎan
ballarà	bəʎəˈɾa
ballaran	bəʎəˈɾan
ballar	bəˈʎa
ballarí	bəʎəˈɾi
ballaries	bəʎəˈɾiəs
ballarina	bəʎəˈɾinə
ballarines	bəʎəˈɾinəs
ballarins	bəʎəˈɾins
ballat	bəˈʎat
ballava	bəˈʎaβə
ballaven	bəˈʎaβən
ball	ˈbaʎ
ballem	bəˈʎɛm
ballen	ˈbaʎən
ballester	bəʎəsˈte
ballet	bəˈʎɛt
ballets	bəˈʎɛʦ
balleu	bəˈʎɛw
balli	ˈbaʎi
ballin	ˈbaʎin
ballo	ˈbaʎu
balls	ˈbaʎs
balmes	ˈbalməs
balneari	bəlneˈaɾi
balnearis	bəlneˈaɾis
baló	bəˈlo
balsa	ˈbalsə
bàlsam	ˈbalsəm
balsàmica	bəlˈsamikə
balsàmic	bəlˈsamik
balsàmics	bəlˈsamiks
bàltica	ˈbaltikə
bàltics	ˈbaltiks
bàltiques	ˈbaltikəs
baluard	bəluˈart
baluards	bəluˈars
bambalines	bəmbəˈlinəs
bambes	ˈbambəs
bambú	bəmˈbu
banal	bəˈnal
banalitat	bənəliˈtat
banalitats	bənəliˈtaʦ
banalització	bənəlidzəsiˈo
banalitzador	bənəlidzəˈðo
banalitzar	bənəlidˈza
banals	bəˈnals
banana	bəˈnanə
bananera	bənəˈneɾə
bananes	bəˈnanəs
ban	ˈban
banca	ˈbaŋkə
bancària	bəŋˈkaɾiə
bancari	bəŋˈkaɾi
bancàries	bəŋˈkaɾiəs
bancaris	bəŋˈkaɾis
bancarrota	bəŋkəˈrɔtə
banc	ˈbaŋ
bancs	ˈbaŋs
banda	ˈbandə
bandada	bənˈdaðə
bandeja	bənˈdɛʒə
bandejada	bəndəˈʒaðə
bandejar	bəndəˈʒa
bandejat	bəndəˈʒat
bandera	bənˈdeɾə
banderer	bəndəˈɾe
banderes	bənˈdeɾəs
banderetes	bəndəˈɾɛtəs
banderoles	bəndəˈɾɔləs
bandes	ˈbandəs
bandit	bənˈdit
bandits	bənˈdiʦ
bàndol	ˈbandul
bandoler	bənduˈle
bandolers	bənduˈles
bàndols	ˈbanduls
bandúrria	bənˈduriə
bang	ˈbaŋ
banjo	ˈbanʒu
banking	ˈbaŋkiŋ
banner	ˈbanə
banners	ˈbanəs
banquer	bəŋˈke
banquers	bəŋˈkes
banqueta	bəŋˈkɛtə
banquet	bəŋˈkɛt
banquetes	bəŋˈkɛtəs
banquets	bəŋˈkɛʦ
bans	ˈbans
banya	ˈbaɲə
banyador	bəɲəˈðo
banyar	bəˈɲa
banyar-se	bəˈɲarsə
banyat	bəˈɲat
bany	ˈbaɲ
banyera	bəˈɲeɾə
banyes	ˈbaɲəs
banyista	bəˈɲistə
banyistes	bəˈɲistəs
banys	ˈbaɲs
banyut	bəˈɲut
banyuts	bəˈɲuʦ
baobab	bəoˈβap
baptisme	bəpˈtizmə
baquetes	bəˈkɛtəs
baralla	bəˈɾaʎə
barallada	bəɾəˈʎaðə
barallant-se	bəɾəˈʎansə
barallarà	bəɾəʎəˈɾa
barallaran	bəɾəʎəˈɾan
barallar	bəɾəˈʎa
barallar-se	bəɾəˈʎarsə
barallat	bəɾəˈʎat
barallats	bəɾəˈʎaʦ
barallem	bəɾəˈʎɛm
barallen	bəˈɾaʎən
baralles	bəˈɾaʎəs
baralleta	bəɾəˈʎɛtə
barallin	bəˈɾaʎin
barana	bəˈɾanə
baranes	bəˈɾanəs
barata	bəˈɾatə
barat	bəˈɾat
barates	bəˈɾatəs
barator	bəɾəˈto
barats	bəˈɾaʦ
barba	ˈbarβə
barbacoa	bərβəˈkoə
barbamec	barβəˈmɛk
bàrbara	ˈbarβəɾə
bar	ˈbar
bàrbar	ˈbarβə
bàrbares	ˈbarβəɾəs
barbàrie	bərˈβaɾiə
barbàries	bərˈβaɾiəs
barbarismes	bərβəˈɾizməs
barbaritat	bərβəɾiˈtat
barbaritats	bərβəɾiˈtaʦ
bàrbars	ˈbarβəs
barber	bərˈβe
barberia	bərβəˈɾiə
barbes	ˈbarβəs
barbeta	bərˈβɛtə
barbitúrics	bərβiˈtuɾiks
barbut	bərˈβut
barbuts	bərˈβuʦ
barca	ˈbarkə
barça	ˈbarsə
barcassa	bərˈkasə
barcelonès	bərsəluˈnɛs
barceloní	bərsəluˈni
barcelonina	bərsəluˈninə
barcelonines	bərsəluˈninəs
barcelonins	bərsəluˈnins
barcelonisme	bərsəluˈnizmə
barcelonista	bərsəluˈnistə
barcelonistes	bərsəluˈnistəs
bard	ˈbart
bardissa	bərˈðisə
bardisses	bərˈðisəs
barem	bəˈɾɛm
barems	bəˈɾɛms
bargalló	bərɣəˈʎo
baríton	bəˈɾitun
barítons	bəˈɾituns
bàrman	ˈbarmən
baró	bəˈɾo
baròmetre	bəˈɾɔmətɾə
baròmetres	bəˈɾɔmətɾəs
baronessa	bəɾuˈnɛsə
barons	bəˈɾons
barques	ˈbarkəs
barqueta	bərˈkɛtə
barra	ˈbarə
barrabassada	bərəβəˈsaðə
barraca	bəˈrakə
barracons	bərəˈkons
barra_d'estat	ˈbarəðəsˈtat
barral	bəˈral
barrals	bəˈrals
barranc	bəˈraŋ
barrancs	bəˈraŋs
barraques	bəˈrakəs
barraquisme	bərəˈkizmə
barraquistes	bərəˈkistəs
barrar	bəˈra
barrat	bəˈrat
barrats	bəˈraʦ
barregem	bərəˈʒɛm
barregen	bəˈrɛʒən
barreges	bəˈrɛʒəs
barregi	bəˈrɛʒi
barregin	bəˈrɛʒin
barreja	bəˈrɛʒə
barrejada	bərəˈʒaðə
barrejades	bərəˈʒaðəs
barrejant	bərəˈʒan
barrejar	bərəˈʒa
barrejar-ho	bərəˈʒaɾu
barrejaries	bərəʒəˈɾiəs
barrejar-les	bərəˈʒarləs
barrejar-se	bərəˈʒarsə
barrejat	bərəˈʒat
barrejats	bərəˈʒaʦ
barrejava	bərəˈʒaβə
barrejaven	bərəˈʒaβən
barrera	bəˈreɾə
barreres	bəˈreɾəs
barres	ˈbarəs
barret	bəˈrɛt
barretina	bərəˈtinə
barrets	bəˈrɛʦ
barriada	bəriˈaðə
barriades	bəriˈaðəs
barri	ˈbari
barricada	bəriˈkaðə
barricades	bəriˈkaðəs
barriejar	bəriəˈʒa
barrija-barreja	bəriʒəβəˈrɛʒə
barril	bəˈril
barrils	bəˈrils
barrinadora	bərinəˈðoɾə
barrinador	bərinəˈðo
barris	ˈbaris
barro	ˈbaru
barroca	bəˈrɔkə
barroc	bəˈrɔk
barrocs	bəˈrɔks
barroera	bəruˈeɾə
barroerament	bərueɾəˈmen
barroer	bəruˈe
barroeres	bəruˈeɾəs
barroeria	bəruəˈɾiə
barroers	bəruˈes
barroques	bəˈrɔkəs
barroquisme	bəruˈkizmə
barroquismes	bəruˈkizməs
barrots	bəˈrɔʦ
barrufet	bəruˈfɛt
barrut	bəˈrut
barruts	bəˈruʦ
bars	ˈbars
basa	ˈbazə
basà	bəˈza
basada	bəˈzaðə
basades	bəˈzaðəs
basalt	bəˈzal
basant-nos	bəˈzannus
basant-se	bəˈzansə
basarà	bəzəˈɾa
basaran	bəzəˈɾan
basar	bəˈza
basarda	bəˈzarðə
basaria	bəzəˈɾiə
basars	bəˈzas
basar-se	bəˈzarsə
basat	bəˈzat
basats	bəˈzaʦ
basava	bəˈzaβə
basaven	bəˈzaβən
basca	ˈbaskə
basc	ˈbask
basc-espanyol	baskəspəˈɲɔl
bascofrancès	baskufɾənˈsɛs
bascoparlants	baskupərˈlans
bascos	ˈbaskus
bascs	ˈbasks
bàscula	ˈbaskulə
bascula	bəsˈkulə
bascular	bəskuˈlar
bàscules	ˈbaskuləs
base	ˈbazə
base_de_dades	ˈbazəðəˈðaðəs
basem	bəˈzɛm
basen	ˈbazən
bases	ˈbazəs
basi	ˈbazi
bàsica	ˈbazikə
bàsicament	bazikəˈmen
bàsic	ˈbazik
bàsics	ˈbaziks
basílica	bəˈzilikə
basin	ˈbazin
bàsiques	ˈbazikəs
basques	ˈbaskəs
bàsquet	ˈbaskət
basquisme	bəsˈkizmə
basquista	bəsˈkistə
basquistes	bəsˈkistəs
bassa	ˈbasə
bassal	bəˈsal
basses	ˈbasəs
basta	ˈbastə
bastament	bastəˈmen
bastant	bəsˈtan
bastants	bəsˈtans
bastarda	bəsˈtarðə
bastard	bəsˈtart
bast	ˈbast
basteix	bəsˈtɛʃ
basteixen	bəsˈtɛʃən
bastida	bəsˈtiðə
bastides	bəsˈtiðəs
bastidors	bəstiˈðos
bastint	bəsˈtin
bastió	bəstiˈo
bastions	bəstiˈons
bastir	bəsˈti
bastit	bəsˈtit
bastó	bəsˈto
bastonades	bəstuˈnaðəs
bastoners	bəstuˈnes
bastonets	bəstuˈnɛʦ
bastons	bəsˈtons
bastos	ˈbastus
basura	bəˈzuɾə
bata	ˈbatə
batalla	bəˈtaʎə
batalladora	bətəʎəˈðoɾə
batallador	bətəʎəˈðo
batallar	bətəˈʎa
batallat	bətəˈʎat
batalles	bəˈtaʎəs
batalletes	bətəˈʎɛtəs
batalló	bətəˈʎo
batallons	bətəˈʎons
batasuna	bətəˈzunə
bat	ˈbat
batec	bəˈtɛk
batecs	bəˈtɛks
batedora	bətəˈðoɾə
batedores	bətəˈðoɾəs
batega	bəˈtɛɣə
bategant	bətəˈɣan
bategar	bətəˈɣa
bateguen	bəˈtɛɣən
bateig	bəˈtɛʧ
bateja	bəˈtɛʒə
batejada	bətəˈʒaðə
batejades	bətəˈʒaðəs
batejar	bətəˈʒa
batejat	bətəˈʒat
batejats	bətəˈʒaʦ
batejos	bəˈtɛʒus
baten	ˈbatən
batent	bəˈten
bateria	bətəˈɾiə
bateries	bətəˈɾiəs
batia	bəˈtiə
batibull	bətiˈβuʎ
batlle	ˈbaʎʎə
batrà	bəˈtɾa
batre	ˈbatɾə
batre'l	ˈbatɾəl
batre's	ˈbatɾəs
bats	ˈbaʦ
batuda	bəˈtuðə
batudes	bəˈtuðəs
batussa	bəˈtusə
batusses	bəˈtusəs
batuta	bəˈtutə
batut	bəˈtut
batutes	bəˈtutəs
batuts	bəˈtuʦ
batxillerat	bətʃiʎəˈɾat
batxiller	bətʃiˈʎer
batxillers	bətʃiˈʎers
batzegada	bədzəˈɣaðə
batzegades	bədzəˈɣaðəs
baula	ˈbawlə
bava	ˈbaβə
bavaresa	bəβəˈɾɛzə
bavarès	bəβəˈɾɛs
bavaresos	bəβəˈɾɛzus
bb	barˈβaðos
b	ˈbe
bbs	ˈbulətinˈβɔərˈsistem
bcc	ˈblajŋˈkarβonˈkopi
bd	bəŋgləˈðeʃ
bdg	bəŋgləˈðeʃ
bdi	buˈɾundi
beata	beˈatə
beat	beˈat
beateria	beətəˈɾiə
beatificació	beətifikəsiˈo
beatífic	beəˈtifik
bebè	bəˈβɛ
bé	ˈbe
be	ˈbe
bebès	bəˈβɛs
bebida	bəˈβiðə
beca	ˈbɛkə
becades	bəˈkaðəs
becaina	bəˈkajnə
becària	bəˈkaɾiə
becari	bəˈkaɾi
becaris	bəˈkaɾis
becat	bəˈkat
becats	bəˈkaʦ
bec	ˈbɛk
beceroles	bəsəˈɾɔləs
beduí	bəðuˈi
beduïns	bəðuˈins
befa	ˈbɛfə
beguda	bəˈɣuðə
begudes	bəˈɣuðəs
begui	ˈbɛɣi
beguis	ˈbɛɣis
begut	bəˈɣut
beguts	bəˈɣuʦ
beige	ˈbɛjʒə
beisbol	bəjzˈβɔl
beix	ˈbeʃ
bel	ˈbɛl
belcantista	bəlkənˈtistə
belga	ˈbɛlɣə
belgues	ˈbɛlɣəs
bella	ˈbeʎə
bell	ˈbeʎ
bellesa	bəˈʎɛzə
belles	ˈbeʎəs
belleses	bəˈʎɛzəs
bèl·lica	ˈbɛlikə
bèl·lic	ˈbɛlik
bel·licista	bəliˈsistə
bel·licistes	bəliˈsistəs
bel·licós	bəliˈkos
bel·licosos	bəliˈkozus
bèl·lics	ˈbɛliks
bel·ligerància	bəliʒəˈɾansiə
bel·ligerant	bəliʒəˈɾan
bel·ligerants	bəliʒəˈɾans
belliniana	beʎiniˈanə
bèl·liques	ˈbɛlikəs
bellíssima	beˈʎisimə
bellíssim	beˈʎisim
bellíssimes	beˈʎisiməs
bellíssims	beˈʎisims
bells	ˈbeʎs
belluga	bəˈʎuɣə
bellugadís	bəʎuɣəˈðis
bellugar	bəʎuˈɣa
bellugar-se	bəʎuˈɣarsə
belluguen	bəˈʎuɣən
below	biˈlow
bemoll	bəˈmɔʎ
bena	ˈbɛnə
benasquès	bənəsˈkɛs
benaurança	benəwˈɾansə
benaurats	benəwˈɾaʦ
ben	ˈben
benedicció	bənəðiksiˈo
benediccions	bənəðiksiˈons
benedictí	bənəðikˈti
benedictina	bənəðikˈtinə
benedictins	bənəðikˈtins
beneeix	bənəˈɛʃ
beneeixi	bənəˈɛʃi
benefactora	bənəfəkˈtoɾə
benefactores	bənəfəkˈtoɾəs
benefactors	bənəfəkˈtos
benèfica	bəˈnɛfikə
benèfic	bəˈnɛfik
beneficència	bənəfiˈsɛnsiə
beneficia	bənəfiˈsiə
beneficiada	bənəfisiˈaðə
beneficiades	bənəfisiˈaðəs
beneficiant	bənəfisiˈan
beneficiarà	bənəfisiəˈɾa
beneficiaran	bənəfisiəˈɾan
beneficiar	bənəfisiˈa
beneficiària	bənəfisiˈaɾiə
beneficiaria	bənəfisiəˈɾiə
beneficiari	bənəfisiˈaɾi
beneficiarien	bənəfisiəˈɾiən
beneficiaris	bənəfisiˈaɾis
beneficiar-se	bənəfisiˈarsə
beneficiat	bənəfisiˈat
beneficiats	bənəfisiˈaʦ
beneficiava	bənəfisiˈaβə
benefici	bənəˈfisi
beneficien	bənəfiˈsiən
beneficiï	bənəfiˈsii
beneficiïn	bənəfiˈsiin
beneficio	bənəfiˈsiu
beneficiosa	bənəfisiˈozə
beneficiós	bənəfisiˈos
beneficioses	bənəfisiˈozəs
beneficiosos	bənəfisiˈozus
beneficis	bənəˈfisis
benèfics	bəˈnɛfiks
benèfiques	bəˈnɛfikəs
beneïda	bənəˈiðə
beneir	bənəˈi
beneït	bənəˈit
beneit	bəˈnɛjt
beneits	bəˈnɛjʦ
benemèrit	bənəˈmɛɾit
benentès	benənˈtɛs
beneplàcit	benəˈplasit
benestant	benəsˈtan
benestants	benəsˈtans
benestar	benəsˈta
benèvola	bəˈnɛβulə
benèvol	bəˈnɛβul
benevolència	bənəβuˈlɛnsiə
benevolent	benəβuˈlɛn
bengala	bəŋˈgalə
bengales	bəŋˈgaləs
benigna	bəˈnignə
benigne	bəˈnignə
benignes	bəˈnignəs
benintencionada	benintənsiuˈnaðə
benintencionat	benintənsiuˈnat
benintencionats	benintənsiuˈnaʦ
benjamí	bənʒəˈmi
benpensant	bempənˈsan
benpensants	bempənˈsans
bens	ˈbens
béns	ˈbens
