#name Spanish
#lang spa
abad	aˈβað
homeopatía	omeopaˈtia
homérica	oˈmeɾika
homicida	omiˈθiða
homicidas	omiˈθiðas
homicidio	omiˈθiðjo
homicidios	omiˈθiðjos
homilía	omiˈlia
homínidos	oˈminiðos
homo	ˈomo
homófoba	oˈmofoβa
homofobia	omoˈfoβja
homófobo	oˈmofoβo
homogénea	omoˈxenea
homogéneas	omoˈxeneas
homogeneidad	omoxenejˈðað
homogeneización	omoxenejθaˈθjon
homogéneo	omoˈxeneo
homogéneos	omoˈxeneos
homóloga	oˈmoloɣa
homologación	omoloɣaˈθjon
homologado	omoloˈɣaðo
homologar	omoloˈɣaɾ
homólogas	oˈmoloɣas
homólogo	oˈmoloɣo
homólogos	oˈmoloɣos
homónima	oˈmonima
homónimo	oˈmonimo
homos	ˈomos
homosexual	omoseɣˈswal
homosexuales	omoseɣˈswales
homosexualidad	omoseɣswaliˈðað
honda	ˈonda
hondamente	ˈondaˈmente
hondas	ˈondas
hondo	ˈondo
hondos	ˈondos
hondura	onˈduɾa
honduras	onˈduɾas
hondureña	onduˈɾeɲa
hondureño	onduˈɾeɲo
honesta	oˈnesta
honestamente	oˈnestaˈmente
honestas	oˈnestas
honestidad	onestiˈðað
honesto	oˈnesto
honestos	oˈnestos
hongo	ˈoŋɡo
hongos	ˈoŋɡos
honor	oˈnoɾ
honorabilidad	onoɾaβiliˈðað
honorable	onoˈɾaβle
honorables	onoˈɾaβles
honorario	onoˈɾaɾjo
honorarios	onoˈɾaɾjos
honores	oˈnoɾes
honorífico	onoˈɾifiko
honra	ˈonra
honrada	onˈraða
honradamente	onˈraðaˈmente
honradas	onˈraðas
honradez	onraˈðeθ
honrado	onˈraðo
honrados	onˈraðos
honrar	onˈraɾ
honras	ˈonras
honrosa	onˈrosa
honrosas	onˈrosas
hooligans	ˈxuliɣans
hope	ˈxowp
hora	ˈoɾa
horaria	oˈɾaɾja
horarias	oˈɾaɾjas
horario	oˈɾaɾjo
horarios	oˈɾaɾjos
horas	ˈoɾas
horca	ˈoɾka
horda	ˈoɾða
hordas	ˈoɾðas
horita	oˈɾita
horitas	oˈɾitas
horizontal	oɾiθonˈtal
horizontales	oɾiθonˈtales
horizonte	oɾiˈθonte
horizontes	oɾiˈθontes
horma	ˈoɾma
hormiga	oɾˈmiɣa
hormigas	oɾˈmiɣas
hormigón	oɾmiˈɣon
hormigoneras	oɾmiɣoˈneɾas
hormigueo	oɾmiˈɣeo
hormiguero	oɾmiˈɣeɾo
hormona	oɾˈmona
hormonal	oɾmoˈnal
hormonales	oɾmoˈnales
hormonas	oɾˈmonas
hornada	oɾˈnaða
horno	ˈoɾno
hornos	ˈoɾnos
horquilla	oɾˈkiʎa
horrenda	oˈrenda
horrendo	oˈrendo
horrible	oˈriβle
horribles	oˈriβles
horripilante	oripiˈlante
horror	oˈroɾ
horrores	oˈroɾes
horroriza	oroˈɾiθa
horrorizada	oroɾiˈθaða
horrorizado	oroɾiˈθaðo
horrorizados	oroɾiˈθaðos
horrorosa	oroˈɾosa
horrorosas	oroˈɾosas
horroroso	oroˈɾoso
horrorosos	oroˈɾosos
hortalizas	oɾtaˈliθas
hortelano	oɾteˈlano
hortera	oɾˈteɾa
horterada	oɾteˈɾaða
horteradas	oɾteˈɾaðas
horteras	oɾˈteɾas
hortofrutícola	oɾtofɾuˈtikola
hosco	ˈosko
hospeda	osˈpeða
hospedaje	ospeˈðaxe
hospedar	ospeˈðaɾ
hospedería	ospeðeˈɾia
hospicio	osˈpiθjo
hospital	ospiˈtal
hospitalaria	ospitaˈlaɾja
hospitalarias	ospitaˈlaɾjas
hospitalario	ospitaˈlaɾjo
hospitalarios	ospitaˈlaɾjos
hospitales	ospiˈtales
hospitalidad	ospitaliˈðað
hospitalización	ospitaliθaˈθjon
hospitalizada	ospitaliˈθaða
hospitalizadas	ospitaliˈθaðas
hospitalizado	ospitaliˈθaðo
hospitalizados	ospitaliˈθaðos
host	ˈozð
hostal	osˈtal
hostelería	osteleˈɾia
hostelero	osteˈleɾo
hosteleros	osteˈleɾos
hostia	ˈostja
hostias	ˈostjas
hostigamiento	ostiɣaˈmjento
hostigamientos	ostiɣaˈmjentos
hostigar	ostiˈɣaɾ
hostil	osˈtil
hostiles	osˈtiles
hostilidad	ostiliˈðað
hostilidades	ostiliˈðaðes
hotel	oˈtel
hotel-aeropuerto	otelaeɾoˈpweɾto
hotel-árbol	otelˈaɾβol
hotel-base	otelˈβase
hotelera	oteˈleɾa
hoteleras	oteˈleɾas
hotelería	oteleˈɾia
hotelero	oteˈleɾo
hoteleros	oteˈleɾos
hoteles	oˈteles
hotelito	oteˈlito
house	ˈxaws
hoy	ˈoj
hoyo	ˈoʤo
hoyos	ˈoʤos
hoz	ˈoθ
hr	kɾoˈaθja
hrs.	ˈoɾas
hrv	kɾoˈaθja
hs.	ˈoɾas
ht	ajˈti
hti	ajˈti
.htm	ˈipeɾˈteksˈmaɾkˈabˈlaŋˈɡwaʧ
html	ˈipeɾˈteksˈmaɾkˈabˈlaŋˈɡwaʧ
.html	ˈipeɾˈteksˈmaɾkˈabˈlaŋˈɡwaʧ
http	ˈipeɾˈtekstɾansˈmisjomˈpɾotokol
hu	uŋˈɡɾia
hube	ˈuβe
hubiera	uˈβjeɾa
hubierais	uˈβjeɾajs
hubiéramos	uˈβjeɾamos
hubieran	uˈβjeɾan
hubieras	uˈβjeɾas
hubiere	uˈβjeɾe
hubiereis	uˈβjeɾejs
hubiéremos	uˈβjeɾemos
hubieren	uˈβjeɾen
hubieres	uˈβjeɾes
hubieron	uˈβjeɾon
hubiese	uˈβjese
hubieseis	uˈβjesejs
hubiésemos	uˈβjesemos
hubiesen	uˈβjesen
hubieses	uˈβjeses
hubimos	uˈβimos
hubiste	uˈβiste
hubisteis	uˈβistejs
hubo	ˈuβo
hucha	ˈuʧa
hueca	ˈɣweka
huecas	ˈɣwekas
hueco	ˈɣweko
huecos	ˈɣwekos
huela	ˈɣwela
huele	ˈɣwele
huelen	ˈɣwelen
hueles	ˈɣweles
huelga	ˈɣwelɣa
huelgas	ˈɣwelɣas
huelguista	ɣwelˈɣista
huelguistas	ɣwelˈɣistas
huella	ˈɣweʎa
huellas	ˈɣweʎas
huelo	ˈɣwelo
huérfana	ˈɣweɾfana
huérfano	ˈɣweɾfano
huérfanos	ˈɣweɾfanos
huerta	ˈɣweɾta
huertas	ˈɣweɾtas
huerto	ˈɣweɾto
huertos	ˈɣweɾtos
hueso	ˈɣweso
huesos	ˈɣwesos
huésped	ˈɣwespeð
huéspedes	ˈɣwespeðes
huestes	ˈɣwestes
huevecillos	ɣweβeˈθiʎos
huevo	ˈɣweβo
huevones	ɣweˈβones
huevos	ˈɣweβos
huía	uˈia
huían	uˈian
huid	ˈwið
huida	ˈwiða
huidas	ˈwiðas
huidizo	wiˈðiθo
huido	ˈwiðo
huidos	ˈwiðos
huir	ˈwiɾ
hule	ˈule
human	ˈxjuman
humana	uˈmana
humanamente	uˈmanaˈmente
humanas	uˈmanas
humanidad	umaniˈðað
humanidades	umaniˈðaðes
humanismo	umaˈnizmo
humanista	umaˈnista
humanistas	umaˈnistas
humanística	umaˈnistika
humanitaria	umaniˈtaɾja
humanitarias	umaniˈtaɾjas
humanitario	umaniˈtaɾjo
humanitarios	umaniˈtaɾjos
humaniza	umaˈniθa
humanización	umaniθaˈθjon
humanizar	umaniˈθaɾ
humano	uˈmano
humanoide	umaˈnojðe
humanoides	umaˈnojðes
humanos	uˈmanos
humareda	umaˈɾeða
humeante	umeˈante
humeantes	umeˈantes
húmeda	ˈumeða
humedad	umeˈðað
húmedas	ˈumeðas
húmedo	ˈumeðo
húmedos	ˈumeðos
humildad	umilˈdað
humilde	uˈmilde
humildemente	uˈmildeˈmente
humildes	uˈmildes
humilla	uˈmiʎa
humillación	umiʎaˈθjon
humillaciones	umiʎaˈθjones
humillada	umiˈʎaða
humillado	umiˈʎaðo
humillados	umiˈʎaðos
humillan	uˈmiʎan
humillante	umiˈʎante
humillantes	umiˈʎantes
humillar	umiˈʎaɾ
humillarse	umiˈʎaɾse
humillo	uˈmiʎo
humilló	umiˈʎo
humo	ˈumo
humor	uˈmoɾ
humorismo	umoˈɾizmo
humorista	umoˈɾista
humoristas	umoˈɾistas
humorística	umoˈɾistika
humorísticas	umoˈɾistikas
humorístico	umoˈɾistiko
humorísticos	umoˈɾistikos
humos	ˈumos
hun	uŋˈɡɾia
hunda	ˈunda
hundan	ˈundan
hunde	ˈunde
hunden	ˈunden
hundía	unˈdia
hundida	unˈdiða
hundido	unˈdiðo
hundidos	unˈdiðos
hundiendo	unˈdjendo
hundiéndose	unˈdjendose
hundieron	unˈdjeɾon
hundimiento	undiˈmjento
hundimos	unˈdimos
hundió	unˈdjo
hundir	unˈdiɾ
hundirá	undiˈɾa
hundirán	undiˈɾan
hundiréis	undiˈɾejs
hundirlo	unˈdiɾlo
hundirlos	unˈdiɾlos
hundirme	unˈdiɾme
hundirnos	unˈdiɾnos
hundirse	unˈdiɾse
húngara	ˈuŋɡaɾa
húngaro	ˈuŋɡaɾo
húngaros	ˈuŋɡaɾos
hunter	ˈxanteɾ
huracán	uɾaˈkan
huracanes	uɾaˈkanes
huraño	uˈɾaɲo
hurgar	uɾˈɣaɾ
hurgó	uɾˈɣo
huríes	uˈɾies
hurra	ˈura
hurtado	uɾˈtaðo
hurtar	uɾˈtaɾ
hurto	ˈuɾto
hurtos	ˈuɾtos
huso	ˈuso
hutus	ˈutus
huy	ˈuj
huyas	ˈuʤas
huye	ˈuʤe
huyen	ˈuʤen
huyendo	uˈʤendo
huyeron	uˈʤeɾon
huyo	ˈuʤo
huyó	uˈʤo
iba	ˈiβa
íbais	ˈiβajs
íbamos	ˈiβamos
iban	ˈiβan
ibas	ˈiβas
ibérica	iˈβeɾika
ibérico	iˈβeɾiko
ibéricos	iˈβeɾikos
iberoamericana	iβeɾoameɾiˈkana
iberoamericanas	iβeɾoameɾiˈkanas
iberoamericano	iβeɾoameɾiˈkano
iberoamericanos	iβeɾoameɾiˈkanos
iberos	iˈβeɾos
íberos	ˈiβeɾos
ibuprofen	iβuˈpɾofen
ibuprofeno	iβupɾoˈfeno
iceberg	iθeˈβeɾ
icebergs	iˈθeβeɾs
icono	iˈkono
iconoclasta	ikonoˈklasta
iconografía	ikonoɣɾaˈfia
iconográfica	ikonoˈɣɾafika
iconos	iˈkonos
icq	ˈajˈsikˈʤu
ictericia	ikteˈɾiθja
id	indoˈnesja
id.	iðentifikaˈðoɾ
íd.	ˈiðem
ida	ˈiða
idas	ˈiðas
idea	iˈðea
ideada	iðeˈaða
ideadas	iðeˈaðas
ideado	iðeˈaðo
ideados	iðeˈaðos
ideal	iðeˈal
ideales	iðeˈales
idealismo	iðeaˈlizmo
idealista	iðeaˈlista
idealistas	iðeaˈlistas
idealización	iðealiθaˈθjon
idealizada	iðealiˈθaða
idealizado	iðealiˈθaðo
idear	iðeˈaɾ
ideario	iðeˈaɾjo
ideas	iˈðeas
idees	iˈðees
ídem	ˈiðem
idéntica	iˈðentika
idénticas	iˈðentikas
idéntico	iˈðentiko
idénticos	iˈðentikos
identidad	iðentiˈðað
identidades	iðentiˈðaðes
identifica	iðentiˈfika
identificaba	iðentifiˈkaβa
identificable	iðentifiˈkaβle
identificables	iðentifiˈkaβles
identificación	iðentifikaˈθjon
identificaciones	iðentifikaˈθjones
identificada	iðentifiˈkaða
identificadas	iðentifiˈkaðas
identificado	iðentifiˈkaðo
identificador	iðentifikaˈðoɾ
identificados	iðentifiˈkaðos
identificamos	iðentifiˈkamos
identifican	iðentiˈfikan
identificar	iðentifiˈkaɾ
identificara	iðentifiˈkaɾa
identificarme	iðentifiˈkaɾme
identificarnos	iðentifiˈkaɾnos
identificaron	iðentifiˈkaɾon
identificarse	iðentifiˈkaɾse
identificarte	iðentifiˈkaɾte
identificas	iðentiˈfikas
identifico	iðentiˈfiko
identificó	iðentifiˈko
identifique	iðentiˈfike
identifiqué	iðentifiˈke
identifiquen	iðentiˈfiken
identitario	iðentiˈtaɾjo
ideó	iðeˈo
ideogramas	iðeoˈɣɾamas
ideología	iðeoloˈxia
ideologías	iðeoloˈxias
ideológica	iðeoˈloxika
ideológicamente	iðeoˈloxikaˈmente
ideológicas	iðeoˈloxikas
ideológico	iðeoˈloxiko
ideológicos	iðeoˈloxikos
ideólogo	iðeˈoloɣo
ideólogos	iðeˈoloɣos
idílica	iˈðilika
idílico	iˈðiliko
idílicos	iˈðilikos
idilio	iˈðiljo
idiocia	iˈðjoθja
idioma	iˈðjoma
idiomas	iˈðjomas
idiomática	iðjoˈmatika
idiomáticas	iðjoˈmatikas
idiomático	iðjoˈmatiko
idiomáticos	iðjoˈmatikos
idiosincrasia	iðjosiŋˈkɾasja
idiota	iˈðjota
idiotas	iˈðjotas
idioteces	iðjoˈteθes
idiotez	iðjoˈteθ
idiotizado	iðjotiˈθaðo
idiotizar	iðjotiˈθaɾ
idn	indoˈnesja
ido	ˈiðo
idolatrado	iðolaˈtɾaðo
idolatrados	iðolaˈtɾaðos
idolatran	iðoˈlatɾan
idolatrando	iðolaˈtɾando
idólatras	iˈðolatɾas
idolatría	iðolaˈtɾia
idolatro	iðoˈlatɾo
idolatró	iðolaˈtɾo
ídolo	ˈiðolo
ídolos	ˈiðolos
idónea	iˈðonea
idóneas	iˈðoneas
idoneidad	iðonejˈðað
idóneo	iˈðoneo
idóneos	iˈðoneos
idos	ˈiðos
ie	iɾˈlanda
iglesia	iˈɣlesja
iglesias	iˈɣlesjas
iglú	iˈɣlu
ignominia	iɣnoˈminja
ignominiosa	iɣnomiˈnjosa
ignominioso	iɣnomiˈnjoso
ignora	iɣˈnoɾa
ignoraba	iɣnoˈɾaβa
ignoraban	iɣnoˈɾaβan
ignorada	iɣnoˈɾaða
ignoradas	iɣnoˈɾaðas
ignorado	iɣnoˈɾaðo
ignorados	iɣnoˈɾaðos
ignoramos	iɣnoˈɾamos
ignoran	iɣˈnoɾan
ignorancia	iɣnoˈɾanθja
ignorando	iɣnoˈɾando
ignorante	iɣnoˈɾante
ignorantes	iɣnoˈɾantes
ignorar	iɣnoˈɾaɾ
ignorarla	iɣnoˈɾaɾla
ignorarle	iɣnoˈɾaɾle
ignorarles	iɣnoˈɾaɾles
ignorarlo	iɣnoˈɾaɾlo
ignoras	iɣˈnoɾas
ignore	iɣˈnoɾe
ignoremos	iɣnoˈɾemos
ignoren	iɣˈnoɾen
ignoro	iɣˈnoɾo
ignoró	iɣnoˈɾo
ignota	iɣˈnota
igual	iˈɣwal
iguala	iˈɣwala
igualaba	iɣwaˈlaβa
igualada	iɣwaˈlaða
igualadas	iɣwaˈlaðas
igualado	iɣwaˈlaðo
igualados	iɣwaˈlaðos
igualan	iˈɣwalan
igualando	iɣwaˈlando
igualar	iɣwaˈlaɾ
igualarnos	iɣwaˈlaɾnos
igualaron	iɣwaˈlaɾon
igualarse	iɣwaˈlaɾse
igualdad	iɣwalˈdað
igualen	iˈɣwalen
iguales	iˈɣwales
igualita	iɣwaˈlita
igualitaria	iɣwaliˈtaɾja
igualitario	iɣwaliˈtaɾjo
igualito	iɣwaˈlito
igualitos	iɣwaˈlitos
igualmente	iˈɣwalˈmente
igualó	iɣwaˈlo
igual_que	iˈɣwalke
iguana	iˈɣwana
iguanas	iˈɣwanas
ikastola	iˈkastola
ikastolas	iˈkastolas
ikebana	ikeˈβana
ikurriña	ikuˈriɲa
ikurriñas	ikuˈriɲas
il	israˈel
ilegal	ileˈɣal
ilegales	ileˈɣales
ilegalice	ileɣaˈliθe
ilegalicemos	ileɣaliˈθemos
ilegalicen	ileɣaˈliθen
ilegalidad	ileɣaliˈðað
ilegalidades	ileɣaliˈðaðes
ilegaliza	ileɣaˈliθa
ilegalización	ileɣaliθaˈθjon
ilegalizaciones	ileɣaliθaˈθjones
ilegalizada	ileɣaliˈθaða
ilegalizado	ileɣaliˈθaðo
ilegalizados	ileɣaliˈθaðos
ilegalizamos	ileɣaliˈθamos
ilegalizan	ileɣaˈliθan
ilegalizando	ileɣaliˈθando
ilegalizar	ileɣaliˈθaɾ
ilegalizara	ileɣaliˈθaɾa
ilegalizará	ileɣaliθaˈɾa
ilegalizaran	ileɣaliˈθaɾan
ilegalizarán	ileɣaliθaˈɾan
ilegalizaría	ileɣaliθaˈɾia
ilegalizarles	ileɣaliˈθaɾles
ilegalizarlo	ileɣaliˈθaɾlo
ilegalizarlos	ileɣaliˈθaɾlos
ilegalizaron	ileɣaliˈθaɾon
ilegalizarse	ileɣaliˈθaɾse
ilegalizas	ileɣaˈliθas
ilegalizó	ileɣaliˈθo
ilegalmente	ileˈɣalˈmente
ilegítima	ileˈxitima
ilegitimar	ilexitiˈmaɾ
ilegítimo	ileˈxitimo
ilerdense	ileɾˈðense
ileso	iˈleso
ilesos	iˈlesos
iletrada	ileˈtɾaða
iletrado	ileˈtɾaðo
iletrados	ileˈtɾaðos
ilícita	iˈliθita
ilicitano	iliθiˈtano
ilícitas	iˈliθitas
ilícito	iˈliθito
ilícitos	iˈliθitos
ilimitada	ilimiˈtaða
ilimitadas	ilimiˈtaðas
ilimitado	ilimiˈtaðo
ilimitados	ilimiˈtaðos
ilógica	iˈloxika
ilógico	iˈloxiko
ilota	iˈlota
ilumina	iluˈmina
iluminación	iluminaˈθjon
iluminaciones	iluminaˈθjones
iluminada	ilumiˈnaða
iluminadas	ilumiˈnaðas
iluminado	ilumiˈnaðo
iluminador	iluminaˈðoɾ
iluminados	ilumiˈnaðos
ilumíname	iluˈminame
iluminan	iluˈminan
iluminando	ilumiˈnando
ilumínanos	iluˈminanos
iluminar	ilumiˈnaɾ
ilumine	iluˈmine
iluminó	ilumiˈno
ilusa	iˈlusa
ilusas	iˈlusas
ilusión	iluˈsjon
ilusiona	iluˈsjona
ilusionada	ilusjoˈnaða
ilusionado	ilusjoˈnaðo
ilusionados	ilusjoˈnaðos
ilusionante	ilusjoˈnante
ilusionar	ilusjoˈnaɾ
ilusionarse	ilusjoˈnaɾse
ilusiones	iluˈsjones
ilusionista	ilusjoˈnista
iluso	iˈluso
ilusos	iˈlusos
ilustra	iˈlustɾa
ilustración	ilustɾaˈθjon
ilustraciones	ilustɾaˈθjones
ilustrada	ilusˈtɾaða
ilustradas	ilusˈtɾaðas
ilustrado	ilusˈtɾaðo
ilustrador	ilustɾaˈðoɾ
ilustradores	ilustɾaˈðoɾes
ilustrados	ilusˈtɾaðos
ilústrame	iˈlustɾame
ilustran	iˈlustɾan
ilústranos	iˈlustɾanos
ilustrar	ilusˈtɾaɾ
ilustrativa	ilustɾaˈtiβa
ilustrativo	ilustɾaˈtiβo
ilustre	iˈlustɾe
ilustres	iˈlustɾes
ilustró	ilusˈtɾo
imagen	iˈmaxen
imágenes	iˈmaxenes
imagina	imaˈxina
imaginaba	imaxiˈnaβa
imaginable	imaxiˈnaβle
imaginables	imaxiˈnaβles
imaginación	imaxinaˈθjon
imaginaciones	imaxinaˈθjones
imaginad	imaxiˈnað
imaginada	imaxiˈnaða
imaginado	imaxiˈnaðo
imagináis	imaxiˈnajs
imaginamos	imaxiˈnamos
imaginan	imaˈxinan
imaginando	imaxiˈnando
imaginar	imaxiˈnaɾ
imaginaria	imaxiˈnaɾja
imaginaría	imaxinaˈɾia
imaginarias	imaxiˈnaɾjas
imaginario	imaxiˈnaɾjo
imaginarios	imaxiˈnaɾjos
imaginarlo	imaxiˈnaɾlo
imaginarme	imaxiˈnaɾme
imaginaros	imaxiˈnaɾos
imaginarse	imaxiˈnaɾse
imaginarte	imaxiˈnaɾte
imaginas	imaˈxinas
imaginate	imaxiˈnate
imagínate	imaˈxinate
imaginativa	imaxinaˈtiβa
imaginativas	imaxinaˈtiβas
imaginativo	imaxinaˈtiβo
imaginativos	imaxinaˈtiβos
imagine	imaˈxine
imaginé	imaxiˈne
imaginemos	imaxiˈnemos
imaginen	imaˈxinen
imagínense	imaˈxinense
imaginería	imaxineˈɾia
imagino	imaˈxino
imaginó	imaxiˈno
imam	iˈmam
imán	iˈman
imanes	iˈmanes
imbatibilidad	imbatiβiliˈðað
imbatible	imbaˈtiβle
imbatibles	imbaˈtiβles
imbatido	imbaˈtiðo
imbécil	imˈbeθil
imbéciles	imˈbeθiles
imbecilidad	imbeθiliˈðað
imbecilidades	imbeθiliˈðaðes
imberbe	imˈbeɾβe
imberbes	imˈbeɾβes
imborrable	imboˈraβle
imipramina	imipɾaˈmina
imita	iˈmita
imitaba	imiˈtaβa
imitación	imitaˈθjon
imitaciones	imitaˈθjones
imitado	imiˈtaðo
imitador	imitaˈðoɾ
imitadoras	imitaˈðoɾas
imitadores	imitaˈðoɾes
imitan	iˈmitan
imitando	imiˈtando
imitar	imiˈtaɾ
imitarlos	imiˈtaɾlos
imitarme	imiˈtaɾme
imiten	iˈmiten
impaciencia	impaˈθjenθja
impaciente	impaˈθjente
impacientes	impaˈθjentes
impacta	imˈpakta
impactado	impakˈtaðo
impactante	impakˈtante
impactantes	impakˈtantes
impactar	impakˈtaɾ
impactaron	impakˈtaɾon
impacto	imˈpakto
impactó	impakˈto
impactos	imˈpaktos
impagable	impaˈɣaβle
impagables	impaˈɣaβles
impagados	impaˈɣaðos
impago	imˈpaɣo
impagos	imˈpaɣos
impar	imˈpaɾ
imparable	impaˈɾaβle
imparables	impaˈɾaβles
imparcial	impaɾˈθjal
imparciales	impaɾˈθjales
imparcialidad	impaɾθjaliˈðað
imparta	imˈpaɾta
impartan	imˈpaɾtan
imparte	imˈpaɾte
imparten	imˈpaɾten
impartía	impaɾˈtia
impartida	impaɾˈtiða
impartido	impaɾˈtiðo
impartiendo	impaɾˈtjendo
impartió	impaɾˈtjo
impartir	impaɾˈtiɾ
impartirá	impaɾtiˈɾa
impartirán	impaɾtiˈɾan
impartirla	impaɾˈtiɾla
impartirse	impaɾˈtiɾse
impasible	impaˈsiβle
impasibles	impaˈsiβles
impasse	imˈpas
impávido	imˈpaβiðo
impeachment	impeaʧˈmend
impecable	impeˈkaβle
impecablemente	impeˈkaβleˈmente
impecables	impeˈkaβles
impedía	impeˈðia
impedían	impeˈðian
impedido	impeˈðiðo
impedimento	impeðiˈmento
impedimentos	impeðiˈmentos
impedir	impeˈðiɾ
impedirá	impeðiˈɾa
impedirán	impeðiˈɾan
impediría	impeðiˈɾia
impedirle	impeˈðiɾle
impedirlo	impeˈðiɾlo
impenetrable	impeneˈtɾaβle
impenitente	impeniˈtente
impenitentes	impeniˈtentes
impensable	impenˈsaβle
impensables	impenˈsaβles
impera	imˈpeɾa
imperan	imˈpeɾan
imperando	impeˈɾando
imperante	impeˈɾante
imperantes	impeˈɾantes
imperativo	impeɾaˈtiβo
imperceptible	impeɾθepˈtiβle
imperdonable	impeɾðoˈnaβle
imperdonables	impeɾðoˈnaβles
impere	imˈpeɾe
imperecedera	impeɾeθeˈðeɾa
imperecedero	impeɾeθeˈðeɾo
imperecederos	impeɾeθeˈðeɾos
imperfección	impeɾfekˈθjon
imperfecciones	impeɾfekˈθjones
imperfecta	impeɾˈfekta
imperfecto	impeɾˈfekto
imperial	impeˈɾjal
imperiales	impeˈɾjales
imperialismo	impeɾjaˈlizmo
imperialista	impeɾjaˈlista
imperialistas	impeɾjaˈlistas
impericia	impeˈɾiθja
imperio	imˈpeɾjo
imperios	imˈpeɾjos
imperiosa	impeˈɾjosa
imperiosamente	impeˈɾjosaˈmente
impermeable	impeɾmeˈaβle
impersonal	impeɾsoˈnal
impertérrito	impeɾˈterito
impertinente	impeɾtiˈnente
impertinentes	impeɾtiˈnentes
imperturbable	impeɾtuɾˈβaβle
ímpetu	ˈimpetu
impetuosa	impeˈtwosa
impetuoso	impeˈtwoso
impetuosos	impeˈtwosos
ímpetus	ˈimpetus
impida	imˈpiða
impidan	imˈpiðan
impide	imˈpiðe
impiden	imˈpiðen
impidiendo	impiˈðjendo
impidiera	impiˈðjeɾa
impidieron	impiˈðjeɾon
impidió	impiˈðjo
impíos	imˈpios
implacable	implaˈkaβle
implacablemente	implaˈkaβleˈmente
implacables	implaˈkaβles
implanta	imˈplanta
implantación	implantaˈθjon
implantada	implanˈtaða
implantado	implanˈtaðo
implantados	implanˈtaðos
implantan	imˈplantan
implantando	implanˈtando
implantar	implanˈtaɾ
implante	imˈplante
implantes	imˈplantes
implantó	implanˈto
implementación	implementaˈθjon
implementar	implemenˈtaɾ
implementó	implemenˈto
implica	imˈplika
implicaba	impliˈkaβa
implicación	implikaˈθjon
implicaciones	implikaˈθjones
implicada	impliˈkaða
implicadas	impliˈkaðas
implicado	impliˈkaðo
implicados	impliˈkaðos
implican	imˈplikan
implicando	impliˈkando
implicar	impliˈkaɾ
implicará	implikaˈɾa
implicaría	implikaˈɾia
implicarnos	impliˈkaɾnos
implicarse	impliˈkaɾse
implícita	imˈpliθita
implícitamente	imˈpliθitaˈmente
implícitas	imˈpliθitas
implícito	imˈpliθito
implícitos	imˈpliθitos
implicó	impliˈko
implique	imˈplike
impliquen	imˈpliken
impoluta	impoˈluta
impoluto	impoˈluto
impolutos	impoˈlutos
imponderables	impondeˈɾaβles
impondrá	imponˈdɾa
impondrán	imponˈdɾan
impondría	imponˈdɾia
impone	imˈpone
imponemos	impoˈnemos
imponen	imˈponen
imponente	impoˈnente
imponentes	impoˈnentes
imponer	impoˈneɾ
imponerla	impoˈneɾla
imponerle	impoˈneɾle
imponerlo	impoˈneɾlo
imponerme	impoˈneɾme
imponernos	impoˈneɾnos
imponerse	impoˈneɾse
impones	imˈpones
imponga	imˈpoŋɡa
impongan	imˈpoŋɡan
impongas	imˈpoŋɡas
imponía	impoˈnia
imponían	impoˈnian
imponible	impoˈniβle
imponiendo	impoˈnjendo
imponiéndose	impoˈnjendose
impopular	impopuˈlaɾ
impopulares	impopuˈlaɾes
impopularidad	impopulaɾiˈðað
importa	imˈpoɾta
importaba	impoɾˈtaβa
importaban	impoɾˈtaβan
importación	impoɾtaˈθjon
importaciones	impoɾtaˈθjones
importada	impoɾˈtaða
importado	impoɾˈtaðo
importador	impoɾtaˈðoɾ
importadores	impoɾtaˈðoɾes
importados	impoɾˈtaðos
importamos	impoɾˈtamos
importan	imˈpoɾtan
importancia	impoɾˈtanθja
importando	impoɾˈtando
importante	impoɾˈtante
importantes	impoɾˈtantes
importantísima	impoɾtanˈtisima
importantísimas	impoɾtanˈtisimas
importantísimo	impoɾtanˈtisimo
importar	impoɾˈtaɾ
importara	impoɾˈtaɾa
importará	impoɾtaˈɾa
importaría	impoɾtaˈɾia
importarías	impoɾtaˈɾias
importarle	impoɾˈtaɾle
importarles	impoɾˈtaɾles
importe	imˈpoɾte
importen	imˈpoɾten
importes	imˈpoɾtes
importo	imˈpoɾto
importó	impoɾˈto
imposibilidad	imposiβiliˈðað
imposibilita	imposiβiˈlita
imposible	impoˈsiβle
imposibles	impoˈsiβles
imposición	imposiˈθjon
imposiciones	imposiˈθjones
impositiva	imposiˈtiβa
impositivas	imposiˈtiβas
impositivo	imposiˈtiβo
impositivos	imposiˈtiβos
impositores	imposiˈtoɾes
impostado	imposˈtaðo
impostor	imposˈtoɾ
impostores	imposˈtoɾes
impostura	imposˈtuɾa
imposturas	imposˈtuɾas
impotencia	impoˈtenθja
impotente	impoˈtente
impotentes	impoˈtentes
impracticable	impɾaktiˈkaβle
imprecisa	impɾeˈθisa
imprecisión	impɾeθiˈsjon
imprecisiones	impɾeθiˈsjones
impreciso	impɾeˈθiso
impredecible	impɾeðeˈθiβle
impredecibles	impɾeðeˈθiβles
impregna	imˈpɾeɣna
impregnada	impɾeɣˈnaða
impregnado	impɾeɣˈnaðo
impregnados	impɾeɣˈnaðos
impregnan	imˈpɾeɣnan
impregnar	impɾeɣˈnaɾ
impregnó	impɾeɣˈno
imprenta	imˈpɾenta
