A	ʔaː
Liberalisierungen	libəʀaliˈziːʀʊŋən
Liberalismus	libəʀaˈlɪsmʊs
Liberalität	libəʀaliˈtɛːt
Liberation	libəʀaˈʦjoːn
Liberia	liˈbeːʀiaː
Libero	liːbəʀoː
Libertin	libɛʀˈtɛ̃ː
Libertinage	libɛʀtiˈnaːʒə
Libertinagen	libɛʀtiˈnaːʒən
Libertiner	libɛʀˈtiːnəʀ
Libertins	libɛʀˈtɛ̃ːs
Liberty	lɪbəʀtɪ
Libertät	libɛʀˈtɛːt
Liberté	libɛʀˈteː
Libidinist	libidiˈnɪst
Libidinisten	libidiˈnɪstən
Libido	liˈbiːdoː
Libra	liːbʀaː
Library	laɪbʀiː
Libration	libʀaˈʦjoːn
Libretti	liˈbʀɛtiː
Librettist	libʀɛˈtɪst
Librettisten	libʀɛˈtɪstən
Libretto	liˈbʀɛtoː
Librettos	liˈbʀɛtoːs
Libreville	libʀəˈviːl
Liburner	liˈbʊʀnəʀ
Libussa	liˈbʊsaː
Libyen	liːbjən
Libyer	liːbjəʀ
Libyerin	liːbjəʀɪn
Lichenologie	lɪçenoloˈgiː
Licht	lɪçt
Lichtbehandlung	lɪçtbəˌhantlʊŋ
Lichtbehandlungen	lɪçtbəˌhantlʊŋən
Lichtchen	lɪçtçən
Lichtchens	lɪçtçəns
Lichtmeß	lɪçtˌmɛs
Lichtung	lɪçtʊŋ
Lichtungen	lɪçtʊŋən
Licinius	liˈʦiːnjʊs
Lid	liːt
Lide	liːdə
Lider	liːdəʀ
Lidern	liːdəʀn
Lides	liːdəs
Lidia	liːdiaː
Lids	liːʦ
Lieb	liːp
Liebchen	liːpçən
Liebchens	liːpçəns
Liebelei	liːbəˈlaɪ
Liebeleien	liːbəˈlaɪən
Liebende	liːbəndə
Liebesbote	liːbəsˌboːtə
Liebesboten	liːbəsˌboːtən
Liebfrauenkirche	liːpˈfʀaʊənˌkɪʀçə
Liebfrauenkirchen	liːpˈfʀaʊənˌkɪʀçən
Liebfrauenmilch	liːpˈfʀaʊənˌmɪlç
Liebhaberei	liːphaːbəˈʀaɪ
Liebhabereien	liːphaːbəˈʀaɪən
Liebhaberin	liːpˌhaːbəʀɪn
Liebhaberpreis	liːpˌhaːbəʀˌpʀaɪs
Liebhaberpreise	liːpˌhaːbəʀˌpʀaɪzə
Liebhaberpreisen	liːpˌhaːbəʀˌpʀaɪzən
Liebhaberpreises	liːpˌhaːbəʀˌpʀaɪzəs
Liebhaberwert	liːpˌhaːbəʀˌveːʀt
Liebhaberwerte	liːpˌhaːbəʀˌveːʀtə
Liebhaberwerten	liːpˌhaːbəʀˌveːʀtən
Liebhaberwertes	liːpˌhaːbəʀˌveːʀtəs
Liebhaberwerts	liːpˌhaːbəʀˌveːʀʦ
Liebig	liːbɪç
Liebknecht	liːpknɛçt
Liebkosung	liːpˈkozʊŋ
Liebkosungen	liːpˈkoːzʊŋən
Lieblichkeit	liːplɪçkaɪt
Liebling	liːplɪŋ
Lieblinge	liːplɪŋə
Lieblingen	liːplɪŋən
Lieblings	liːplɪŋs
Lieblingskind	liːblɪŋsˌkɪnt
Lieblingskinde	liːblɪŋsˌkɪndə
Lieblingskinder	liːblɪŋsˌkɪndəʀ
Lieblingskindern	liːblɪŋsˌkɪndəʀn
Lieblingskindes	liːblɪŋsˌkɪndəs
Lieblingskinds	liːblɪŋsˌkɪnʦ
Lieblosigkeit	liːploːzɪçkaɪt
Liechtenstein	lɪçtənʃtaɪn
Liechtensteiner	lɪçtənʃtaɪnəʀ
Liechtensteinerin	lɪçtənʃtaɪnəʀɪn
Lied	liːt
Liedchen	liːtçən
Liedchens	liːtçəns
Liede	liːdə
Lieder	liːdəʀ
Liederjan	liːdəʀˌjaːn
Liederjane	liːdəʀˌjaːnə
Liederjanen	liːdəʀˌjaːnən
Liederjanes	liːdəʀˌjaːnəs
Liederjans	liːdəʀˌjaːns
Liederlichkeit	liːdəʀlɪçkaɪt
Liedermacherin	liːdəʀˌmaxəʀɪn
Liedern	liːdəʀn
Liedes	liːdəs
Lieds	liːʦ
Liefer	liːfəʀ
Lieferant	lifəˈʀant
Lieferanten	lifəˈʀantən
Lieferer	liːfəʀəʀ
Lieferern	liːfəʀəʀn
Lieferers	liːfəʀəʀs
Lieferung	liːfəʀʊŋ
Lieferungen	liːfəʀʊŋən
Lieferwagen	liːfəʀˌvaːgən
Lieferwagens	liːfəʀˌvaːgəns
Lieferzeit	liːfəʀˌʦaɪt
Liege	liːgə
Liesbeth	liːsbɛt
Lieschen	liːsçən
Lieselott	liːzəlɔt
Lieselotte	liːzəlɔtə
Lifar	liˈfaːʀ
Life	laɪf
Lift	lɪft
Lifte	lɪftə
Liften	lɪftən
Liftes	lɪftəs
Lifts	lɪfʦ
Liga	liːgaː
Ligade	liˈgaːdə
Ligaden	liˈgaːdən
Ligament	ligaˈmɛnt
Ligamente	ligaˈmɛntə
Ligamenten	ligaˈmɛntən
Ligamentes	ligaˈmɛntəs
Ligaments	ligaˈmɛnʦ
Ligarius	liˈgaːʀiʊs
Ligatur	ligaˈtuːʀ
Ligaturen	ligaˈtuːʀən
Ligen	liːgən
Ligist	liˈgɪst
Ligurien	liˈguːʀiən
Liguster	liˈgʊstəʀ
Ligustern	liˈgʊstəʀn
Ligusters	liˈgʊstəʀs
Ligusterschwärmer	lɪˈgʊstəʀˌʃvɛʀməʀ
Liierung	liˈʔiːʀʊŋ
Liierungen	liˈʔiːʀʊŋən
Liktor	lɪktoːʀ
Liktoren	lɪkˈtoːʀən
Likör	liˈkøːʀ
Likörservice	liˈkøːʀzɛʀˌviːs
Lila	liːlaː
Lilak	liːlak
Lilaks	liːlaks
Lilie	liːljə
Lilien	liːljən
Liliencron	liːljənkʀoːn
Liliput	liːlipʊt
Liliputaner	lilipuˈtaːnəʀ
Liliputanerin	lilipuˈtaːnəʀɪn
Liliputanern	lilipuˈtaːnəʀn
Liliputaners	lilipuˈtaːnəʀs
Liliputs	liːlipʊʦ
Lille	lɪl
Lilli	lɪliː
Lilly	lɪliː
Lilo	liːloː
Limburg	lɪmbʊʀk
Limburger	lɪmbʊʀgəʀ
Limbus	lɪmbʊs
Limerick	lɪməʀɪk
Limericks	lɪməʀɪks
Limes	liːməs
Limette	liˈmɛtə
Limit	lɪmɪt
Limitation	limitaˈʦjoːn
Limitationen	limitaˈʦjoːnən
Limite	lɪmɪtə
Limiten	lɪmɪtən
Limits	lɪmɪʦ
Limmat	lɪmat
Limnologie	lɪmnoloˈgiː
Limo	limoː
Limonade	limoˈnaːdə
Limonaden	limoˈnaːdən
Limone	liˈmoːnə
Limonen	liˈmoːnən
Limousine	limuˈziːnə
Limousinen	limuˈziːnən
Limpopo	lɪmˈpoːpoː
Lina	liːnaː
Linaloeöl	liˈnaːloeˌʔøːl
Linalool	linaloˈʔoːl
Lincke	lɪŋkə
Lincoln	lɪŋkəln
Lincos	lɪŋkɔs
Linda	lɪndaː
Lindau	lɪndaʊ
Linde	lɪndə
Linden	lɪndən
Linderung	lɪndəʀʊŋ
Lindgren	lɪntgʀeːn
Lindoro	lɪnˈdoːʀoː
Line	laɪn
Lineal	lineˈaːl
Lineament	lineaˈmɛnt
Lineatur	lineaˈtuːʀ
Lineaturen	lineaˈtuːʀən
Liner	laɪnəʀ
Lingerie	lɛ̃ʒəˈʀiː
Lingerien	lɛ̃ʒəˈʀiːən
Lingner	lɪŋnəʀ
Lingua	lɪŋgɥaː
Lingual	lɪŋˈgɥaːl
Linguallaut	lɪŋˈɥaːlˌlaʊt
Linguallaute	lɪŋˈɥaːlˌlaʊtə
Linguallauten	lɪŋˈɥaːlˌlaʊtən
Linguallautes	lɪŋˈɥaːlˌlaʊtəs
Linguallauts	lɪŋˈɥaːlˌlaʊʦ
Linguathek	lɪŋgɥaˈteːk
Linguist	lɪŋˈgɥɪst
Linguisten	lɪŋˈgɥɪstən
Linguistik	lɪŋˈgɥɪstɪk
Linguistiken	lɪŋˈgɥɪstɪkən
Linie	liːnjə
Linien	liːnjən
Liniermaschine	liˈniːʀmaˌʃiːnə
Liniermaschinen	liˈniːʀmaˌʃiːnən
Linierung	liˈniːʀʊŋ
Linierungen	liˈniːʀʊŋən
Liniment	liniˈmɛnt
Linimente	liniˈmɛntə
Linimenten	liniˈmɛntən
Linimentes	liniˈmɛntəs
Liniments	liniˈmɛnʦ
Linke	lɪŋkə
Linkshändigkeit	lɪŋksˌhɛndɪçkaɪt
Linkskurve	lɪŋksˌkʊʀvə
Linkskurven	lɪŋksˌkʊʀvən
Linksradikalismus	lɪŋksʀadikaˌlɪsmʊs
Linksruck	lɪŋksˌʀʊk
Linné	lɪˈneː
Linnen	lɪnən
Linné	lɪˈneː
Linoleum	liˈnoːleʊm
Linoleums	liˈnoːleʊms
Linolschnitt	liˈnoːlˌʃnɪt
Linolschnitte	liˈnoːlˌʃnɪtə
Linolschnitten	liˈnoːlˌʃnɪtən
Linolschnittes	liˈnoːlˌʃnɪtəs
Linolschnitts	liˈnoːlˌʃnɪʦ
Linon	lɪnɔŋ
Linos	liːnɔs
Linotype	laɪnotaɪp
Linoxyn	linɔkˈsyːn
Linse	lɪnzə
Linsen	lɪnzən
Linux	liːnʊks
Lipid	liˈpiːt
Lipom	liˈpoːm
Lipomatose	lipomaˈtoːzə
Lipomatosen	lipomaˈtoːzən
Lipome	liˈpoːmə
Lipomen	liˈpoːmən
Lipomes	liˈpoːməs
Lipoms	liˈpoːms
Lippe	lɪpə
Lippen	lɪpən
Lippenblütler	lɪpənblyːtləʀ
Lipsi	lɪpsiː
Liptauer	lɪptaʊəʀ
Lipurie	lɪpuˈʀiː
Liquefaktion	likvefakˈʦjoːn
Liquefaktionen	likvefakˈʦjoːnən
Liqueszenz	likvɛsˈʦɛnʦ
Liquida	liːkvidaː
Liquidae	liːkvidɛː
Liquidation	likvidaˈʦjoːn
Liquidationen	likvidaˈʦjoːnən
Liquidator	likviˈdaːtoːʀ
Liquidatoren	likviˈdaːtoːʀən
Liquidators	likviˈdaːtoːʀs
Liquidierung	likviˈdiːʀʊŋ
Liquidierungen	likviˈdiːʀʊŋən
Liquidität	likvidiˈtɛːt
Liquor	liːkvoːʀ
Liquoren	liˈkvoːʀən
Liquores	liːkvoːʀəs
Lira	liːʀaː
Liren	liːʀən
Lisa	liːzaː
Lisbeth	liːsbɛt
Liselotte	liːzəlɔtə
Lissabon	lɪsabɔn
List	lɪst
Liste	lɪstə
Listen	lɪstən
Listigkeit	lɪstɪçkaɪt
Liszt	lɪst
Litanei	litaˈnaɪ
Litaneien	litaˈnaɪən
Litauen	liːtaʊən
Litauer	liːtaʊəʀ
Litauerin	liːtaʊəʀɪn
Liter	liːtəʀ
Litera	lɪteʀaː
Literae	lɪteʀɛː
Literarhistoriker	lɪtəˈʀaːʀhɪsˌtoːʀikəʀ
Literas	lɪteʀaːs
Literat	lɪtəˈʀaːt
Literaten	lɪtəˈʀaːtən
Literatur	lɪtəʀaˈtuːʀ
Literaturen	lɪtəʀaˈtuːʀən
Litern	liːtəʀn
Liters	liːtəʀs
Litewka	liˈtɛfkaː
Litewken	liˈtɛfkən
Litfaßsäule	lɪtfaszɔɪlə
Litfaßsäulen	lɪtfaszɔɪlən
Lithiasen	liˈtiːazən
Lithiasis	liˈtiːazɪs
Lithium	liːʦiʊm
Lithiums	liːʦiʊms
Lithofazies	liːtofaːtsjɛs
Lithograph	litoˈgʀaːf
Lithographen	litoˈgʀaːfən
Lithographie	litogʀaˈfiː
Lithographien	litogʀaˈfiːən
Litoral	litoˈʀaːl
Liturgie	litʊʀˈgiː
Liturgien	litʊʀˈgiːən
Liturgik	liˈtʊʀgɪk
Litze	lɪʦə
Live	laɪf
Liver	lɪvəʀ
Livia	liːvjaː
Livietta	liˈvjɛtaː
Livree	liˈvʀeː
Livreen	liˈvʀeːən
Liwan	liˈvaːn
Lizentiat	liʦɛnˈʦjaːt
Lizentiaten	liʦɛnˈʦjaːtən
Lizenz	liˈʦɛnʦ
Lizenzen	liˈʦɛnʦən
Lizitation	liʦitaˈʦjoːn
Llano	ljaːnoː
Lloyd	lɔɪt
Load	loːt
Loango	loˈaŋgoː
Lob	loːp
Lobau	loˈbaʊ
Lobby	lɔbiː
Lobbyismus	lɔbiˈʔɪsmʊs
Lobbyist	lɔbiˈʔɪst
Lobbyisten	lɔbiˈʔɪstən
Lobbys	lɔbiːs
Lobe	loːbə
Lobelie	loˈbeːljə
Lobelin	lobeˈliːn
Loben	loːbən
Lobes	loːbəs
Lobito	loˈbiːtoː
Lobotomie	lobotoˈmiː
Lobotomien	lobotoˈmiːən
Lobpreisung	loːpˌpʀaɪzʊŋ
Lobpreisungen	loːpˌpʀaɪzʊŋən
Lobrede	loːbˌʀeːdə
Lobreden	loːbˌʀeːdən
Lobredner	loːbˌʀeːtnəʀ
Lobs	loːps
Locarno	loˈkaʀnoː
Loch	lɔx
Loche	lɔxə
Locher	lɔxəʀ
Lochern	lɔxəʀn
Lochers	lɔxəʀs
Loches	lɔxəs
Lochs	lɔxs
Lochstickerei	lɔkʃtɪkəˈʀaɪ
Lochstickereien	lɔkʃtɪkəˈʀaɪən
Lochung	lɔxʊŋ
Lochungen	lɔxʊŋən
Locke	lɔkə
Locken	lɔkən
Locker	lɔkəʀ
Lockerung	lɔkəʀʊŋ
Lockerungen	lɔkəʀʊŋən
Lockmittel	lɔkˌmɪtəl
Lockmitteln	lɔkˌmɪtəln
Lockmittels	lɔkˌmɪtəls
Lockout	lɔkˈaʊt
Lockruf	lɔkˌʀuːf
Lockrufe	lɔkˌʀuːfə
Lockrufen	lɔkˌʀuːfən
Lockrufes	lɔkˌʀuːfəs
Lockrufs	lɔkˌʀuːfs
Lockspeise	lɔkˌʃpaɪzə
Lockung	lɔkʊŋ
Lockungen	lɔkʊŋən
Lockvogel	lɔkˌfoːgəl
Lockvogels	lɔkˌfoːgəls
Lockwelle	lɔkˌvɛlə
Loden	loːdən
Log	lɔk
Logarithmentafel	logaˈʀɪtməntaːfəl
Logarithmentafeln	logaˈʀɪtməntaːfəln
Logarithmus	logaˈʀɪtmʊs
Logasthenie	lɔkʔasteˈniː
Logatom	logaˈtoːm
Loge	loːgə
Logement	loʒəˈmɑ̃ː
Logements	loʒəˈmɑ̃ːs
Logen	loːʒən
Loges	lɔgəs
Logge	lɔgə
Loggen	lɔgən
Logger	lɔgəʀ
Loggia	lɔʤaː
Logging	lɔgɪŋ
Logierbesuch	loˈʒiːʀbəˌzuːx
Logierbesuche	loˈʒiːʀbəˌzuːxə
Logierbesuchen	loˈʒiːʀbəˌzuːxən
Logierbesuches	loˈʒiːʀbəˌzuːxəs
Logierbesuchs	loˈʒiːʀbəˌzuːxs
Logiergast	loˈʒiːʀˌgast
Logiergaste	loˈʒiːʀˌgastə
Logiergastes	loˈʒiːʀˌgastəs
Logiergasts	loˈʒiːʀˌgasʦ
Logik	loːgɪk
Logiker	loːgikəʀ
Logis	loˈʒiː
Logismus	loˈgɪsmʊs
Logistik	loˈgɪstɪk
Logistiker	loˈgɪstikəʀ
Logistikern	loˈgɪstɪkəʀn
Logistikers	loˈgɪstɪkəʀs
Logopäde	logoˈpɛːdə
Logopädie	logopɛˈdiː
Logos	lɔgɔs
Logs	lɔks
Lohe	loːə
Lohen	loːən
Lohengrin	loːəngʀiːn
Lohgerber	loːˌgɛʀbəʀ
Lohn	loːn
Lohne	loːnə
Lohnes	loːnəs
Lohns	loːns
Lohnvereinbarung	loːnfɛʀˌʔaɪnbaʀʊŋ
Loipe	lɔɪpə
Lok	lɔk
Lokal	loˈkaːl
Lokalisation	loːkalizaˈʦjoːn
Lokalisationen	loːkalizaˈʦjoːnən
Lokalisierung	lokaliˈziːʀʊŋ
Lokalisierungen	lokaliˈziːʀʊŋən
Lokalität	lokaliˈtɛːt
Lokalitäten	lokaliˈtɛːtən
Lokalpatriotismus	loˈkaːlpatʀjoˌtɪsmʊs
Lokation	lokaˈʦjoːn
Lokationen	lokaˈʦjoːnən
Lokativ	loːkatiːf
Lokative	loːkatiːvə
Lokativen	loːkatiːvən
Lokativs	loːkatiːfs
Lokomotion	lokomoˈʦjoːn
Lokomotionen	lokomoˈʦjoːnən
Lokomotive	lokomoˈtiːvə
Lokomotiven	lokomoˈtiːvən
Lokomotivführer	lokomoˈtiːfˌfyːʀəʀ
Loks	lɔks
Lokus	lɔkuːs
Lokusse	lɔkuːsə
Lokussen	lɔkuːsən
Lokusses	lɔkuːsəs
Lombard	lɔmˈbaʀt
Lombarde	lɔmˈbaʀdə
Lombardei	lɔmbaʀˈdaɪ
Lombarden	lɔmˈbaʀdən
Lombardes	lɔmˈbaʀdəs
Lombards	lɔmˈbaʀʦ
Lome	loːmeː
Lompenzucker	lɔmpənʦʊkəʀ
London	lɔndɔn
Long	lɔŋ
Longa	lɔŋgaː
Longaville	lɔŋgaviːl
Longdrink	lɔŋdʀɪŋk
Longe	lɔ̃ːʒə
Longen	lɔ̃ːʒən
Longimetrie	lɔŋgimeˈtʀiː
Longos	lɔŋgɔs
Longseller	lɔŋsɛləʀ
Loni	loːniː
Look	lʊk
Loop	luːp
Looping	luːpɪŋ
Lorbaß	lɔʀbas
Lorbeer	lɔʀbeːʀ
Lorbeeren	lɔʀbeːʀən
Lorbeers	lɔʀbeːʀs
Lorchel	lɔʀçəl
Lord	lɔʀt
Lordose	lɔʀˈdoːzə
Lordosen	lɔʀˈdoːzən
Lords	lɔʀʦ
Lordship	lɔːdʃɪp
Lore	loːʀə
Loredan	loːʀedan
Lorelei	loːʀəˈlaɪ
Lorenz	loːʀɛnʦ
Lorenzo	loˈʀɛnʦoː
Loreto	loˈʀeːtoː
Lorettohöhe	loˈʀɛtoˌhøːə
Lorezza	loˈʀɛʦaː
Lorgnette	lɔʀnˈjɛtə
Lorgnetten	lɔʀnˈjɛtən
Lorgnon	lɔʀnˈjɔ̃ː
Lorgnons	lɔʀnˈjɔ̃ːs
Lori	loːʀiː
Loris	loːʀiːs
Los	loːs
Losung	loːzʊŋ
Losungen	loːzʊŋən
Lot	loːt
Lote	loːtə
Loten	loːtən
Lotes	loːtəs
Lothar	loːtaʀ
Lothario	loˈtaːʀioː
Lothringen	loːtʀɪŋən
Lotion	loˈʦjoːn
Lotionen	loˈʦjoːnən
Lotos	loːtɔs
Lotosblume	loːtɔsbluːmə
Lotosblumen	loːtɔsbluːmən
Lots	loːʦ
Lotse	loːʦə
Lotsen	loːʦən
Lotsenboot	loːtzənˌboːt
Lotsenboote	loːtzənˌboːtə
Lotsenbooten	loːtzənˌboːtən
Lotsenbootes	loːtzənˌboːtəs
Lotsenboots	loːtzənˌboːʦ
Lotsenstation	loːtzənʃtaˌʦjoːn
Lotsenstationen	loːtzənʃtaˌʦjoːnən
Lotte	lɔtə
Lotterei	lɔtəˈʀaɪ
Lottereien	lɔtəˈʀaɪən
Lotterie	lɔtəˈʀiː
Lotterien	lɔtəˈʀiːən
Lotto	lɔtoː
Lottos	lɔtoːs
Lotus	loːtʊs
Louis	luːiː
Louisdor	luiˈdoːʀ
Louisdore	luiˈdoːʀə
Louisdoren	luiˈdoːʀən
Louisdors	luiˈdoːʀs
Louise	luˈiːzə
Louisen	luˈiːzən
Lounge	laʊnʧ
Love	laf
Loveparade	laːfpəˌʀeːt
Loxodrom	lɔksoˈdʀoːm
Loyalität	lwajaliˈtɛːt
Loyola	loˈjoːlaː
Luanda	luˈandaː
Lubitsch	luːbɪʧ
Luca	luːkaː
Lucas	luːkas
Luccani	lʊˈkaːniː
Lucentio	luˈʧɛnʦjoː
Luch	lʊx
Luchs	lʊks
Luchse	lʊkzə
Luchsen	lʊksən
Luchses	lʊkzəs
Lucia	luˈsiːaː
Lucie	luːʦiː
Lucieta	luˈʦjeːtaː
Lucietta	luˈʧjɛtaː
Lucius	luːtsjʊs
Lucy	luːsiː
Lude	luːdə
Luder	luːdəʀ
Luderjan	luːdəʀˌjaːn
Luderjane	luːdəʀˌjaːnə
Luderjanen	luːdəʀˌjaːnən
Luderjanes	luːdəʀˌjaːnəs
Luderjans	luːdəʀˌjaːns
Ludern	luːdəʀn
Luders	luːdəʀs
Ludger	lʊtgəʀ
Luditten	luˈdɪtən
Ludmilla	lʊˈdmɪlaː
Ludolf	luːdɔlf
Ludwig	luːtvɪç
Ludwigshafen	luːtvɪçshaːfən
Ludwigslust	luːtvɪçsˈlʊst
Lues	luːɛs
Luffa	lʊfaː
Lufira	luˈfiːʀaː
Luft	lʊft
Luftballon	lʊftbaˌlɔŋ
Luftballone	lʊftbaˌlɔŋə
Luftballonen	lʊftbaˌlɔŋən
Luftballons	lʊftbaˌlɔŋs
Luftigkeit	lʊftɪçkaɪt
Luftikus	lʊftikʊs
Luftikusse	lʊftikʊsə
Luftikussen	lʊftikʊsən
Luftikusses	lʊftikʊsəs
Luftmine	lʊftˌmiːnə
Luftminen	lʊftˌmiːnən
Luftweg	lʊftˌveːk
Luftwege	lʊftˌveːgə
Luftwegen	lʊftˌveːgən
Luftweges	lʊftˌveːgəs
Luftwegs	lʊftˌveːks
Lug	luːk
Lugano	luˈgaːnoː
Luge	luːgə
Luger	luːgəʀ
Luges	luːgəs
Lugs	luːks
Lugubrität	lugubʀiˈtɛːt
Luis	luːɪs
Luise	luˈʔiːzə
Luitgar	luːɪtgaʀ
Luitpold	luːɪtpɔlt
Lukas	luːkas
Luke	luːkə
Luken	luːkən
Lukullus	luˈkʊlʊs
Lulatsch	luːlaːʧ
Lulatsche	luːlaːʧə
Lulatschen	luːlaːʧən
Lulatsches	luːlaːʧəs
Lulatschs	luːlaːʧs
Lumbago	lʊmˈbaːgoː
Lumberjack	lambəʀʤɛk
Lumen	luːmən
Lumina	luːminaː
Luminal	lumiˈnaːl
Luminals	lumiˈnaːls
Luminanz	lumiˈnanʦ
Lumineszenz	luminɛsˈʦɛnʦ
Lumineszenzen	luminɛsˈʦɛnʦən
Luminol	lumiˈnoːl
Lumme	lʊmə
Lump	lʊmp
Lumpazius	lʊmˈpaːtsjʊs
Lumpazivagabundi	lʊmˈpaːʦivagaˌbʊndiː
Lumpazivagabundus	lʊmˈpaːʦivagaˌbʊndʊs
Lumpazivagabundusse	lʊmˈpaːʦivagaˌbʊndʊse
Lumpen	lʊmpən
Lumperei	lʊmpəˈʀaɪ
Lumpereien	lʊmpəˈʀaɪən
Lumumba	luˈmʊmbaː
Luna	luːnaː
Lunardo	luˈnaʀdoː
Lunarien	luˈnaːʀiən
Lunarit	lunaˈʀɪt
Lunarium	luˈnaːʀiʊm
Lunariums	luˈnaːʀiʊms
Lunation	lunaˈʦjoːn
Lunch	lanʧ
Lunchs	lanʧs
Lund	lʊnt
Lunda	lʊndaː
Lunde	lʊndə
Lunden	lʊndən
Lundes	lʊndəs
Lunds	lʊnʦ
Lunge	lʊŋə
Lungen	lʊŋən
Lungenbläschen	lʊŋənˌblɛsçən
Lungentuberkulose	lʊŋəntubɛʀkuˌloːzə
Lungerer	lʊŋəʀəʀ
Lungerern	lʊŋəʀəʀn
Lungerers	lʊŋəʀəʀs
Lunik	luːnɪk
Lunker	lʊŋkəʀ
Lunochod	lʊnɔˈxɔt
Lunte	lʊntə
Lunten	lʊntən
Lupe	luːpə
Lupen	luːpən
Lupine	luˈpiːnə
Lupinen	luˈpiːnən
Lupinose	lupiˈnoːzə
Luppe	lʊpə
Luppen	lʊpən
Lupulin	lupuˈliːn
Lurch	lʊʀç
Lurche	lʊʀçə
Lurchen	luːʀçən
Lurches	lʊʀçəs
Lurchs	lʊʀçs
Lure	luːʀə
Lurex	luːʀɛks
Luristan	luʀɪˈstaːn
Lusaka	luˈzaːkaː
Luserna	luˈzɛʀnaː
Lusiaden	luˈzjaːdən
Lusitanien	luziˈtaːnjən
Lust	lʊst
Lustigkeit	lʊstɪçkaɪt
Lustlosigkeit	lʊstloːzɪçkaɪt
Lustra	lʊstʀaː
Lustration	lʊstʀaˈʦjoːn
Lustrationen	lʊstʀaˈʦjoːnən
Lustren	lʊstʀən
Lutein	luteˈʔiːn
Luteolin	luteoˈliːn
Lutetium	luˈteːtsjʊm
Lutheraner	lutəˈʀaːnəʀ
Lutheranern	lutəˈʀaːnəʀn
Lutheraners	lutəˈʀaːnəʀs
Luthertum	lʊtəʀtuːm
Luthertums	lʊtəʀtuːms
Lutscher	lʊʧəʀ
Lutschern	lʊʧəʀn
Lutschers	lʊʧəʀs
Lutter	lʊtəʀ
Lutz	lʊʦ
Luv	luːf
Lux	lʊks
Luxation	lʊksaˈʦjoːn
Luxationen	lʊksaˈʦjoːnən
Luxemburg	lʊksəmbʊʀk
Luxemburger	lʊksəmˌbʊʀgəʀ
Luxemburgerin	lʊksəmˌbʊʀgəʀɪn
Luxus	lʊksʊs
Luzern	luˈʦɛʀn
Luzerne	luˈʦɛʀnə
Luzernen	luˈʦɛʀnən
Luzia	luːtsjaː
Luzidität	luʦidiˈtɛːt
Luzie	luːʦiː
Luzifer	luːʦifɛʀ
Lybien	liːbjən
Lydia	lyːdiaː
Lymphbahn	lʏmfˌbaːn
Lymphbahnen	lʏmfˌbaːnən
Lymphdrüse	lʏmfˌdʀyːzə
Lymphe	lʏmfə
Lymphen	lʏmfən
Lymphgefäß	lʏmfgəˌfɛːs
Lymphknoten	lʏmfˌknoːtən
Lymphknotens	lʏmfˌknoːtəns
Lymphozyt	lʏmfoˈʦyːt
Lymphozyten	lʏmfoˈʦyːtən
Lymphozytose	lʏmfoʦyˈtoːzə
Lymphozytosen	lʏmfoʦyˈtoːzən
Lynchjustiz	lʏnçjʊstiːʦ
Lynchmord	lʏnçˌmɔʀt
Lynchmorde	lʏnçˌmɔʀdə
Lynchmorden	lʏnçˌmɔʀdən
Lynchmordes	lʏnçˌmɔʀdəs
Lynchmords	lʏnçˌmɔʀʦ
Lynge	lʏŋə
Lynn	lɪn
Lyon	liˈjɔ̃
Lyoner	liˈoːnəʀ
Lyoneser	lioˈneːzəʀ
Lyra	lyːʀaː
Lyren	lyːʀən
Lyrik	lyːʀɪk
Lyriker	lyːʀikəʀ
Lyrikern	lyːʀɪkəʀn
Lyrikers	lyːʀɪkəʀs
Lysander	lyˈzandəʀ
Lysias	lyːzjas
Lysikrates	lyˈziːkʀatɛs
Lysimeter	lyziˈmeːtəʀ
Lysine	lyˈziːnə
Lysipp	lyˈzɪp
Lysippos	lyˈzɪpɔs
Lysistrata	lyˈzɪstʀataː
Lysozym	lyzoˈʦyːm
Lyzeen	lyˈʦeːən
Lyzeum	lyˈʦeːʊm
Lächschen	lɛksçən
Lädierung	lɛˈdiːʀʊŋ
Lägel	lɛːgəl
Lähmung	lɛːmʊŋ
Lämmchen	lɛmçən
Lämmlein	lɛmlaɪn
Lämpchen	lɛmpçən
Lämplein	lɛmplaɪn
Ländchen	lɛntçən
Ländereien	lɛndəˈʀaɪən
Ländermittel	lɛndəʀˌmɪtəl
Ländler	lɛndləʀ
Längen	lɛŋən
Längenkreis	lɛŋəŋˌkʀaɪs
Läppchen	lɛpçən
Lärche	lɛʀçə
Lärm	lɛʀm
Lärvchen	lɛʀfçən
Läsion	lɛˈzjoːn
Lästerei	lɛstəˈʀaɪ
Lästerer	lɛstəʀəʀ
Lästerung	lɛstəʀʊŋ
Lätare	lɛˈtaːʀə
Lätzchen	lɛʦçən
Läufer	lɔɪfəʀ
Läufigkeit	lɔɪfɪçkaɪt
Läuschen	lɔɪsçən
Läuterung	lɔɪtəʀʊŋ
Läutwerk	lɔɪtˌvɛʀk
Lävulinsäure	lɛvuˈliːnzɔɪʀə
Lävulose	lɛvuˈloːzə
Löbau	løːbaʊ
Löbche	løːpçə
Löchelchen	lœçəlçən
Löchlein	lœçlaɪn
Löckchen	lœkçən
Löffel	lœfəl
Löffler	lœfləʀ
Löhnung	løːnʊŋ
Lönnrot	lœnʀɔt
