a	ˈa
bobet	boˈβeð
bobia	ˈboβja
bobinas	boˈβinas
bobo	ˈboβo
bobon	ˈboβon
boborás	boβoˈɾas
bobos	ˈboβos
bobslet	boβzˈleð
boc_business_objectives_consulting_ibérica	bokˈβiznisˈoβʤektiβskonˈsultiŋiˈβeɾika
boca	ˈboka
boca_de_huérgano	ˈbokaðeˈɣweɾɣano
boca_juniors	ˈbokaˈʤunjoɾs
bocaboca	bokaˈβoka
bocacara	bokaˈkaɾa
bocache	boˈkaʧe
bocachico	bokaˈʧiko
bocadillo	bokaˈðiʎo
bocadillos	bokaˈðiʎos
bocado	boˈkaðo
bocados	boˈkaðos
bocairent	bokajˈɾend
bocalandria	bokaˈlandɾja
bocana	boˈkana
bocanada	bokaˈnaða
bocanegra	bokaˈneɣɾa
bocángel	boˈkaŋxel
bocas	ˈbokas
bocata	boˈkata
bocatas	boˈkatas
bocaza	boˈkaθa
bocazas	boˈkaθas
boccaccio_playa	bokˈkaʧjoˈplaʤa
boccherini	bokkeˈɾini
boceguillas	boθeˈɣiʎas
boceto	boˈθeto
bocetos	boˈθetos
boch	ˈbok
bochalema	boʧaˈlema
bochorno	boˈʧoɾno
bochornosa	boʧoɾˈnosa
bochornoso	boʧoɾˈnoso
bochornosos	boʧoɾˈnosos
bochum	boˈʧum
bocián	boˈθjan
bocina	boˈθina
bocinas	boˈθinas
bocio	ˈboθjo
bococa	boˈkoka
bocoya	boˈkoʤa
boda	ˈboða
bodalles	boˈðaʤes
bodas	ˈboðas
bodega	boˈðeɣa
bodegas	boˈðeɣas
bodegas_riojanas	boˈðeɣazrjoˈxanas
bodegas_y_bebidas	boˈðeɣasiβeˈβiðas
bodegón	boðeˈɣon
bodegones	boðeˈɣones
bodegueros	boðeˈɣeɾos
bodera	boˈðeɾa
bodo	ˈboðo
bodonal_de_la_sierra	boðoˈnaldelaˈsjera
bodorrio	boˈðorjo
bodrio	ˈboðɾjo
bodrios	ˈboðɾjos
bodro	ˈboðɾo
body	ˈboði
boe	ˈboe
boecha	boˈeʧa
boecillo	boeˈθiʎo
boeder	boeˈðeɾ
boehringer-ingelheim	boeɾiŋˈxeɾiŋxeˈlejm
boeing	ˈboejn
boenet	boeˈneð
boente	boˈente
boer	ˈboeɾ
boera	boˈeɾa
boesler	boezˈleɾ
boeza	boˈeθa
bofarut	bofaˈɾuð
boferull	bofeˈɾuʎ
bofetada	bofeˈtaða
bofetadas	bofeˈtaðas
bofetón	bofeˈton
bofia	ˈbofja
bofias	ˈbofjas
bofill	boˈfij
bofiu	boˈfju
boga	ˈboɣa
bogajo	boˈɣaxo
bogarra	boˈɣara
bogatell	boɣaˈteʎ
boget	boˈʤeð
bogey	ˈboɣej
bogey_inversiones	boˈɣejimbeɾˈsjones
boglar	boˈɣlaɾ
boglio	ˈboɣljo
bogoña	boˈɣoɲa
bogotá	boɣoˈta
boguero	boˈɣeɾo
bohajar	boaˈxaɾ
bohemia	boˈemja
bohemio	boˈemjo
bohemios	boˈemjos
bohera	boˈeɾa
bohicas	ˈbojkas
bohonal	booˈnal
bohonal_de_ibor	booˈnaldeiˈβoɾ
bohórquez	boˈoɾkeθ
bohoyo	boˈoʤo
boi_de_inversiones	ˈbojðeimbeɾˈsjones
boicot	bojˈkoð
boicoteado	bojkoteˈaðo
boicotean	bojkoˈtean
boicoteando	bojkoteˈando
boicotear	bojkoteˈaɾ
boicotearles	bojkoteˈaɾles
boicotearon	bojkoteˈaɾon
boicoteen	bojkoˈteen
boicoteo	bojkoˈteo
boicoteó	bojkoteˈo
boigues	ˈbojɣes
boillat	bojˈʤað
boina	ˈbojna
boinas	ˈbojnas
boireu	bojˈɾew
boiria	ˈbojɾja
boiro	ˈbojɾo
boise	ˈbojse
boises	ˈbojses
boix_y_morer	bojɣsimoˈɾeɾ
boixader	bujsaˈðe
boixadera	bojsaˈðeɾa
boixaderas	bojsaˈðeɾas
boixados	bojˈsaðos
boizo	ˈbojθo
boj	ˈbox
boj_investment	boximˈbezðmend
bojados	boˈxaðos
bojar	boˈxaɾ
bojas	ˈboxas
bojos	ˈboxos
bola	ˈbola
bola_del_mundo	ˈbolaðelˈmundo
boladeras	bolaˈðeɾas
boladeres	bolaˈðeɾes
bolaino	boˈlajno
bolaña	boˈlaɲa
bolancel	bolanˈθel
bolancell	bolanˈθeʤ
bolanos	boˈlanos
bolaños	boˈlaɲos
bolaños_de_calatrava	boˈlaɲozðekalaˈtɾaβa
bolant	boˈland
bolarque	boˈlaɾke
bolart	boˈlaɾð
bolas	ˈbolas
bolba	ˈbolβa
bolbaite	bolˈβajte
bolbena	bolˈβena
bolchevique	bolʧeˈβike
bolcheviques	bolʧeˈβikes
bold	ˈbold
boldano	bolˈdano
boldova	bolˈdoβa
bole	ˈβole
bolea	boˈlea
bolera	boˈleɾa
bolero	boˈleɾo
boleros	boˈleɾos
boleta	boˈleta
boletín	boleˈtin
boletín_oficial_del_estado	boleˈtinofiˈθjaldelesˈtaðo
boletines	boleˈtines
boleto	boˈleto
boletos	boˈletos
bolfa	ˈbolfa
boli	ˈboli
bolic	boˈlik
boliche	boˈliʧe
boliden	boˈliðen
bólido	ˈboliðo
bólidos	ˈboliðos
bolígrafo	boˈliɣɾafo
bolígrafos	boˈliɣɾafos
bolilan	boˈlilan
bolillos	boˈliʎos
bolinche	boˈlinʧe
bolínchez	boˈlinʧeθ
bolingar	boliŋˈɡaɾ
bolinver_sim	bolimˈbeɾˈsim
bolitas	boˈlitas
bolívar	boˈliβaɾ
bolivariana	boliβaˈɾjana
bolivia	boˈliβja
boliviana	boliˈβjana
bolivianas	boliˈβjanas
boliviano	boliˈβjano
bolivianos	boliˈβjanos
bollar	boˈʤaɾ
bollera	boˈʎeɾa
bollito	boˈʎito
bollitos	boˈʎitos
bollo	ˈboʎo
bollos	ˈboʎos
bollullos_par_del_condado	boˈʎuʎosˈpaɾðelkonˈdaðo
bolo	ˈbolo
bolomat	boloˈmað
boloñeses	boloˈɲeses
bolonia	boˈlonja
bolopo	boˈlopo
bolorino	boloˈɾino
bolos	ˈbolos
bolota	boˈlota
bolsa	ˈbolsa
bolsa_consulting	ˈbolsakonˈsultin
bolsa_de_amsterdam	ˈbolsaðeˈamsteɾðam
bolsa_de_barcelona	ˈbolsaðeβaɾθeˈlona
bolsa_de_bilbao	ˈbolsaðeβilˈβao
bolsa_de_buenos_aires	ˈbolsaðeˈβwenosˈajɾes
bolsa_de_estocolmo	ˈbolsaðeestoˈkolmo
bolsa_de_fráncfort	ˈbolsaðeˈfɾaŋkfoɾ
bolsa_de_francfort	ˈbolsaðefɾaŋkˈfoɾ
bolsa_de_iberia	ˈbolsaðeiˈβeɾja
bolsa_de_londres	ˈbolsaðeˈlondɾes
bolsa_de_madrid	ˈbolsaðemaˈðɾið
bolsa_de_nueva_york	ˈbolsaðeˈnweβaˈʤoɾk
bolsa_de_parís	ˈbolsaðepaˈɾis
bolsa_de_tokio	ˈbolsaðeˈtokjo
bolsa_de_valencia	ˈbolsaðeβaˈlenθja
bolsa_de_valores	ˈbolsaðeβaˈloɾes
bolsaduero	bolsaˈðweɾo
bolsagest	bolsaˈxezð
bolsamania	bolsaˈmanja
bolsas	ˈbolsas
bolsas_de_londres	ˈbolsazðeˈlondɾes
bolsas_de_parís	ˈbolsazðepaˈɾis
bolsas_de_valores	ˈbolsazðeβaˈloɾes
bolsas_del_viejo_continente	ˈbolsazðelˈβjexokontiˈnente
bolshispania	bolsisˈpanja
bolsiber_sim	bolsiˈβeɾˈsim
bolsillo	bolˈsiʎo
bolsillos	bolˈsiʎos
bolsitas	bolˈsitas
bolso	ˈbolso
bolsos	ˈbolsos
bolta	ˈbolta
boltaina	bolˈtajna
boltaña	bolˈtaɲa
boltañá	boltaˈɲa
boltas	ˈboltas
boltes	ˈboltes
bolton	ˈbolton
boltor	bolˈtoɾ
boluña	boˈluɲa
bolunya	boˈluɲa
bolusan	boˈlusan
bolva	ˈbolβa
boman	ˈboman
bomas	ˈbomas
bomba	ˈbomba
bomba-lapa	bombaˈlapa
bombardea	bombaɾˈðea
bombardeaban	bombaɾðeˈaβan
bombardeada	bombaɾðeˈaða
bombardeadas	bombaɾðeˈaðas
bombardeado	bombaɾðeˈaðo
bombardeados	bombaɾðeˈaðos
bombardeamos	bombaɾðeˈamos
bombardean	bombaɾˈðean
bombardeando	bombaɾðeˈando
bombardear	bombaɾðeˈaɾ
bombardeara	bombaɾðeˈaɾa
bombardeará	bombaɾðeaˈɾa
bombardearan	bombaɾðeˈaɾan
bombardearemos	bombaɾðeaˈɾemos
bombardearía	bombaɾðeaˈɾia
bombardearlos	bombaɾðeˈaɾlos
bombardearnos	bombaɾðeˈaɾnos
bombardearon	bombaɾðeˈaɾon
bombardearse	bombaɾðeˈaɾse
bombardease	bombaɾðeˈase
bombardeasen	bombaɾðeˈasen
bombardee	bombaɾˈðee
bombardeemos	bombaɾðeˈemos
bombardeen	bombaɾˈðeen
bombardeo	bombaɾˈðeo
bombardeó	bombaɾðeˈo
bombardeos	bombaɾˈðeos
bombardero	bombaɾˈðeɾo
bombarderos	bombaɾˈðeɾos
bombardier	bombaɾˈðjeɾ
bombardo	bomˈbaɾðo
bombas	ˈbombas
bombau	bomˈbaw
bombay	bomˈbaj
bombay_sapphire	bomˈbajsaˈpiɾe
bombazo	bomˈbaθo
bombazos	bomˈbaθos
bombeado	bombeˈaðo
bombear	bombeˈaɾ
bombero	bomˈbeɾo
bomberos	bomˈbeɾos
bombi	ˈbombi
bombilla	bomˈbiʎa
bombillar	bombiˈʤaɾ
bombillas	bomˈbiʎas
bombita	bomˈbita
bombitas	bomˈbitas
bombo	ˈbombo
bombon	ˈbombon
bombón	bomˈbon
bombona	bomˈbona
bombonas	bomˈbonas
bombones	bomˈbones
bombos	ˈbombos
bomelon	boˈmelon
bomenton	boˈmenton
bometon	boˈmeton
bompart	bomˈpaɾð
bona	ˈbona
bonachela	bonaˈʧela
bonachi	boˈnaʧi
bonachón	bonaˈʧon
bonacina	bonaˈθina
bonadona	bonaˈðona
bonaerense	bonaeˈɾense
bonafacia	bonaˈfaθja
bonafort	bonaˈfoɾð
bonafuente	bonaˈfwente
bonaga	boˈnaɣa
bonaire	boˈnajɾe
bonal	boˈnal
bonallach	bonaˈʎak
bonaluque	bonaˈluke
bonan	ˈbonan
bonancia	boˈnanθja
bonanova	bonaˈnoβa
bonany	boˈnaɲ
bonanza	boˈnanθa
bonaparte	bonaˈpaɾte
boñar	boˈɲaɾ
bonares	boˈnaɾes
bonas	ˈbonas
bonaset	bonaˈseð
bonastra	boˈnastɾa
bonat	boˈnað
bonaventura	bonaβenˈtuɾa
bonavila	bonaˈβila
bonavilla	bonaˈβiʤa
bonaviña	bonaˈβiɲa
boncompte	boŋˈkompte
bond	ˈbonð
bonda	ˈbonda
bondad	bonˈdað
bondades	bonˈdaðes
bondadosa	bondaˈðosa
bondadoso	bondaˈðoso
bondarribi_investments	bondaˈriβiimˈbezðmens
bondou	bonˈdow
bonduelle	bonˈdweʎe
bone	ˈbone
bonella	boˈneʤa
bonelle	boˈnel
bonells	boˈneʎs
bonera	boˈneɾa
bonet	boˈneð
boneta	βoˈneta
bonete	boˈnete
bonetero	boneˈteɾo
bonetillo	boneˈtiʎo
bonfil	bomˈfil
bonfilia	bomˈfilja
bongos	ˈboŋɡos
bonhora	boˈnoɾa
boni	ˈboni
bonia	ˈbonja
bonias	ˈbonjas
boniches	boˈniʧes
bonifaci	buniˈfasi
bonifacia	boniˈfaθja
bonifacio	boniˈfaθjo
bonificación	bonifikaˈθjon
bonificaciones	bonifikaˈθjones
boñiga	boˈɲiɣa
bonil	boˈnil
bonilla	boˈniʤa
bonillas	boˈniʤas
boninsa_bolsa	boˈninsaˈβolsa
boniolo	boˈnjolo
boniquet	boniˈkeð
bonita	boˈnita
bonitas	boˈnitas
bonito	boˈnito
bonitos	boˈnitos
bonjorn	bonˈʤoɾn
bonn	ˈbon
bonne_maman	ˈbonneˈmaman
bono	ˈbono
bonos	ˈbonos
bons	ˈbons
bonsái	bonˈsaj
bonsáis	bonˈsajs
bonsom	bonˈsom
bonson	ˈbonson
bonuda	boˈnuða
bonus	ˈbonus
bonvila	bomˈbila
booker	booˈkeɾs
boom	ˈbum
boomerang	buˈmeɾan
bootes_investment	boˈotesimˈbezðmend
boque	ˈboke
boquer	boˈkeɾ
boqueras	boˈkeɾas
boquerón	bokeˈɾon
boquerones	bokeˈɾones
boquet	boˈkeð
boquete	boˈkete
boquiabiertos	bokjaˈβjeɾtos
boquilla	boˈkiʎa
boquita	boˈkita
boquizo	boˈkiθo
borabia	boˈɾaβja
borado	boˈɾaðo
borafull	boɾaˈfuʎ
boran	ˈboɾan
borandi	boˈɾandi
borasino	boɾaˈsino
borau	boˈɾaw
borau_inversiones	ˈboɾawimbeɾˈsjones
borbalán	boɾβaˈlan
borbalas	boɾˈβalas
borballas	boɾˈbaʤas
borbón	boɾˈβon
borbones	boɾˈβones
borbonet	boɾβoˈneð
borbónica	boɾˈβonika
borbónico	boɾˈβoniko
borcha	ˈboɾʧa
borda	ˈboɾða
bordada	boɾˈðaða
bordadas	boɾˈðaðas
bordado	boɾˈðaðo
bordadores	boɾðaˈðoɾes
bordados	boɾˈðaðos
bordalán	boɾdaˈlan
bordalás	boɾðaˈlas
bordalba	boɾˈðalβa
bordan	ˈboɾðan
bordando	boɾˈðando
bordanoba	boɾðaˈnoβa
bordanova	boɾðaˈnoβa
bordar	boɾˈðaɾ
bordas	ˈboɾðas
bordaste	boɾˈðaste
borde	ˈboɾðe
bordea	boɾˈðea
bordeada	boɾðeˈaða
bordeadas	boɾðeˈaðas
bordeado	boɾðeˈaðo
bordean	boɾˈðean
bordeando	boɾðeˈando
bordello	boɾˈðeʤo
bordena	boɾˈðena
borderan	boɾˈðeɾan
bordero	boɾˈðeɾo
bordes	ˈboɾðes
bordillo	boɾˈðiʎo
bordo	ˈboɾðo
bordó	boɾˈðo
bordolique	boɾðoˈlike
bordón	boɾˈðon
boreas	boˈɾeas
borell	boˈɾeʎ
borente	boˈɾente
borges	ˈboɾxes
borgia	ˈboɾxja
borgoña	boɾˈɣoɲa
borgoño	boɾˈɣoɲo
borgoñón	boɾɣoˈɲon
borgoñoz	boɾɣoˈɲoθ
borgues	ˈboɾɣes
borguña	boɾˈɣuɲa
borguño	boɾˈɣuɲo
borias	ˈboɾjas
borill	boˈɾiʎ
borillo	boˈɾiʤo
boris	ˈboɾis
borís	boˈɾis
borja	ˈboɾxa
borjabad	boɾxaˈβað
borjas_blancas	ˈboɾxazˈβlaŋkas
borlan	ˈboɾlan
borlansa	boɾˈlansa
bormonia	boɾˈmonja
bornal	boɾˈnal
bornas	ˈboɾnas
bornau	boɾˈnaw
bornos	ˈboɾnos
bornova	boɾˈnoβa
borobia	boˈɾoβja
borovia	boˈɾoβja
borox	ˈboɾoɣs
borra	ˈbora
borracha	boˈraʧa
borrachera	boraˈʧeɾa
borracheras	boraˈʧeɾas
borrachín	boraˈʧin
borrachina	boraˈʧina
borrachines	boraˈʧines
borracho	boˈraʧo
borrachos	boˈraʧos
borrachuzos	boraˈʧuθos
borrada	boˈraða
borrado	boˈraðo
borrador	boraˈðoɾ
borradores	boraˈðoɾes
borrados	boˈraðos
borrajas	boˈraxas
borran	ˈboran
borrando	boˈrando
borrar	boˈraɾ
borrarías	boraˈɾias
borrarlo	boˈraɾlo
borrarlos	boˈraɾlos
borrarme	boˈraɾme
borraron	boˈraɾon
borrarse	boˈraɾse
borre	ˈbore
borré	boˈre
borrega	boˈreɣa
borregada	boreˈɣaða
borregas	boˈreɣas
borrego	boˈreɣo
borregos	boˈreɣos
borreguero	boreˈɣeɾo
borreguil	boreˈɣil
borreguiles	boreˈɣiles
borreguillos	boreˈɣiʎos
borreguismo	boreˈɣizmo
borreguitos	boreˈɣitos
borrell	boˈreʎ
borren	ˈboren
borrico	boˈriko
borricos	boˈrikos
borriol	boˈrjol
borro	ˈboro
borró	boˈro
borrón	boˈron
borrosa	boˈrosa
borso	ˈboɾso
borto	ˈboɾto
boruey	boˈɾwej
borunat	boɾuˈnað
borussia_dortmund	boˈɾusjaˈðoɾdmun
borza	ˈboɾθa
bosa	ˈbosa
bosano	boˈsano
bosc	ˈbosk
boscada	bosˈkaða
boscadas	bosˈkaðas
boscal	bosˈkal
boscán	bosˈkan
boscana	bosˈkana
boscar	bosˈkaɾ
boscara	bosˈkaɾa
boscasa	bosˈkasa
bosch	ˈbosk
boscosa	bosˈkosa
bosé	boˈse
boser	boˈseɾ
bosi	ˈbosi
bosnia	ˈboznja
bosnia_y_herzegovina	ˈboznjaʤeɾθeɣoˈβina
bosnio	ˈboznjo
bosnios	ˈboznjos
bosomba	boˈsomba
bosque	ˈboske
bosque_de_muniellos	ˈboskeðemuˈnjeʎos
bosquejos	bosˈkexos
bosqueo	bosˈkeo
bosques	ˈboskes
bosquets	bosˈkets
bosquimano	boskiˈmano
bossi	ˈbosi
bostezo	bosˈteθo
bostezos	bosˈteθos
boston	ˈboston
bóston	ˈboston
bot	ˈboð
bota	ˈbota
botada	boˈtaða
botado	boˈtaðo
botadura	botaˈðuɾa
botan	ˈbotan
botánica	boˈtanika
botánico	boˈtaniko
botánico_mutis	boˈtanikoˈmutis
botánicos	boˈtanikos
botar	boˈtaɾ
botarate	botaˈɾate
botarates	botaˈɾates
botarda	boˈtaɾða
botargas	boˈtaɾɣas
botargues	boˈtaɾɣes
botas	ˈbotas
bote	ˈbote
botei	ˈbotej
botela	boˈtela
botella	boˈteʤa
botella	boˈteʎa
botellas	boˈteʤas
botellas	boˈteʎas
boteller	boteˈʤeɾ
botelleros	boteˈʎeɾos
botellín	boteˈʎin
botellines	boteˈʎines
botellita	boteˈʎita
botellón	boteˈʎon
botelloneros	boteʎoˈneɾos
botellones	boteˈʎones
botero	boˈteɾo
botes	ˈbotes
bótica	ˈbotika
botica	boˈtika
botifoll	botiˈfoʎ
botijero	botiˈxeɾo
botijo	boˈtixo
botijos	boˈtixos
botiller	botiˈʤeɾ
botín	boˈtin
botinas	boˈtinas
botines	boˈtines
botino_inversiones	boˈtinoimbeɾˈsjones
boto	ˈboto
botó	boˈto
botón	boˈton
botoncito	botonˈθito
botoneras	botoˈneɾas
botones	boˈtones
botorrita	botoˈrita
botos	ˈbotos
botswana	boðˈswana
botulismo	botuˈlizmo
bouake	boˈwake
bouba	ˈbowβa
boubeta	bowˈβeta
boudal	bowˈdal
boudot	bowˈðoð
bouillon	bowˈiʤon
bouix	bowˈis
boulanger	bowlaŋˈxeɾ
boulia	ˈbowlja
boulogne	bowˈloɣne
boumort	bowˈmoɾð
bouquet	buˈkeð
bournemouth	bawɾnˈmawθ
bousoño	bowˈsoɲo
bousquets	bowsˈkets
boutique	buˈtik
boutiques	ˈbutiɣs
bouvet	bowˈβeð
bouygues	ˈbowjɣes
bouygues_telecom	ˈbowjɣesteleˈkom
bové	boˈβe
bóveda	ˈboβeða
bóvedas	ˈboβeðas
bovet	boˈβeð
bovi	ˈboβi
bovina	boˈβina
bovino	boˈβino
bovinos	boˈβinos
bowen	ˈboɣwen
bowling_green	ˈbowliŋɡɾin
box	ˈboɣs
boxa	ˈbosa
boxader	bosaˈðe
boxadera	bosaˈðeɾa
boxeador	boɣseaˈðoɾ
boxeadores	boɣseaˈðoɾes
boxear	boɣseˈaɾ
boxeo	boɣˈseo
boxes	ˈboɣses
boy	ˈboj
boya	ˈboʤa
boyacá	boʤaˈka
boyante	boˈʤante
boyer	boˈʤeɾ
boyeriza	boʤeˈɾiθa
boyero	boˈʤeɾo
boys	ˈbojs
boysep_investment	bojˈsepimˈbezðmend
boza	ˈboθa
bozal	boˈθal
bozano	boˈθano
bpi	bepeˈi
bps	ˈbidspoɾseˈɣundo
br	bɾaˈsil
bra	ˈbɾa
bra	bɾaˈsil
brabezo	bɾaˈβeθo
braceli	bɾaˈθeli
braceros	bɾaˈθeɾos
bracknell	ˈbɾaknel
bracoms	bɾaˈkoms
bracons	bɾaˈkons
brad	ˈbɾað
bradesco	bɾaˈðesko
bradespar	bɾaðesˈpaɾ
bradford	ˈbɾaðfoɾ
bradinera	bɾaðiˈneɾa
bradineras	bɾaðiˈneɾas
braga	ˈbɾaɣa
bragado	bɾaˈɣaðo
bragaña	bɾaˈɣaɲa
bragança	bɾaˈɣansa
braganza	bɾaˈɣanθa
bragas	ˈbɾaɣas
bragat	bɾaˈɣað
bragos	ˈbɾaɣos
bragueta	bɾaˈɣeta
braguetazo	bɾaɣeˈtaθo
braguitas	bɾaˈɣitas
braille	ˈbɾajle
braininvest	bɾajnimˈbezð
brajo	ˈbɾaxo
brajone	bɾaˈxon
brallans	bɾaˈʤans
braman	ˈbɾaman
bramon	ˈbɾamon
bramona	bɾaˈmona
bramont	bɾaˈmond
braña_caballo	ˈbɾaɲakaˈβaʎo
branas	ˈbɾanas
brancal	bɾaŋˈkal
branciforte	bɾanθiˈfoɾte
branco	ˈbɾaŋko
brancos	ˈbɾaŋkos
branda	ˈbɾanda
branderiz	bɾandeˈɾiθ
brandez	bɾanˈdeθ
brandia	ˈbɾandja
brando	ˈbɾando
brandon	ˈbɾandon
branera	bɾaˈneɾa
branosera	bɾaˈnoseɾa
branson_ultrasonidos	ˈbɾansonultɾasoˈniðos
bransuela	bɾanˈswela
branzuela	bɾanˈθwela
braojos	bɾaˈoxos
braque	ˈbɾake
braquets	bɾaˈkets
braro	ˈbɾaɾo
brasa	ˈbɾasa
brasas	ˈbɾasas
brasco	ˈbɾasko
brase	ˈbɾase
brasería	bɾaseˈɾia
brases	ˈbɾases
brasil	bɾaˈsil
brasileña	bɾasiˈleɲa
brasileñas	bɾasiˈleɲas
brasileño	bɾasiˈleɲo
brasileños	bɾasiˈleɲos
brasilia	bɾaˈsilja
brasov	bɾaˈsoβ
brat	ˈbɾað
bratislava	bɾatizˈlaβa
braulia	ˈbɾawlja
braulio	ˈbɾawljo
braulio_gutiérrez	ˈbɾawljoɣuˈtjereθ
braun	ˈbɾawn
braus	ˈbɾaws
brava	ˈbɾaβa
bravamente	ˈbɾaβaˈmente
bravas	ˈbɾaβas
braveso	bɾaˈβeso
bravo	ˈbɾaβo
bravo_murillo	ˈbɾaβomuˈɾiʎo
bravo_por_ti	ˈbɾaβopoɾˈti
bravos	ˈbɾaβos
bravucón	bɾaβuˈkon
bravuconadas	bɾaβukoˈnaðas
bravura	bɾaˈβuɾa
braza	ˈbɾaθa
brazada	bɾaˈθaða
brazalete	bɾaθaˈlete
brazaletes	bɾaθaˈletes
brazatortas	bɾaθaˈtoɾtas
brazo	ˈbɾaθo
brazos	ˈbɾaθos
brazuelo	bɾaˈθwelo
brazzaville	bɾaðsaˈβil
brb	baɾˈβaðos
brb_internacional	beˈereˈβeinteɾnaθjoˈnal
brc	beˈereˈθe
brea	ˈbɾea
brea_de_tajo	ˈbɾeaðeˈtaxo
brea_solans_&_asociados	ˈbɾeasoˈlansʤasoˈθjaðos
break	ˈbɾejk
breaks	ˈbɾeaɣs
breba	ˈbɾeβa
brecha	ˈbɾeʧa
brechas	ˈbɾeʧas
brecht	ˈbɾeɣ
breco	ˈbɾeko
brécol	ˈbɾekol
breda	ˈbɾeða
bref	ˈbɾef
brega	ˈbɾeɣa
bregado	bɾeˈɣaðo
bregar	bɾeˈɣaɾ
bregó	bɾeˈɣo
bregolat	bɾeɣoˈlað
breixo_inversiones	ˈbɾejɣsoimbeɾˈsjones
bremen	ˈbɾemen
bremén	bɾeˈmen
bremer	ˈbɾemeɾ
breña	ˈbɾeɲa
brenal	bɾeˈnal
brenchat	bɾenˈʧað
brenda	ˈbɾenda
brendano	bɾenˈdano
brenes	ˈbɾenes
breno	ˈbɾeno
brent	ˈbɾend
brentano	bɾenˈtano
bres	ˈbɾes
brescia	ˈbɾesθja
bresco	ˈbɾesko
bresmes	ˈbɾezmes
bresoli	bɾeˈsoli
brest	ˈbɾezð
breston	ˈbɾeston
bret	ˈbɾeð
bretaña	bɾeˈtaɲa
brete	ˈbɾete
bretocino	bɾetoˈθino
bretón	bɾeˈton
bretón_de_los_herreros	bɾeˈtondeloseˈreɾos
bretona	bɾeˈtona
bretone	bɾeˈton
bretones	bɾeˈtones
breu	ˈbɾew
breva	ˈbɾeβa
breve	ˈbɾeβe
brevedad	bɾeβeˈðað
brevemente	ˈbɾeβeˈmente
breves	ˈbɾeβes
brevísimo	bɾeˈβisimo
breyer	bɾeˈʤeɾ
brezosa	bɾeˈθosa
brhel	ˈbɾel
bri	ˈbɾi
brian	ˈbɾajan
briangos	ˈbɾjaŋɡos
brianzo	ˈbɾjanθo
bribas	ˈbɾiβas
bribiesca	bɾiˈβjeska
bribiescas	bɾiˈβjeskas
bribones	bɾiˈβones
bricha	ˈbɾiʧa
bricio	ˈbɾiθjo
brico	ˈbɾiko
brico-lakeone	ˈbɾikoˈlejkɡwan
bricolaje	bɾikoˈlaxe
bricsnet_ibérica	bɾizˈneðiˈβeɾika
bridge	ˈbɾiʧ
bridgeport	ˈbɾiʧpoɾð
bridgestone	bɾiðxesˈtone
bridgetown	ˈbɾiʧtawn
bridlington	bɾiðˈlinton
briel	ˈbɾjel
brienza	ˈbɾjenθa
briera	bɾiˈeɾa
briet	ˈbɾjeð
brieva_de_cameros	ˈbɾjeβaðekaˈmeɾos
brigada	bɾiˈɣaða
brigadas	bɾiˈɣaðas
brigadistas	bɾiɣaˈðistas
brighton	ˈbɾajton
brígida	ˈbɾiʤiða
brígida_alonso	ˈbɾixiðaaˈlonso
brigos	ˈbɾiɣos
brihuega	bɾiˈɣweɣa
brijaldo	bɾiˈxaldo
brill	ˈbɾiʎ
brilla	ˈbɾiʎa
brillaba	bɾiˈʎaβa
brillaban	bɾiˈʎaβan
brillado	bɾiˈʎaðo
brillan	ˈbɾiʎan
brillando	bɾiˈʎando
brillante	bɾiˈʎante
brillantemente	bɾiˈʎanteˈmente
brillantes	bɾiˈʎantes
brillantez	bɾiʎanˈteθ
brillantísima	bɾiʎanˈtisima
brillantísimo	bɾiʎanˈtisimo
brillar	bɾiˈʎaɾ
brillaron	bɾiˈʎaɾon
brillen	ˈbɾiʎen
brillo	ˈbɾiʎo
brilló	bɾiˈʎo
brillos	ˈbɾiʎos
brils	ˈbɾils
brincones	bɾiŋˈkones
brinda	ˈbɾinda
brindado	bɾinˈdaðo
brindan	ˈbɾindan
brindando	bɾinˈdando
brindar	bɾinˈdaɾ
brindarle	bɾinˈdaɾle
brindaron	bɾinˈdaɾon
brinde	ˈbɾinde
brindemos	bɾinˈdemos
brindis	ˈbɾindis
brindo	ˈbɾindo
brindó	bɾinˈdo
bringas	ˈbɾiŋɡas
brinques	ˈbɾiŋkes
brinquez	bɾiŋˈkeθ
brío	ˈbɾio
brio_21	bɾjoβejntiˈuno
brión	bɾiˈon
briones	ˈbɾjones
bríos	ˈbɾios
brioso	ˈbɾjoso
briquets	bɾiˈkets
brisa	ˈbɾisa
brisas	ˈbɾisas
brisbane	bɾizˈβane
brise	ˈbɾajs
briseida	bɾiˈsejða
brístol	ˈbɾistol
bristol	bɾisˈtol
bristol_myers_squibb	ˈbɾistolˈmeʤeɾsesˈkwiβ
británica	bɾiˈtanika
británicas	bɾiˈtanikas
británico	bɾiˈtaniko
británicos	bɾiˈtanikos
brites	ˈbɾites
british_airways	ˈbɾitisˈeɾɣwejs
british_museum	ˈbɾitismuˈsewm
british_petroleum	ˈbɾitispeˈtɾolewm
british_sky_broadcasting	ˈbɾitisesˈkajβɾodˈkastiŋ
british_telecom	ˈbɾitisteleˈkom
britney	bɾiðˈni
briva	ˈbɾiβa
briviesca	bɾiˈβjeska
brixedo	bɾiˈseðo
brixham	ˈbɾisxam
brizna	ˈbɾiθna
